N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.753,0.512,0.757,0.634,0.99,0.033,,,,
1,0.69,0.536,0.692,0.614,0.989,0.023,,MeanAccuracy,0.72166,
2,0.74,0.369,0.746,0.557,0.986,0.014,,StdAccuracy,0.021007079133887,
3,0.737,0.488,0.741,0.615,0.989,0.027,,n,100,
4,0.713,0.476,0.717,0.597,0.988,0.021,,Error estándar,0.002100707913389,
5,0.711,0.452,0.715,0.584,0.988,0.018,,Valor crítico,1.96,(95%)
6,0.724,0.429,0.729,0.579,0.987,0.018,,Margen de error,0.004117387510242,
7,0.723,0.417,0.728,0.572,0.987,0.016,,,,
8,0.689,0.548,0.692,0.62,0.989,0.024,,,,
9,0.719,0.464,0.723,0.593,0.988,0.02,,MeanSpecificity,0.49471,
10,0.718,0.512,0.722,0.617,0.989,0.025,,StdSpecificity,0.061211389809612,
11,0.699,0.619,0.7,0.659,0.991,0.032,,n,100,
12,0.716,0.56,0.718,0.639,0.99,0.03,,Error estándar,0.006121138980961,
13,0.681,0.5,0.684,0.592,0.988,0.018,,Valor crítico,1.96,(95%)
14,0.712,0.548,0.715,0.631,0.99,0.028,,Margen de error,0.011997432402684,
15,0.746,0.44,0.751,0.596,0.988,0.023,,,,
16,0.717,0.5,0.72,0.61,0.989,0.024,,,,
17,0.718,0.643,0.719,0.681,0.992,0.039,,MeanROC_AUC,0.60998,
18,0.736,0.5,0.74,0.62,0.989,0.028,,StdROC_AUC,0.029864332971597,
19,0.749,0.393,0.754,0.574,0.987,0.018,,n,100,
20,0.737,0.5,0.741,0.621,0.989,0.028,,Error estándar,0.00298643329716,
21,0.716,0.381,0.722,0.551,0.986,0.011,,Valor crítico,1.96,(95%)
22,0.733,0.583,0.735,0.659,0.991,0.036,,Margen de error,0.005853409262433,
23,0.728,0.429,0.733,0.581,0.987,0.018,,,,
24,0.729,0.607,0.731,0.669,0.991,0.038,,,,
25,0.75,0.417,0.755,0.586,0.988,0.021,,,,
26,0.663,0.583,0.664,0.624,0.99,0.023,,,,
27,0.703,0.5,0.706,0.603,0.989,0.021,,,,
28,0.723,0.524,0.727,0.625,0.989,0.028,,,,
29,0.693,0.464,0.697,0.581,0.988,0.016,,,,
30,0.74,0.631,0.742,0.686,0.992,0.043,,,,
31,0.718,0.607,0.72,0.664,0.991,0.035,,,,
32,0.741,0.393,0.747,0.57,0.987,0.017,,,,
33,0.728,0.476,0.732,0.604,0.988,0.024,,,,
34,0.711,0.524,0.714,0.619,0.989,0.025,,,,
35,0.726,0.452,0.73,0.591,0.988,0.021,,,,
36,0.734,0.536,0.738,0.637,0.99,0.031,,,,
37,0.729,0.488,0.733,0.611,0.989,0.025,,,,
38,0.735,0.393,0.74,0.567,0.987,0.016,,,,
39,0.695,0.5,0.698,0.599,0.988,0.02,,,,
40,0.744,0.488,0.748,0.618,0.989,0.028,,,,
41,0.736,0.536,0.739,0.637,0.99,0.032,,,,
42,0.739,0.524,0.742,0.633,0.99,0.031,,,,
43,0.752,0.548,0.755,0.651,0.99,0.037,,,,
44,0.7,0.536,0.702,0.619,0.989,0.024,,,,
45,0.684,0.5,0.687,0.594,0.988,0.018,,,,
46,0.718,0.369,0.723,0.546,0.986,0.01,,,,
47,0.705,0.512,0.709,0.61,0.989,0.023,,,,
48,0.724,0.5,0.728,0.614,0.989,0.025,,,,
49,0.691,0.536,0.694,0.615,0.989,0.023,,,,
50,0.726,0.536,0.729,0.632,0.99,0.03,,,,
51,0.754,0.5,0.758,0.629,0.989,0.032,,,,
52,0.763,0.429,0.768,0.598,0.988,0.025,,,,
53,0.743,0.476,0.747,0.612,0.989,0.027,,,,
54,0.703,0.429,0.707,0.568,0.987,0.014,,,,
55,0.711,0.536,0.714,0.625,0.99,0.027,,,,
56,0.677,0.417,0.681,0.549,0.986,0.009,,,,
57,0.751,0.536,0.754,0.645,0.99,0.035,,,,
58,0.729,0.524,0.732,0.628,0.99,0.029,,,,
59,0.709,0.583,0.711,0.647,0.991,0.031,,,,
60,0.746,0.476,0.75,0.613,0.989,0.027,,,,
61,0.71,0.536,0.713,0.624,0.99,0.026,,,,
62,0.749,0.536,0.752,0.644,0.99,0.035,,,,
63,0.72,0.524,0.724,0.624,0.989,0.027,,,,
64,0.713,0.607,0.715,0.661,0.991,0.034,,,,
65,0.74,0.452,0.745,0.598,0.988,0.023,,,,
