N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.763,0.456,0.767,0.611,0.992,0.02,,MeanAccuracy,0.71895,
1,0.763,0.684,0.763,0.724,0.996,0.039,,StdAccuracy,0.07204857718753,
2,0.717,0.561,0.719,0.64,0.993,0.021,,n,100,
3,0.779,0.632,0.781,0.706,0.995,0.038,,Error estándar,0.007204857718753,
4,0.755,0.596,0.757,0.677,0.994,0.03,,Valor crítico,1.96,(95%)
5,0.76,0.614,0.762,0.688,0.995,0.032,,Margen de error,0.014121521128756,
6,0.705,0.544,0.706,0.625,0.993,0.018,,,,
7,0.754,0.684,0.755,0.719,0.995,0.037,,,,
8,0.611,0.632,0.611,0.621,0.993,0.013,,MeanSpecificity,0.55664,
9,0.785,0.456,0.789,0.622,0.993,0.024,,StdSpecificity,0.094876902703802,
10,0.717,0.421,0.72,0.571,0.991,0.011,,n,100,
11,0.577,0.649,0.576,0.613,0.993,0.011,,Error estándar,0.00948769027038,
12,0.79,0.526,0.793,0.66,0.994,0.031,,Valor crítico,1.96,(95%)
13,0.633,0.702,0.632,0.667,0.995,0.019,,Margen de error,0.018595872929945,
14,0.767,0.719,0.768,0.743,0.996,0.043,,,,
15,0.701,0.456,0.704,0.58,0.992,0.011,,,,
16,0.766,0.614,0.767,0.691,0.995,0.033,,MeanROC_AUC,0.63867,
17,0.776,0.614,0.778,0.696,0.995,0.036,,StdROC_AUC,0.056629766060266,
18,0.761,0.614,0.763,0.688,0.995,0.032,,n,100,
19,0.76,0.509,0.763,0.636,0.993,0.024,,Error estándar,0.005662976606027,
20,0.716,0.491,0.718,0.605,0.992,0.015,,Valor crítico,1.96,(95%)
21,0.787,0.386,0.792,0.589,0.992,0.017,,Margen de error,0.011099434147812,
22,0.761,0.561,0.763,0.662,0.994,0.028,,,,
23,0.55,0.579,0.549,0.564,0.992,0.006,,,,
24,0.668,0.544,0.67,0.607,0.993,0.014,,,,
25,0.651,0.439,0.653,0.546,0.991,0.006,,,,
26,0.576,0.684,0.575,0.629,0.994,0.013,,,,
27,0.568,0.596,0.568,0.582,0.992,0.008,,,,
28,0.7,0.456,0.703,0.58,0.992,0.011,,,,
29,0.8,0.509,0.803,0.656,0.993,0.032,,,,
30,0.772,0.579,0.774,0.676,0.994,0.032,,,,
31,0.735,0.439,0.739,0.589,0.992,0.014,,,,
32,0.624,0.579,0.624,0.602,0.993,0.011,,,,
33,0.581,0.649,0.58,0.614,0.993,0.011,,,,
34,0.776,0.614,0.778,0.696,0.995,0.036,,,,
35,0.75,0.614,0.752,0.683,0.994,0.03,,,,
36,0.574,0.614,0.574,0.594,0.993,0.009,,,,
37,0.66,0.544,0.661,0.603,0.993,0.013,,,,
38,0.642,0.509,0.644,0.576,0.992,0.009,,,,
39,0.537,0.667,0.536,0.601,0.993,0.009,,,,
40,0.764,0.404,0.767,0.586,0.992,0.015,,,,
41,0.751,0.526,0.754,0.64,0.993,0.023,,,,
42,0.601,0.561,0.601,0.581,0.992,0.009,,,,
43,0.773,0.526,0.776,0.651,0.993,0.028,,,,
44,0.783,0.509,0.786,0.647,0.993,0.028,,,,
45,0.785,0.702,0.786,0.744,0.996,0.046,,,,
46,0.59,0.632,0.59,0.611,0.993,0.011,,,,
47,0.765,0.561,0.767,0.664,0.994,0.029,,,,
48,0.631,0.561,0.632,0.597,0.993,0.011,,,,
49,0.777,0.667,0.778,0.722,0.995,0.041,,,,
50,0.76,0.632,0.761,0.696,0.995,0.034,,,,
51,0.735,0.614,0.736,0.675,0.994,0.027,,,,
52,0.796,0.632,0.797,0.715,0.995,0.043,,,,
53,0.585,0.632,0.585,0.608,0.993,0.011,,,,
54,0.594,0.491,0.595,0.543,0.991,0.005,,,,
55,0.755,0.684,0.756,0.72,0.995,0.037,,,,
56,0.778,0.579,0.78,0.679,0.994,0.033,,,,
57,0.752,0.386,0.755,0.571,0.991,0.012,,,,
58,0.641,0.439,0.643,0.541,0.991,0.005,,,,
59,0.638,0.544,0.639,0.591,0.992,0.011,,,,
60,0.76,0.684,0.76,0.722,0.996,0.038,,,,
61,0.638,0.544,0.639,0.591,0.992,0.011,,,,
62,0.762,0.614,0.764,0.689,0.995,0.033,,,,
63,0.729,0.351,0.733,0.542,0.99,0.007,,,,
64,0.767,0.702,0.767,0.735,0.996,0.041,,,,
65,0.776,0.526,0.779,0.653,0.993,0.028,,,,
66,0.786,0.561,0.789,0.675,0.994,0.034,,,,
67,0.652,0.491,0.654,0.573,0.992,0.009,,,,
68,0.626,0.596,0.626,0.611,0.993,0.013,,,,
69,0.75,0.719,0.751,0.735,0.996,0.038,,,,
70,0.8,0.561,0.802,0.682,0.994,0.037,,,,
71,0.775,0.561,0.777,0.669,0.994,0.031,,,,
72,0.844,0.456,0.848,0.652,0.993,0.04,,,,
73,0.757,0.667,0.758,0.712,0.995,0.036,,,,
74,0.784,0.561,0.786,0.674,0.994,0.033,,,,
75,0.766,0.614,0.768,0.691,0.995,0.034,,,,
76,0.75,0.702,0.751,0.726,0.996,0.037,,,,
77,0.782,0.333,0.786,0.56,0.991,0.012,,,,
78,0.765,0.456,0.768,0.612,0.992,0.02,,,,
79,0.76,0.491,0.763,0.627,0.993,0.022,,,,
80,0.763,0.632,0.765,0.698,0.995,0.034,,,,
81,0.748,0.667,0.749,0.708,0.995,0.034,,,,
82,0.725,0.439,0.728,0.583,0.992,0.013,,,,
83,0.784,0.544,0.786,0.665,0.994,0.031,,,,
84,0.64,0.456,0.642,0.549,0.991,0.006,,,,
85,0.759,0.456,0.763,0.609,0.992,0.019,,,,
86,0.76,0.702,0.761,0.731,0.996,0.039,,,,
87,0.715,0.509,0.717,0.613,0.993,0.017,,,,
88,0.623,0.421,0.625,0.523,0.99,0.003,,,,
89,0.728,0.526,0.73,0.628,0.993,0.02,,,,
90,0.784,0.351,0.788,0.57,0.991,0.013,,,,
91,0.747,0.368,0.751,0.56,0.991,0.01,,,,
