N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.722,0.649,0.722,0.686,0.995,0.028,,MeanAccuracy,0.69808,
1,0.714,0.649,0.715,0.682,0.995,0.026,,StdAccuracy,0.053466439960224,
2,0.638,0.649,0.638,0.644,0.994,0.017,,n,100,
3,0.763,0.491,0.766,0.629,0.993,0.023,,Error estándar,0.005346643996022,
4,0.744,0.561,0.746,0.654,0.994,0.025,,Valor crítico,1.96,(95%)
5,0.672,0.702,0.671,0.686,0.995,0.024,,Margen de error,0.010479422232204,
6,0.763,0.404,0.767,0.585,0.992,0.015,,,,
7,0.492,0.632,0.49,0.561,0.992,0.005,,,,
8,0.636,0.614,0.636,0.625,0.993,0.014,,MeanSpecificity,0.57167,
9,0.74,0.421,0.743,0.582,0.992,0.013,,StdSpecificity,0.086620740162288,
10,0.636,0.561,0.637,0.599,0.993,0.011,,n,100,
11,0.742,0.491,0.744,0.618,0.993,0.019,,Error estándar,0.008662074016229,
12,0.775,0.368,0.78,0.574,0.991,0.014,,Valor crítico,1.96,(95%)
13,0.757,0.684,0.757,0.721,0.995,0.037,,Margen de error,0.016977665071809,
14,0.756,0.579,0.758,0.668,0.994,0.029,,,,
15,0.628,0.544,0.628,0.586,0.992,0.01,,,,
16,0.734,0.561,0.735,0.648,0.994,0.023,,MeanROC_AUC,0.63558,
17,0.632,0.544,0.633,0.589,0.992,0.01,,StdROC_AUC,0.051428125779695,
18,0.706,0.702,0.706,0.704,0.995,0.029,,n,100,
19,0.718,0.579,0.72,0.649,0.994,0.022,,Error estándar,0.00514281257797,
20,0.717,0.667,0.717,0.692,0.995,0.028,,Valor crítico,1.96,(95%)
21,0.74,0.719,0.741,0.73,0.996,0.036,,Margen de error,0.01007991265282,
22,0.656,0.474,0.658,0.566,0.991,0.008,,,,
23,0.742,0.614,0.744,0.679,0.994,0.029,,,,
24,0.69,0.474,0.692,0.583,0.992,0.011,,,,
25,0.623,0.579,0.623,0.601,0.993,0.011,,,,
26,0.736,0.509,0.739,0.624,0.993,0.02,,,,
27,0.746,0.544,0.748,0.646,0.993,0.024,,,,
28,0.654,0.509,0.656,0.582,0.992,0.01,,,,
29,0.72,0.632,0.721,0.676,0.994,0.026,,,,
30,0.663,0.526,0.665,0.596,0.992,0.012,,,,
31,0.722,0.596,0.723,0.66,0.994,0.024,,,,
32,0.613,0.561,0.614,0.587,0.992,0.01,,,,
33,0.727,0.614,0.728,0.671,0.994,0.026,,,,
34,0.742,0.561,0.744,0.653,0.994,0.025,,,,
35,0.633,0.596,0.633,0.615,0.993,0.013,,,,
36,0.735,0.667,0.736,0.701,0.995,0.031,,,,
37,0.632,0.614,0.633,0.623,0.993,0.014,,,,
38,0.76,0.596,0.762,0.679,0.994,0.031,,,,
39,0.724,0.614,0.725,0.669,0.994,0.025,,,,
40,0.758,0.649,0.759,0.704,0.995,0.035,,,,
41,0.735,0.614,0.736,0.675,0.994,0.027,,,,
