N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.974,0.053,0.984,0.518,0.99,0.028,,MeanAccuracy,0.95407,
1,0.972,0.123,0.981,0.552,0.99,0.074,,StdAccuracy,0.02079250787756,
2,0.965,0.105,0.975,0.54,0.99,0.047,,n,100,
3,0.93,0.456,0.935,0.696,0.994,0.107,,Error estándar,0.002079250787756,
4,0.94,0.404,0.946,0.675,0.993,0.111,,Valor crítico,1.96,(95%)
5,0.974,0.105,0.983,0.544,0.99,0.068,,Margen de error,0.004075331544002,
6,0.969,0.053,0.979,0.516,0.99,0.022,,,,
7,0.934,0.333,0.94,0.637,0.992,0.081,,,,
8,0.926,0.439,0.932,0.685,0.993,0.097,,MeanSpecificity,0.24703,
9,0.973,0.053,0.983,0.518,0.99,0.027,,StdSpecificity,0.175558816585235,
10,0.936,0.298,0.943,0.621,0.992,0.075,,n,100,
11,0.933,0.421,0.939,0.68,0.993,0.103,,Error estándar,0.017555881658524,
12,0.964,0.14,0.973,0.557,0.99,0.062,,Valor crítico,1.96,(95%)
13,0.963,0.281,0.971,0.626,0.992,0.127,,Margen de error,0.034409528050706,
14,0.97,0.07,0.98,0.525,0.99,0.034,,,,
15,0.969,0.053,0.979,0.516,0.99,0.021,,,,
16,0.968,0.14,0.977,0.559,0.991,0.073,,MeanROC_AUC,0.60442,
17,0.951,0.228,0.959,0.593,0.991,0.075,,StdROC_AUC,0.076949567637486,
18,0.95,0.246,0.957,0.601,0.992,0.079,,n,100,
19,0.924,0.439,0.93,0.684,0.993,0.094,,Error estándar,0.007694956763749,
20,0.973,0.053,0.983,0.518,0.99,0.028,,Valor crítico,1.96,(95%)
21,0.921,0.526,0.926,0.726,0.994,0.109,,Margen de error,0.015082115256947,
22,0.934,0.439,0.94,0.689,0.994,0.109,,,,
23,0.972,0.105,0.981,0.543,0.99,0.061,,,,
24,0.924,0.421,0.929,0.675,0.993,0.089,,,,
25,0.977,0.07,0.987,0.529,0.99,0.051,,,,
26,0.925,0.561,0.928,0.745,0.995,0.121,,,,
27,0.926,0.491,0.931,0.711,0.994,0.109,,,,
28,0.969,0.14,0.978,0.559,0.991,0.075,,,,
29,0.918,0.421,0.923,0.672,0.993,0.082,,,,
30,0.975,0.07,0.985,0.527,0.99,0.044,,,,
31,0.928,0.509,0.933,0.721,0.994,0.116,,,,
32,0.922,0.491,0.927,0.709,0.994,0.102,,,,
33,0.929,0.509,0.933,0.721,0.994,0.117,,,,
34,0.97,0.088,0.979,0.534,0.99,0.045,,,,
35,0.973,0.088,0.983,0.535,0.99,0.054,,,,
36,0.95,0.298,0.957,0.628,0.992,0.098,,,,
37,0.928,0.509,0.933,0.721,0.994,0.116,,,,
38,0.968,0.088,0.978,0.533,0.99,0.042,,,,
39,0.974,0.018,0.985,0.501,0.989,0.002,,,,
40,0.95,0.316,0.957,0.636,0.992,0.104,,,,
41,0.93,0.509,0.935,0.722,0.994,0.119,,,,
42,0.928,0.474,0.932,0.703,0.994,0.107,,,,
43,0.959,0.211,0.967,0.589,0.991,0.085,,,,
44,0.978,0.105,0.987,0.546,0.99,0.08,,,,
45,0.969,0.14,0.978,0.559,0.991,0.075,,,,
46,0.931,0.544,0.935,0.74,0.995,0.129,,,,
47,0.971,0.035,0.981,0.508,0.989,0.012,,,,
48,0.971,0.105,0.981,0.543,0.99,0.06,,,,
49,0.973,0.07,0.982,0.526,0.99,0.039,,,,
50,0.943,0.386,0.949,0.668,0.993,0.112,,,,
51,0.971,0.053,0.981,0.517,0.99,0.024,,,,
52,0.964,0.246,0.972,0.609,0.992,0.113,,,,
53,0.925,0.456,0.931,0.693,0.994,0.099,,,,
54,0.972,0.105,0.981,0.543,0.99,0.061,,,,
55,0.944,0.246,0.952,0.599,0.991,0.07,,,,
56,0.971,0.123,0.98,0.552,0.99,0.071,,,,
57,0.918,0.491,0.922,0.707,0.994,0.097,,,,
58,0.973,0.14,0.982,0.561,0.991,0.087,,,,
59,0.962,0.263,0.97,0.616,0.992,0.116,,,,
60,0.975,0.175,0.984,0.58,0.991,0.122,,,,
61,0.97,0.175,0.978,0.577,0.991,0.098,,,,
62,0.976,0.14,0.986,0.563,0.991,0.102,,,,
63,0.936,0.596,0.939,0.768,0.995,0.151,,,,
64,0.965,0.175,0.974,0.575,0.991,0.083,,,,
65,0.978,0.105,0.988,0.547,0.99,0.084,,,,
66,0.961,0.158,0.97,0.564,0.991,0.066,,,,
67,0.916,0.421,0.921,0.671,0.993,0.079,,,,
68,0.932,0.456,0.938,0.697,0.994,0.11,,,,
69,0.97,0.158,0.978,0.568,0.991,0.087,,,,
70,0.972,0.088,0.981,0.535,0.99,0.05,,,,
71,0.972,0.088,0.981,0.535,0.99,0.049,,,,
72,0.98,0.018,0.99,0.504,0.989,0.008,,,,
73,0.976,0.14,0.985,0.563,0.991,0.101,,,,
74,0.969,0.123,0.978,0.55,0.99,0.064,,,,
