N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.731,0.596,0.732,0.664,0.994,0.025,,,
1,0.75,0.579,0.752,0.665,0.994,0.027,,MeanAccuracy,0.7478
2,0.739,0.632,0.741,0.686,0.995,0.029,,StdAccuracy,0.048642584327943
3,0.718,0.579,0.72,0.649,0.994,0.022,,n,100
4,0.775,0.596,0.777,0.687,0.994,0.034,,Error estándar,0.004864258432794
5,0.736,0.544,0.738,0.641,0.993,0.022,,Valor crítico,1.96
6,0.815,0.509,0.819,0.664,0.994,0.036,,Margen de error,0.009533946528277
7,0.741,0.614,0.742,0.678,0.994,0.028,,,
8,0.845,0.702,0.846,0.774,0.996,0.07,,,
9,0.717,0.526,0.719,0.623,0.993,0.018,,MeanSpecificity,0.58947
10,0.735,0.719,0.735,0.727,0.996,0.035,,StdSpecificity,0.088418364448327
11,0.796,0.667,0.797,0.732,0.995,0.046,,n,100
12,0.816,0.684,0.817,0.751,0.996,0.055,,Error estándar,0.008841836444833
13,0.541,0.632,0.54,0.586,0.993,0.008,,Valor crítico,1.96
14,0.773,0.404,0.777,0.59,0.992,0.017,,Margen de error,0.017329999431872
15,0.727,0.632,0.728,0.68,0.995,0.027,,,
16,0.761,0.596,0.762,0.679,0.994,0.031,,,
17,0.697,0.596,0.698,0.647,0.994,0.02,,MeanROC_AUC,0.66946
18,0.733,0.491,0.735,0.613,0.993,0.018,,StdROC_AUC,0.053442581290105
19,0.736,0.474,0.739,0.606,0.992,0.017,,n,100
20,0.697,0.526,0.698,0.612,0.993,0.016,,Error estándar,0.005344258129011
21,0.794,0.491,0.797,0.644,0.993,0.029,,Valor crítico,1.96
22,0.737,0.579,0.739,0.659,0.994,0.025,,Margen de error,0.010474745932861
23,0.752,0.579,0.754,0.666,0.994,0.028,,,
24,0.712,0.456,0.715,0.586,0.992,0.013,,,
25,0.763,0.614,0.765,0.689,0.995,0.033,,,
26,0.779,0.614,0.78,0.697,0.995,0.037,,,
27,0.743,0.544,0.745,0.644,0.993,0.023,,,
28,0.734,0.614,0.735,0.675,0.994,0.027,,,
29,0.746,0.632,0.747,0.69,0.995,0.031,,,
