N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.877,0.561,0.881,0.721,0.995,0.071,,,
1,0.886,0.439,0.891,0.665,0.993,0.058,,MeanAccuracy,0.87403
2,0.849,0.614,0.852,0.733,0.995,0.062,,StdAccuracy,0.016181704970663
3,0.867,0.526,0.871,0.699,0.994,0.06,,n,100
4,0.86,0.579,0.863,0.721,0.995,0.063,,Error estándar,0.001618170497066
5,0.879,0.667,0.881,0.774,0.996,0.088,,Valor crítico,1.96
6,0.851,0.421,0.855,0.638,0.993,0.038,,Margen de error,0.00317161417425
7,0.875,0.368,0.881,0.625,0.992,0.041,,,
8,0.881,0.526,0.885,0.706,0.994,0.069,,,
9,0.897,0.579,0.9,0.74,0.995,0.09,,MeanSpecificity,0.55222
10,0.853,0.579,0.856,0.718,0.995,0.059,,StdSpecificity,0.074637653995416
11,0.879,0.491,0.883,0.687,0.994,0.062,,n,100
12,0.872,0.719,0.874,0.797,0.997,0.09,,Error estándar,0.007463765399542
13,0.877,0.579,0.88,0.729,0.995,0.073,,Valor crítico,1.96
14,0.89,0.526,0.894,0.71,0.994,0.075,,Margen de error,0.014628980183102
15,0.855,0.491,0.859,0.675,0.994,0.049,,,
16,0.882,0.579,0.885,0.732,0.995,0.077,,,
17,0.874,0.614,0.877,0.745,0.995,0.077,,MeanROC_AUC,0.71491
18,0.879,0.526,0.883,0.705,0.994,0.067,,StdROC_AUC,0.038901090582204
19,0.86,0.596,0.862,0.729,0.995,0.065,,n,100
20,0.894,0.544,0.898,0.721,0.995,0.082,,Error estándar,0.00389010905822
21,0.868,0.579,0.871,0.725,0.995,0.068,,Valor crítico,1.96
22,0.847,0.561,0.85,0.706,0.994,0.054,,Margen de error,0.007624613754112
23,0.879,0.561,0.883,0.722,0.995,0.072,,,
24,0.875,0.439,0.879,0.659,0.993,0.051,,,
25,0.885,0.474,0.889,0.681,0.994,0.063,,,
26,0.887,0.579,0.89,0.734,0.995,0.081,,,
27,0.897,0.544,0.901,0.722,0.995,0.084,,,
28,0.896,0.596,0.899,0.748,0.995,0.092,,,
29,0.886,0.702,0.888,0.795,0.996,0.099,,,
