N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.87,0.429,0.877,0.653,0.99,0.069,,,,
1,0.874,0.357,0.882,0.62,0.988,0.057,,MeanAccuracy,0.76458,
2,0.849,0.333,0.857,0.595,0.988,0.038,,StdAccuracy,0.121247653731334,
3,0.869,0.405,0.876,0.641,0.989,0.063,,n,100,
4,0.645,0.571,0.647,0.609,0.989,0.019,,Error estándar,0.012124765373134,
5,0.873,0.369,0.882,0.625,0.988,0.059,,Valor crítico,1.96,(95%)
6,0.628,0.417,0.632,0.524,0.985,0.004,,Margen de error,0.023764540131342,
7,0.628,0.476,0.631,0.553,0.987,0.009,,,,
8,0.837,0.393,0.844,0.618,0.988,0.044,,,,
9,0.818,0.44,0.824,0.632,0.989,0.044,,MeanSpecificity,0.47063,
10,0.598,0.512,0.599,0.555,0.987,0.009,,StdSpecificity,0.092975792982949,
11,0.856,0.357,0.864,0.61,0.988,0.046,,n,100,
12,0.62,0.548,0.622,0.585,0.988,0.014,,Error estándar,0.009297579298295,
13,0.856,0.393,0.863,0.628,0.989,0.053,,Valor crítico,1.96,(95%)
14,0.839,0.321,0.847,0.584,0.987,0.032,,Margen de error,0.018223255424658,
15,0.67,0.393,0.675,0.534,0.986,0.006,,,,
16,0.564,0.607,0.563,0.585,0.989,0.012,,,,
17,0.854,0.44,0.861,0.651,0.99,0.061,,MeanROC_AUC,0.61993,
18,0.648,0.464,0.651,0.557,0.987,0.01,,StdROC_AUC,0.046348320009217,
19,0.812,0.548,0.817,0.682,0.991,0.058,,n,100,
20,0.636,0.56,0.637,0.598,0.989,0.017,,Error estándar,0.004634832000922,
21,0.833,0.405,0.84,0.622,0.989,0.044,,Valor crítico,1.96,(95%)
22,0.568,0.524,0.569,0.546,0.987,0.007,,Margen de error,0.009084270721807,
23,0.638,0.393,0.642,0.517,0.985,0.003,,,,
24,0.858,0.381,0.866,0.623,0.989,0.052,,,,
25,0.775,0.286,0.783,0.534,0.985,0.01,,,,
26,0.82,0.512,0.825,0.668,0.99,0.055,,,,
27,0.865,0.369,0.873,0.621,0.988,0.053,,,,
28,0.877,0.405,0.884,0.645,0.989,0.069,,,,
29,0.749,0.5,0.753,0.627,0.989,0.031,,,,
30,0.853,0.345,0.861,0.603,0.988,0.042,,,,
31,0.87,0.393,0.878,0.635,0.989,0.062,,,,
32,0.842,0.417,0.849,0.633,0.989,0.05,,,,
33,0.562,0.619,0.561,0.59,0.989,0.013,,,,
34,0.824,0.405,0.83,0.618,0.988,0.04,,,,
35,0.852,0.548,0.857,0.702,0.991,0.079,,,,
36,0.552,0.524,0.552,0.538,0.986,0.005,,,,
37,0.873,0.417,0.881,0.649,0.989,0.069,,,,
38,0.832,0.393,0.839,0.616,0.988,0.042,,,,
39,0.842,0.524,0.847,0.686,0.991,0.069,,,,
40,0.859,0.429,0.866,0.647,0.989,0.062,,,,
41,0.752,0.595,0.755,0.675,0.991,0.043,,,,
42,0.575,0.548,0.575,0.561,0.987,0.009,,,,
43,0.798,0.548,0.802,0.675,0.991,0.052,,,,
44,0.845,0.464,0.851,0.657,0.99,0.06,,,,
45,0.639,0.464,0.642,0.553,0.987,0.009,,,,
46,0.855,0.452,0.862,0.657,0.99,0.064,,,,
47,0.783,0.44,0.788,0.614,0.989,0.032,,,,
48,0.83,0.488,0.835,0.662,0.99,0.057,,,,
49,0.811,0.298,0.819,0.558,0.986,0.019,,,,
50,0.586,0.583,0.586,0.585,0.989,0.013,,,,
51,0.561,0.619,0.56,0.589,0.989,0.013,,,,
52,0.628,0.536,0.63,0.583,0.988,0.014,,,,
53,0.844,0.5,0.849,0.675,0.991,0.066,,,,
54,0.729,0.512,0.733,0.622,0.989,0.028,,,,
55,0.601,0.5,0.603,0.551,0.987,0.008,,,,
56,0.853,0.369,0.861,0.615,0.988,0.047,,,,
57,0.562,0.536,0.562,0.549,0.987,0.007,,,,
58,0.874,0.381,0.882,0.632,0.989,0.062,,,,
59,0.643,0.583,0.643,0.613,0.99,0.02,,,,
60,0.559,0.595,0.558,0.577,0.988,0.011,,,,
61,0.849,0.5,0.855,0.678,0.991,0.069,,,,
62,0.841,0.5,0.846,0.673,0.99,0.064,,,,
63,0.808,0.548,0.812,0.68,0.991,0.056,,,,
64,0.864,0.405,0.871,0.638,0.989,0.06,,,,
65,0.839,0.5,0.844,0.672,0.99,0.063,,,,
66,0.877,0.369,0.885,0.627,0.989,0.061,,,,
67,0.555,0.631,0.554,0.593,0.989,0.013,,,,
68,0.853,0.393,0.861,0.627,0.989,0.052,,,,
69,0.857,0.452,0.864,0.658,0.99,0.065,,,,
70,0.604,0.56,0.605,0.582,0.988,0.013,,,,
71,0.561,0.619,0.56,0.589,0.989,0.013,,,,
72,0.832,0.5,0.838,0.669,0.99,0.06,,,,
73,0.83,0.476,0.836,0.656,0.99,0.055,,,,
74,0.59,0.536,0.591,0.563,0.987,0.01,,,,
75,0.569,0.762,0.566,0.664,0.993,0.023,,,,
76,0.751,0.607,0.753,0.68,0.992,0.044,,,,
77,0.388,0.679,0.383,0.531,0.987,0.003,,,,
78,0.878,0.405,0.885,0.645,0.989,0.07,,,,
79,0.816,0.5,0.821,0.66,0.99,0.052,,,,
80,0.858,0.429,0.865,0.647,0.989,0.061,,,,
81,0.827,0.488,0.832,0.66,0.99,0.055,,,,
82,0.885,0.369,0.893,0.631,0.989,0.067,,,,
83,0.823,0.452,0.829,0.641,0.989,0.048,,,,
84,0.896,0.44,0.903,0.672,0.99,0.094,,,,
85,0.833,0.464,0.839,0.651,0.99,0.054,,,,
86,0.566,0.667,0.565,0.616,0.99,0.017,,,,
87,0.821,0.512,0.826,0.669,0.99,0.056,,,,
88,0.884,0.417,0.892,0.654,0.989,0.077,,,,
89,0.802,0.226,0.811,0.519,0.985,0.006,,,,
90,0.831,0.381,0.839,0.61,0.988,0.039,,,,
91,0.864,0.524,0.869,0.697,0.991,0.083,,,,
92,0.849,0.417,0.857,0.637,0.989,0.054,,,,
93,0.799,0.476,0.804,0.64,0.99,0.042,,,,
94,0.843,0.333,0.852,0.592,0.987,0.036,,,,
95,0.837,0.536,0.842,0.689,0.991,0.068,,,,
96,0.877,0.417,0.885,0.651,0.989,0.072,,,,
97,0.844,0.452,0.85,0.651,0.99,0.057,,,,
98,0.574,0.512,0.575,0.544,0.986,0.006,,,,
99,0.867,0.476,0.873,0.675,0.99,0.076,,,,
