N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.698,0.512,0.701,0.606,0.989,0.022,,,,
1,0.772,0.476,0.777,0.627,0.989,0.034,,MeanAccuracy,0.73221,
2,0.744,0.524,0.748,0.636,0.99,0.032,,StdAccuracy,0.026700469106461,
3,0.673,0.56,0.675,0.617,0.989,0.022,,n,100,
4,0.737,0.536,0.74,0.638,0.99,0.032,,Error estándar,0.002670046910646,
5,0.736,0.44,0.74,0.59,0.988,0.021,,Valor crítico,1.96,(95%)
6,0.671,0.607,0.672,0.64,0.991,0.026,,Margen de error,0.005233291944866,
7,0.702,0.5,0.705,0.602,0.989,0.021,,,,
8,0.752,0.476,0.756,0.616,0.989,0.029,,,,
9,0.738,0.631,0.739,0.685,0.992,0.043,,MeanSpecificity,0.51574,
10,0.718,0.548,0.72,0.634,0.99,0.029,,StdSpecificity,0.059758879142464,
11,0.761,0.476,0.765,0.621,0.989,0.031,,n,100,
12,0.713,0.56,0.715,0.637,0.99,0.029,,Error estándar,0.005975887914246,
13,0.735,0.571,0.737,0.654,0.991,0.035,,Valor crítico,1.96,(95%)
14,0.767,0.548,0.771,0.659,0.991,0.041,,Margen de error,0.011712740311923,
15,0.739,0.655,0.74,0.697,0.992,0.045,,,,
16,0.713,0.488,0.716,0.602,0.989,0.022,,,,
17,0.779,0.512,0.783,0.647,0.99,0.04,,MeanROC_AUC,0.6257,
18,0.754,0.357,0.761,0.559,0.986,0.015,,StdROC_AUC,0.026134268690744,
19,0.71,0.536,0.712,0.624,0.99,0.026,,n,100,
20,0.768,0.429,0.774,0.601,0.988,0.027,,Error estándar,0.002613426869074,
21,0.757,0.524,0.76,0.642,0.99,0.035,,Valor crítico,1.96,(95%)
22,0.693,0.619,0.694,0.657,0.991,0.031,,Margen de error,0.005122316663386,
23,0.725,0.524,0.729,0.626,0.989,0.028,,,,
24,0.685,0.464,0.689,0.577,0.988,0.015,,,,
25,0.731,0.5,0.735,0.617,0.989,0.027,,,,
26,0.764,0.524,0.768,0.646,0.99,0.037,,,,
27,0.734,0.44,0.739,0.59,0.988,0.021,,,,
