N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.733,0.443,0.738,0.59,0.989,0.02,,,,
1,0.752,0.344,0.758,0.551,0.987,0.012,,MeanAccuracy,0.77192,
2,0.78,0.475,0.784,0.63,0.99,0.034,,StdAccuracy,0.023621031546339,
3,0.786,0.525,0.79,0.657,0.991,0.042,,n,100,
4,0.787,0.443,0.792,0.617,0.989,0.032,,Error estándar,0.002362103154634,
5,0.778,0.426,0.784,0.605,0.989,0.027,,Valor crítico,1.96,(95%)
6,0.814,0.426,0.82,0.623,0.989,0.038,,Margen de error,0.004629722183082,
7,0.778,0.574,0.781,0.677,0.992,0.045,,,,
8,0.771,0.459,0.776,0.618,0.99,0.029,,,,
9,0.76,0.607,0.762,0.684,0.992,0.043,,MeanSpecificity,0.47544,
10,0.797,0.541,0.801,0.671,0.991,0.048,,StdSpecificity,0.070373365025772,
11,0.748,0.492,0.752,0.622,0.99,0.028,,n,100,
12,0.753,0.459,0.758,0.608,0.989,0.025,,Error estándar,0.007037336502577,
13,0.732,0.41,0.737,0.573,0.988,0.016,,Valor crítico,1.96,(95%)
14,0.722,0.525,0.725,0.625,0.99,0.026,,Margen de error,0.013793179545051,
15,0.764,0.557,0.767,0.662,0.991,0.039,,,,
16,0.739,0.525,0.743,0.634,0.99,0.029,,,,
17,0.748,0.492,0.751,0.622,0.99,0.028,,MeanROC_AUC,0.62593,
18,0.786,0.459,0.791,0.625,0.99,0.033,,StdROC_AUC,0.03328822857432,
19,0.798,0.443,0.803,0.623,0.99,0.035,,n,100,
20,0.763,0.459,0.767,0.613,0.989,0.027,,Error estándar,0.003328822857432,
21,0.764,0.492,0.768,0.63,0.99,0.032,,Valor crítico,1.96,(95%)
22,0.754,0.541,0.757,0.649,0.991,0.034,,Margen de error,0.006524492800567,
23,0.785,0.393,0.791,0.592,0.988,0.025,,,,
24,0.775,0.508,0.779,0.644,0.99,0.036,,,,
25,0.743,0.574,0.745,0.66,0.991,0.035,,,,
26,0.787,0.525,0.791,0.658,0.991,0.042,,,,
27,0.814,0.443,0.82,0.631,0.99,0.04,,,,
28,0.777,0.443,0.782,0.612,0.989,0.029,,,,
29,0.802,0.475,0.807,0.641,0.99,0.041,,,,
30,0.771,0.393,0.776,0.585,0.988,0.021,,,,
31,0.76,0.393,0.766,0.58,0.988,0.019,,,,
32,0.773,0.377,0.779,0.578,0.988,0.02,,,,
33,0.77,0.459,0.775,0.617,0.989,0.029,,,,
34,0.765,0.459,0.769,0.614,0.989,0.028,,,,
35,0.76,0.475,0.764,0.62,0.99,0.029,,,,
36,0.784,0.377,0.79,0.583,0.988,0.022,,,,
37,0.796,0.607,0.799,0.703,0.993,0.055,,,,
38,0.778,0.377,0.784,0.58,0.988,0.021,,,,
39,0.782,0.377,0.788,0.582,0.988,0.022,,,,
40,0.741,0.525,0.745,0.635,0.99,0.03,,,,
41,0.774,0.443,0.779,0.611,0.989,0.028,,,,
42,0.783,0.492,0.787,0.639,0.99,0.036,,,,
43,0.807,0.426,0.813,0.62,0.989,0.035,,,,
44,0.748,0.541,0.751,0.646,0.991,0.033,,,,
45,0.767,0.443,0.771,0.607,0.989,0.026,,,,
46,0.76,0.508,0.764,0.636,0.99,0.032,,,,
47,0.787,0.279,0.795,0.537,0.986,0.01,,,,
48,0.778,0.41,0.784,0.597,0.989,0.025,,,,
49,0.795,0.525,0.799,0.662,0.991,0.045,,,,
50,0.785,0.459,0.79,0.624,0.99,0.033,,,,
51,0.764,0.541,0.767,0.654,0.991,0.037,,,,
52,0.794,0.59,0.797,0.694,0.992,0.053,,,,
53,0.751,0.492,0.755,0.623,0.99,0.028,,,,
54,0.743,0.492,0.747,0.619,0.99,0.027,,,,
55,0.807,0.508,0.811,0.66,0.991,0.046,,,,
56,0.762,0.508,0.765,0.637,0.99,0.033,,,,
57,0.761,0.525,0.765,0.645,0.991,0.035,,,,
58,0.786,0.459,0.791,0.625,0.99,0.033,,,,
59,0.753,0.492,0.757,0.624,0.99,0.029,,,,
60,0.798,0.393,0.804,0.599,0.989,0.028,,,,
61,0.778,0.475,0.783,0.629,0.99,0.033,,,,
62,0.767,0.377,0.773,0.575,0.988,0.019,,,,
63,0.829,0.377,0.836,0.607,0.989,0.036,,,,
64,0.788,0.426,0.794,0.61,0.989,0.03,,,,
65,0.77,0.639,0.772,0.706,0.993,0.05,,,,
66,0.739,0.426,0.743,0.585,0.988,0.019,,,,
67,0.743,0.459,0.747,0.603,0.989,0.023,,,,
68,0.809,0.443,0.815,0.629,0.99,0.038,,,,
69,0.734,0.623,0.735,0.679,0.992,0.038,,,,
70,0.79,0.557,0.794,0.676,0.992,0.047,,,,
71,0.764,0.377,0.77,0.573,0.988,0.018,,,,
72,0.782,0.525,0.786,0.655,0.991,0.04,,,,
73,0.803,0.311,0.811,0.561,0.987,0.018,,,,
74,0.761,0.459,0.765,0.612,0.989,0.027,,,,
75,0.747,0.672,0.748,0.71,0.993,0.047,,,,
76,0.798,0.492,0.803,0.647,0.99,0.041,,,,
77,0.726,0.492,0.73,0.611,0.99,0.023,,,,
78,0.815,0.541,0.819,0.68,0.992,0.054,,,,
79,0.77,0.508,0.774,0.641,0.99,0.035,,,,
80,0.768,0.459,0.773,0.616,0.989,0.029,,,,
81,0.761,0.443,0.766,0.604,0.989,0.025,,,,
82,0.79,0.426,0.796,0.611,0.989,0.03,,,,
83,0.802,0.41,0.808,0.609,0.989,0.031,,,,
84,0.76,0.459,0.764,0.612,0.989,0.027,,,,
85,0.774,0.574,0.777,0.676,0.992,0.044,,,,
86,0.795,0.492,0.8,0.646,0.99,0.04,,,,
87,0.769,0.475,0.773,0.624,0.99,0.031,,,,
88,0.8,0.41,0.806,0.608,0.989,0.031,,,,
89,0.755,0.492,0.759,0.626,0.99,0.029,,,,
90,0.781,0.541,0.784,0.663,0.991,0.042,,,,
91,0.779,0.443,0.784,0.613,0.989,0.029,,,,
92,0.798,0.41,0.804,0.607,0.989,0.03,,,,
93,0.685,0.557,0.687,0.622,0.99,0.022,,,,
94,0.795,0.443,0.801,0.622,0.99,0.034,,,,
95,0.751,0.508,0.755,0.632,0.99,0.03,,,,
96,0.761,0.525,0.765,0.645,0.991,0.035,,,,
97,0.748,0.59,0.75,0.67,0.992,0.038,,,,
98,0.774,0.393,0.78,0.587,0.988,0.022,,,,
99,0.76,0.492,0.764,0.628,0.99,0.031,,,,
