N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.742,0.634,0.744,0.689,0.992,0.042,,,,
1,0.812,0.465,0.817,0.641,0.99,0.043,,MeanAccuracy,0.77357,
2,0.775,0.352,0.781,0.567,0.987,0.017,,StdAccuracy,0.020197637125529,
3,0.772,0.507,0.776,0.641,0.99,0.036,,n,100,
4,0.774,0.479,0.778,0.628,0.99,0.033,,Error estándar,0.002019763712553,
5,0.783,0.521,0.787,0.654,0.991,0.04,,Valor crítico,1.96,(95%)
6,0.766,0.563,0.769,0.666,0.991,0.041,,Margen de error,0.003958736876604,
7,0.788,0.521,0.792,0.657,0.991,0.042,,,,
8,0.755,0.451,0.76,0.605,0.989,0.025,,,,
9,0.783,0.423,0.788,0.606,0.989,0.028,,MeanSpecificity,0.46601,
10,0.822,0.437,0.828,0.632,0.99,0.043,,StdSpecificity,0.066909783222703,
11,0.731,0.437,0.736,0.586,0.988,0.019,,n,100,
12,0.771,0.437,0.776,0.606,0.989,0.027,,Error estándar,0.00669097832227,
13,0.786,0.423,0.792,0.607,0.989,0.029,,Valor crítico,1.96,(95%)
14,0.762,0.493,0.767,0.63,0.99,0.032,,Margen de error,0.01311431751165,
15,0.746,0.507,0.75,0.628,0.99,0.029,,,,
16,0.793,0.465,0.798,0.632,0.99,0.037,,,,
17,0.784,0.437,0.79,0.613,0.989,0.03,,MeanROC_AUC,0.62209,
18,0.767,0.479,0.772,0.625,0.99,0.031,,StdROC_AUC,0.031474567254188,
19,0.786,0.451,0.792,0.621,0.989,0.033,,n,100,
20,0.788,0.296,0.796,0.546,0.987,0.013,,Error estándar,0.003147456725419,
21,0.762,0.394,0.768,0.581,0.988,0.02,,Valor crítico,1.96,(95%)
22,0.79,0.394,0.796,0.595,0.988,0.026,,Margen de error,0.006169015181821,
23,0.763,0.479,0.767,0.623,0.99,0.03,,,,
24,0.778,0.507,0.782,0.645,0.99,0.037,,,,
25,0.772,0.38,0.778,0.579,0.988,0.02,,,,
26,0.757,0.592,0.759,0.675,0.992,0.041,,,,
27,0.79,0.437,0.796,0.616,0.989,0.032,,,,
28,0.761,0.423,0.766,0.594,0.989,0.023,,,,
29,0.79,0.535,0.794,0.665,0.991,0.045,,,,
30,0.752,0.563,0.755,0.659,0.991,0.037,,,,
31,0.794,0.521,0.798,0.66,0.991,0.044,,,,
32,0.787,0.479,0.792,0.635,0.99,0.037,,,,
33,0.778,0.465,0.783,0.624,0.99,0.032,,,,
34,0.789,0.268,0.797,0.532,0.986,0.009,,,,
35,0.814,0.451,0.82,0.635,0.99,0.042,,,,
36,0.735,0.479,0.739,0.609,0.989,0.024,,,,
37,0.736,0.535,0.74,0.637,0.99,0.03,,,,
38,0.799,0.606,0.802,0.704,0.992,0.057,,,,
39,0.784,0.423,0.789,0.606,0.989,0.028,,,,
40,0.763,0.577,0.766,0.672,0.992,0.041,,,,
41,0.744,0.465,0.748,0.607,0.989,0.024,,,,
42,0.752,0.479,0.756,0.617,0.99,0.027,,,,
43,0.792,0.479,0.797,0.638,0.99,0.038,,,,
44,0.752,0.549,0.755,0.652,0.991,0.035,,,,
45,0.782,0.423,0.788,0.605,0.989,0.028,,,,
46,0.755,0.423,0.76,0.591,0.988,0.022,,,,
47,0.773,0.394,0.779,0.586,0.988,0.022,,,,
48,0.765,0.423,0.77,0.596,0.989,0.024,,,,
49,0.775,0.465,0.779,0.622,0.99,0.031,,,,
50,0.757,0.451,0.762,0.606,0.989,0.025,,,,
51,0.779,0.38,0.785,0.583,0.988,0.022,,,,
52,0.787,0.423,0.793,0.608,0.989,0.029,,,,
53,0.794,0.451,0.799,0.625,0.99,0.035,,,,
54,0.748,0.408,0.753,0.581,0.988,0.019,,,,
55,0.775,0.549,0.778,0.664,0.991,0.042,,,,
56,0.79,0.451,0.795,0.623,0.989,0.034,,,,
57,0.771,0.38,0.777,0.579,0.988,0.02,,,,
58,0.757,0.493,0.761,0.627,0.99,0.03,,,,
59,0.778,0.507,0.782,0.645,0.99,0.037,,,,
60,0.774,0.493,0.778,0.636,0.99,0.035,,,,
61,0.776,0.437,0.781,0.609,0.989,0.028,,,,
62,0.775,0.507,0.78,0.643,0.99,0.037,,,,
63,0.77,0.423,0.775,0.599,0.989,0.025,,,,
64,0.775,0.549,0.778,0.664,0.991,0.042,,,,
