Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC_Linear,10,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,4,0.05,0.976,0.209,0.989,0.599,0.987,0.209
AdaBoost,4,0.05,0.983,0.002,0.999,0.501,0.984,0.003
GradientBoosting,4,0.05,0.983,0.025,0.999,0.512,0.984,0.041
SGD,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,4,0.05,0.961,0.27,0.973,0.622,0.988,0.145
ExtraTrees,4,0.05,0.974,0.261,0.986,0.623,0.988,0.217
SVC_Linear,17,0.1,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,10,0.1,0.984,0.001,1.0,0.5,0.984,0.001
RandomForest,4,0.1,0.976,0.226,0.989,0.607,0.987,0.201
AdaBoost,4,0.1,0.982,0.002,0.998,0.5,0.984,0.001
GradientBoosting,3,0.1,0.981,0.029,0.997,0.513,0.984,0.04
SGD,3,0.1,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,3,0.1,0.94,0.282,0.951,0.617,0.988,0.088
ExtraTrees,3,0.1,0.971,0.255,0.983,0.619,0.988,0.177
SVC_Linear,15,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,15,0.2,0.983,0.0,0.999,0.5,0.984,-0.001
RandomForest,7,0.2,0.951,0.249,0.962,0.605,0.987,0.114
AdaBoost,4,0.2,0.978,0.01,0.994,0.502,0.984,0.005
GradientBoosting,4,0.2,0.974,0.075,0.989,0.532,0.985,0.071
SGD,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.2,0.903,0.297,0.913,0.605,0.988,0.062
ExtraTrees,3,0.2,0.936,0.268,0.947,0.608,0.988,0.093
SVC_Linear,16,0.3,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,5,0.3,0.983,0.003,0.999,0.501,0.984,0.002
RandomForest,4,0.3,0.917,0.245,0.928,0.587,0.987,0.057
AdaBoost,4,0.3,0.968,0.044,0.983,0.514,0.984,0.024
GradientBoosting,3,0.3,0.963,0.101,0.977,0.539,0.985,0.058
SGD,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.3,0.876,0.292,0.885,0.589,0.987,0.039
ExtraTrees,3,0.3,0.904,0.256,0.915,0.586,0.987,0.05
SVC_Linear,22,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,12,0.4,0.98,0.004,0.996,0.5,0.984,-0.0
RandomForest,11,0.4,0.859,0.384,0.866,0.625,0.989,0.051
AdaBoost,9,0.4,0.953,0.074,0.967,0.521,0.985,0.026
GradientBoosting,3,0.4,0.943,0.158,0.956,0.557,0.986,0.055
SGD,3,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.4,0.793,0.433,0.799,0.616,0.989,0.031
ExtraTrees,3,0.4,0.849,0.384,0.857,0.621,0.989,0.048
SVC_Linear,12,0.5,0.977,0.004,0.993,0.499,0.984,-0.001
LinearSVC,8,0.5,0.971,0.018,0.986,0.502,0.984,0.006
RandomForest,3,0.5,0.847,0.339,0.855,0.597,0.988,0.032
AdaBoost,3,0.5,0.926,0.119,0.94,0.529,0.985,0.019
GradientBoosting,3,0.5,0.917,0.17,0.93,0.55,0.986,0.031
SGD,3,0.5,0.96,0.027,0.975,0.501,0.984,-0.001
DecisionTree,3,0.5,0.793,0.376,0.8,0.588,0.988,0.022
ExtraTrees,3,0.5,0.837,0.347,0.845,0.596,0.988,0.031
