Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC_Linear,2,0.05,0.584,0.507,0.586,0.546,0.986,0.007
LinearSVC,2,0.05,0.576,0.54,0.577,0.559,0.987,0.009
RandomForest,2,0.05,0.856,0.38,0.864,0.622,0.988,0.209
AdaBoost,2,0.05,0.984,0.002,1.0,0.501,0.984,0.003
GradientBoosting,2,0.05,0.983,0.03,0.999,0.515,0.984,0.051
SGD,2,0.05,0.679,0.338,0.685,0.511,0.838,0.003
DecisionTree,2,0.05,0.801,0.468,0.807,0.638,0.989,0.122
ExtraTrees,2,0.05,0.813,0.457,0.819,0.638,0.989,0.186
SVC_Linear,2,0.1,0.581,0.531,0.582,0.557,0.987,0.009
LinearSVC,2,0.1,0.567,0.555,0.567,0.561,0.987,0.009
RandomForest,2,0.1,0.877,0.369,0.885,0.627,0.988,0.134
AdaBoost,2,0.1,0.983,0.002,0.999,0.5,0.984,0.001
GradientBoosting,2,0.1,0.981,0.042,0.997,0.519,0.985,0.062
SGD,2,0.1,0.258,0.766,0.249,0.508,0.788,0.001
DecisionTree,2,0.1,0.81,0.476,0.816,0.646,0.99,0.072
ExtraTrees,2,0.1,0.826,0.458,0.832,0.645,0.989,0.107
SVC_Linear,2,0.2,0.588,0.497,0.59,0.543,0.986,0.007
LinearSVC,2,0.2,0.569,0.545,0.569,0.557,0.987,0.008
RandomForest,2,0.2,0.847,0.377,0.855,0.616,0.988,0.091
AdaBoost,2,0.2,0.976,0.021,0.992,0.506,0.984,0.016
GradientBoosting,2,0.2,0.973,0.084,0.988,0.536,0.985,0.077
SGD,2,0.2,0.712,0.299,0.719,0.509,0.886,0.011
DecisionTree,2,0.2,0.787,0.455,0.793,0.624,0.989,0.047
ExtraTrees,2,0.2,0.816,0.41,0.823,0.616,0.988,0.068
SVC_Linear,2,0.3,0.581,0.505,0.583,0.544,0.986,0.007
LinearSVC,2,0.3,0.563,0.542,0.563,0.553,0.987,0.007
RandomForest,2,0.3,0.829,0.431,0.836,0.633,0.989,0.073
AdaBoost,2,0.3,0.964,0.053,0.979,0.516,0.984,0.025
GradientBoosting,2,0.3,0.96,0.134,0.973,0.553,0.986,0.074
SGD,2,0.3,0.406,0.638,0.402,0.52,0.988,0.005
DecisionTree,2,0.3,0.739,0.511,0.742,0.627,0.989,0.036
ExtraTrees,2,0.3,0.784,0.474,0.789,0.632,0.989,0.061
SVC_Linear,2,0.4,0.584,0.482,0.585,0.534,0.986,0.005
LinearSVC,2,0.4,0.575,0.518,0.575,0.547,0.986,0.007
RandomForest,2,0.4,0.736,0.501,0.74,0.62,0.989,0.045
AdaBoost,2,0.4,0.949,0.105,0.963,0.534,0.985,0.039
GradientBoosting,2,0.4,0.94,0.153,0.953,0.553,0.986,0.052
SGD,2,0.4,0.693,0.339,0.699,0.519,0.887,0.006
DecisionTree,2,0.4,0.658,0.561,0.659,0.61,0.989,0.025
ExtraTrees,2,0.4,0.707,0.522,0.71,0.616,0.989,0.039
