Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.582,0.517,0.583,0.55,0.987,0.007
SVC_Linear,2,0.05,0.587,0.509,0.588,0.548,0.987,0.007
LinearSVC,2,0.05,0.568,0.541,0.568,0.555,0.987,0.008
KNeighbors,2,0.05,0.979,0.088,0.993,0.54,0.985,0.108
RandomForest,2,0.05,0.982,0.337,0.992,0.665,0.989,0.364
AdaBoost,2,0.05,0.984,0.002,1.0,0.501,0.984,0.003
GradientBoosting,2,0.05,0.983,0.049,0.999,0.524,0.985,0.082
GaussianNB,2,0.05,0.971,0.021,0.986,0.504,0.984,0.007
SGD,2,0.05,0.5,0.53,0.499,0.515,0.935,0.003
DecisionTree,2,0.05,0.954,0.384,0.963,0.673,0.99,0.192
ExtraTrees,2,0.05,0.977,0.352,0.987,0.67,0.989,0.318
BaggingClassifierDT,2,0.05,0.976,0.331,0.987,0.659,0.989,0.297
BaggingClassifierLSVC,2,0.05,0.566,0.547,0.566,0.556,0.987,0.008
SVC,2,0.1,0.582,0.489,0.584,0.537,0.986,0.006
SVC_Linear,2,0.1,0.584,0.49,0.586,0.538,0.986,0.006
LinearSVC,2,0.1,0.566,0.526,0.566,0.546,0.987,0.007
KNeighbors,2,0.1,0.967,0.099,0.981,0.54,0.985,0.072
RandomForest,2,0.1,0.976,0.344,0.987,0.665,0.989,0.305
AdaBoost,2,0.1,0.982,0.009,0.998,0.503,0.984,0.012
GradientBoosting,2,0.1,0.981,0.057,0.996,0.526,0.985,0.081
GaussianNB,2,0.1,0.954,0.043,0.969,0.506,0.984,0.008
SGD,2,0.1,0.501,0.522,0.501,0.511,0.937,0.005
DecisionTree,2,0.1,0.922,0.405,0.93,0.668,0.99,0.12
ExtraTrees,2,0.1,0.968,0.364,0.978,0.671,0.989,0.252
BaggingClassifierDT,2,0.1,0.961,0.358,0.97,0.664,0.989,0.209
BaggingClassifierLSVC,2,0.1,0.561,0.532,0.561,0.547,0.987,0.007
SVC,2,0.2,0.58,0.522,0.581,0.551,0.987,0.008
SVC_Linear,2,0.2,0.591,0.507,0.592,0.55,0.987,0.008
LinearSVC,2,0.2,0.571,0.553,0.571,0.562,0.987,0.009
KNeighbors,2,0.2,0.934,0.151,0.947,0.549,0.986,0.045
RandomForest,2,0.2,0.953,0.361,0.963,0.662,0.989,0.178
AdaBoost,2,0.2,0.978,0.018,0.994,0.506,0.984,0.017
GradientBoosting,2,0.2,0.974,0.097,0.989,0.543,0.985,0.096
GaussianNB,2,0.2,0.912,0.093,0.926,0.509,0.984,0.008
SGD,2,0.2,0.676,0.348,0.681,0.514,0.934,0.008
DecisionTree,2,0.2,0.86,0.458,0.867,0.662,0.99,0.069
ExtraTrees,2,0.2,0.937,0.378,0.946,0.662,0.989,0.141
BaggingClassifierDT,2,0.2,0.916,0.401,0.925,0.663,0.99,0.11
BaggingClassifierLSVC,2,0.2,0.569,0.554,0.569,0.562,0.987,0.009
SVC,2,0.3,0.575,0.538,0.576,0.557,0.987,0.008
SVC_Linear,2,0.3,0.592,0.514,0.593,0.554,0.987,0.008
LinearSVC,2,0.3,0.565,0.555,0.565,0.56,0.987,0.009
KNeighbors,2,0.3,0.886,0.232,0.897,0.564,0.986,0.035
RandomForest,2,0.3,0.92,0.406,0.928,0.667,0.99,0.118
AdaBoost,2,0.3,0.965,0.066,0.979,0.523,0.985,0.036
GradientBoosting,2,0.3,0.96,0.156,0.974,0.565,0.986,0.095
GaussianNB,2,0.3,0.871,0.166,0.883,0.524,0.985,0.014
SGD,2,0.3,0.548,0.493,0.549,0.521,0.986,0.004
DecisionTree,2,0.3,0.813,0.491,0.818,0.654,0.99,0.05
ExtraTrees,2,0.3,0.902,0.422,0.91,0.666,0.99,0.098
BaggingClassifierDT,2,0.3,0.868,0.434,0.875,0.654,0.99,0.069
BaggingClassifierLSVC,2,0.3,0.558,0.562,0.558,0.56,0.987,0.008
SVC,2,0.4,0.59,0.503,0.591,0.547,0.986,0.007
SVC_Linear,2,0.4,0.595,0.503,0.596,0.55,0.987,0.008
LinearSVC,2,0.4,0.566,0.542,0.567,0.554,0.987,0.008
KNeighbors,2,0.4,0.829,0.289,0.838,0.564,0.986,0.023
RandomForest,2,0.4,0.872,0.438,0.879,0.658,0.99,0.074
AdaBoost,2,0.4,0.945,0.112,0.958,0.535,0.985,0.041
GradientBoosting,2,0.4,0.93,0.197,0.942,0.57,0.986,0.061
GaussianNB,2,0.4,0.791,0.264,0.8,0.532,0.985,0.012
SGD,2,0.4,0.693,0.332,0.699,0.515,0.935,0.011
DecisionTree,2,0.4,0.762,0.518,0.766,0.642,0.99,0.037
ExtraTrees,2,0.4,0.86,0.451,0.866,0.659,0.99,0.067
BaggingClassifierDT,2,0.4,0.805,0.489,0.81,0.649,0.99,0.047
BaggingClassifierLSVC,2,0.4,0.561,0.545,0.561,0.553,0.987,0.008
SVC,2,0.5,0.563,0.543,0.563,0.553,0.987,0.008
SVC_Linear,2,0.5,0.576,0.521,0.577,0.549,0.987,0.007
LinearSVC,2,0.5,0.569,0.533,0.57,0.551,0.987,0.007
