Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,2,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,2,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,2,0.05,0.982,0.025,0.998,0.511,0.984,0.019
SGD,2,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,2,0.05,0.981,0.028,0.997,0.512,0.984,0.017
ExtraTrees,2,0.05,0.982,0.028,0.997,0.513,0.984,0.019
BaggingClassifierDT,2,0.05,0.982,0.024,0.998,0.511,0.984,0.017
BaggingClassifierLSVC,2,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,2,0.1,0.974,0.061,0.989,0.525,0.985,0.028
SGD,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,2,0.1,0.972,0.07,0.987,0.528,0.985,0.03
ExtraTrees,2,0.1,0.973,0.068,0.988,0.528,0.985,0.031
BaggingClassifierDT,2,0.1,0.974,0.066,0.988,0.527,0.985,0.03
BaggingClassifierLSVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,2,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.2,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,2,0.2,0.983,0.0,1.0,0.5,0.984,-0.001
RandomForest,2,0.2,0.929,0.205,0.941,0.573,0.987,0.047
SGD,2,0.2,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,2,0.2,0.92,0.219,0.932,0.575,0.987,0.045
ExtraTrees,2,0.2,0.925,0.218,0.937,0.578,0.987,0.049
BaggingClassifierDT,2,0.2,0.928,0.193,0.94,0.567,0.986,0.044
BaggingClassifierLSVC,2,0.2,0.983,0.0,0.999,0.5,0.984,-0.001
SVC,2,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.3,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,2,0.3,0.982,0.001,0.998,0.5,0.984,-0.001
RandomForest,2,0.3,0.911,0.207,0.922,0.565,0.986,0.044
SGD,2,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,2,0.3,0.901,0.227,0.912,0.569,0.987,0.043
ExtraTrees,2,0.3,0.906,0.219,0.918,0.568,0.986,0.045
BaggingClassifierDT,2,0.3,0.91,0.194,0.921,0.558,0.986,0.04
BaggingClassifierLSVC,2,0.3,0.982,0.003,0.998,0.5,0.984,0.001
SVC,2,0.4,0.983,0.001,0.999,0.5,0.984,-0.001
SVC_Linear,2,0.4,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,2,0.4,0.98,0.005,0.996,0.501,0.984,0.001
RandomForest,2,0.4,0.922,0.155,0.935,0.545,0.986,0.037
SGD,2,0.4,0.975,0.013,0.99,0.502,0.984,0.0
DecisionTree,2,0.4,0.908,0.175,0.92,0.548,0.986,0.034
ExtraTrees,2,0.4,0.913,0.17,0.925,0.547,0.986,0.036
BaggingClassifierDT,2,0.4,0.917,0.162,0.929,0.546,0.986,0.033
BaggingClassifierLSVC,2,0.4,0.979,0.007,0.995,0.501,0.984,0.002
SVC,2,0.5,0.979,0.008,0.994,0.501,0.984,0.001
SVC_Linear,2,0.5,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,2,0.5,0.975,0.014,0.99,0.502,0.984,0.005
RandomForest,2,0.5,0.819,0.341,0.826,0.584,0.987,0.028
SGD,2,0.5,0.953,0.047,0.968,0.508,0.984,0.004
DecisionTree,2,0.5,0.801,0.353,0.808,0.581,0.987,0.025
ExtraTrees,2,0.5,0.809,0.357,0.816,0.587,0.988,0.027
BaggingClassifierDT,2,0.5,0.805,0.345,0.812,0.578,0.987,0.024
BaggingClassifierLSVC,2,0.5,0.973,0.015,0.989,0.502,0.984,0.003
SVC,3,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,3,0.05,0.97,0.188,0.983,0.585,0.987,0.126
SGD,3,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.05,0.964,0.232,0.976,0.604,0.987,0.119
ExtraTrees,3,0.05,0.969,0.223,0.981,0.602,0.987,0.136
BaggingClassifierDT,3,0.05,0.969,0.195,0.982,0.588,0.987,0.126
BaggingClassifierLSVC,3,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,3,0.1,0.957,0.197,0.969,0.583,0.987,0.085
SGD,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.1,0.947,0.229,0.959,0.594,0.987,0.074
ExtraTrees,3,0.1,0.955,0.221,0.967,0.594,0.987,0.091
BaggingClassifierDT,3,0.1,0.954,0.203,0.966,0.584,0.987,0.078
BaggingClassifierLSVC,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.001
RandomForest,3,0.2,0.916,0.32,0.926,0.623,0.988,0.086
SGD,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.2,0.885,0.352,0.893,0.623,0.988,0.059
ExtraTrees,3,0.2,0.909,0.337,0.919,0.628,0.988,0.08
BaggingClassifierDT,3,0.2,0.903,0.322,0.912,0.617,0.988,0.068
BaggingClassifierLSVC,3,0.2,0.984,0.001,1.0,0.5,0.984,0.0
SVC,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.3,0.983,0.0,1.0,0.5,0.984,-0.001
RandomForest,3,0.3,0.867,0.374,0.875,0.624,0.989,0.059
SGD,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.3,0.83,0.411,0.837,0.624,0.989,0.044
ExtraTrees,3,0.3,0.856,0.393,0.864,0.628,0.989,0.056
BaggingClassifierDT,3,0.3,0.852,0.367,0.86,0.614,0.988,0.046
BaggingClassifierLSVC,3,0.3,0.983,0.0,0.999,0.5,0.984,-0.001
SVC,3,0.4,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,3,0.4,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,3,0.4,0.982,0.002,0.998,0.5,0.984,-0.0
RandomForest,3,0.4,0.823,0.418,0.829,0.624,0.989,0.045
SGD,3,0.4,0.983,0.001,0.999,0.5,0.984,0.0
DecisionTree,3,0.4,0.787,0.453,0.793,0.623,0.989,0.037
ExtraTrees,3,0.4,0.814,0.426,0.82,0.623,0.989,0.044
BaggingClassifierDT,3,0.4,0.801,0.436,0.807,0.621,0.989,0.04
BaggingClassifierLSVC,3,0.4,0.981,0.003,0.997,0.5,0.984,0.001
SVC,3,0.5,0.983,0.001,0.999,0.5,0.984,0.0
SVC_Linear,3,0.5,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.5,0.977,0.006,0.993,0.5,0.984,-0.001
RandomForest,3,0.5,0.782,0.429,0.788,0.608,0.988,0.03
SGD,3,0.5,0.91,0.098,0.923,0.511,0.984,0.004
DecisionTree,3,0.5,0.747,0.467,0.752,0.609,0.989,0.026
ExtraTrees,3,0.5,0.772,0.459,0.777,0.618,0.989,0.032
BaggingClassifierDT,3,0.5,0.754,0.437,0.759,0.598,0.988,0.024
BaggingClassifierLSVC,3,0.5,0.977,0.007,0.992,0.5,0.984,-0.001
SVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,4,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,4,0.05,0.978,0.163,0.991,0.577,0.986,0.175
SGD,4,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,4,0.05,0.966,0.197,0.978,0.588,0.987,0.13
ExtraTrees,4,0.05,0.974,0.187,0.987,0.587,0.987,0.167
BaggingClassifierDT,4,0.05,0.975,0.162,0.989,0.576,0.986,0.153
BaggingClassifierLSVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,4,0.1,0.984,0.001,1.0,0.501,0.984,0.002
SVC_Linear,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,4,0.1,0.963,0.293,0.974,0.633,0.988,0.198
SGD,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,4,0.1,0.93,0.351,0.94,0.645,0.989,0.114
ExtraTrees,4,0.1,0.956,0.328,0.966,0.647,0.989,0.181
BaggingClassifierDT,4,0.1,0.954,0.298,0.964,0.631,0.988,0.15
BaggingClassifierLSVC,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
RandomForest,4,0.2,0.92,0.364,0.929,0.647,0.989,0.121
SGD,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
DecisionTree,4,0.2,0.855,0.428,0.862,0.645,0.989,0.06
ExtraTrees,4,0.2,0.905,0.388,0.913,0.651,0.989,0.104
BaggingClassifierDT,4,0.2,0.898,0.379,0.907,0.643,0.989,0.084
BaggingClassifierLSVC,4,0.2,0.984,0.001,1.0,0.5,0.984,0.0
SVC,4,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,4,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.3,0.983,0.001,0.999,0.5,0.984,-0.001
RandomForest,4,0.3,0.879,0.383,0.887,0.635,0.989,0.075
SGD,4,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,4,0.3,0.811,0.447,0.816,0.632,0.989,0.042
ExtraTrees,4,0.3,0.867,0.405,0.874,0.639,0.989,0.068
BaggingClassifierDT,4,0.3,0.847,0.397,0.855,0.626,0.989,0.05
BaggingClassifierLSVC,4,0.3,0.982,0.002,0.998,0.5,0.984,0.0
SVC,4,0.4,0.983,0.002,0.999,0.501,0.984,0.003
SVC_Linear,4,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.4,0.981,0.004,0.997,0.5,0.984,0.002
RandomForest,4,0.4,0.821,0.455,0.827,0.641,0.989,0.051
SGD,4,0.4,0.925,0.08,0.938,0.509,0.984,0.003
DecisionTree,4,0.4,0.761,0.521,0.765,0.643,0.99,0.037
ExtraTrees,4,0.4,0.812,0.466,0.818,0.642,0.989,0.049
BaggingClassifierDT,4,0.4,0.785,0.478,0.79,0.634,0.989,0.039
BaggingClassifierLSVC,4,0.4,0.98,0.009,0.996,0.503,0.984,0.008
SVC,4,0.5,0.983,0.002,1.0,0.501,0.984,0.003
SVC_Linear,4,0.5,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.5,0.975,0.016,0.991,0.504,0.984,0.007
RandomForest,4,0.5,0.787,0.425,0.793,0.609,0.988,0.031
SGD,4,0.5,0.905,0.091,0.918,0.505,0.984,0.002
DecisionTree,4,0.5,0.75,0.455,0.755,0.605,0.989,0.025
ExtraTrees,4,0.5,0.78,0.434,0.785,0.61,0.988,0.03
BaggingClassifierDT,4,0.5,0.766,0.426,0.772,0.599,0.988,0.025
BaggingClassifierLSVC,4,0.5,0.973,0.016,0.989,0.502,0.984,0.004
SVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,5,0.05,0.973,0.239,0.985,0.612,0.988,0.225
SGD,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,5,0.05,0.95,0.307,0.96,0.634,0.988,0.144
ExtraTrees,5,0.05,0.967,0.28,0.979,0.629,0.988,0.22
BaggingClassifierDT,5,0.05,0.971,0.249,0.983,0.616,0.988,0.205
BaggingClassifierLSVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,5,0.1,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,5,0.1,0.984,0.001,1.0,0.501,0.984,0.002
RandomForest,5,0.1,0.965,0.27,0.976,0.623,0.988,0.198
SGD,5,0.1,0.984,0.001,1.0,0.501,0.984,0.002
DecisionTree,5,0.1,0.921,0.326,0.931,0.629,0.988,0.089
ExtraTrees,5,0.1,0.955,0.289,0.966,0.627,0.988,0.162
BaggingClassifierDT,5,0.1,0.954,0.281,0.965,0.623,0.988,0.143
BaggingClassifierLSVC,5,0.1,0.984,0.002,1.0,0.501,0.984,0.003
SVC,5,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,5,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.2,0.983,0.0,0.999,0.5,0.984,-0.001
RandomForest,5,0.2,0.929,0.338,0.939,0.638,0.989,0.128
SGD,5,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,5,0.2,0.852,0.434,0.859,0.646,0.989,0.059
ExtraTrees,5,0.2,0.912,0.365,0.921,0.643,0.989,0.108
BaggingClassifierDT,5,0.2,0.906,0.376,0.915,0.646,0.989,0.092
BaggingClassifierLSVC,5,0.2,0.983,0.001,0.999,0.5,0.984,-0.0
SVC,5,0.3,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,5,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.3,0.982,0.001,0.998,0.5,0.984,-0.001
RandomForest,5,0.3,0.892,0.389,0.901,0.645,0.989,0.082
SGD,5,0.3,0.983,0.002,0.999,0.501,0.984,0.001
