Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.582,0.507,0.583,0.545,0.986,0.007
SVC_Linear,2,0.05,0.589,0.502,0.59,0.546,0.986,0.007
LinearSVC,2,0.05,0.57,0.528,0.57,0.549,0.987,0.007
KNeighbors,2,0.05,0.979,0.027,0.994,0.511,0.984,0.028
RandomForest,2,0.05,0.664,0.49,0.667,0.578,0.987,0.04
AdaBoost,2,0.05,0.984,0.001,1.0,0.501,0.984,0.002
GradientBoosting,2,0.05,0.983,0.01,0.999,0.505,0.984,0.016
GaussianNB,2,0.05,0.979,0.008,0.994,0.501,0.984,0.003
SGD,2,0.05,0.655,0.367,0.66,0.513,0.788,0.002
DecisionTree,2,0.05,0.652,0.509,0.655,0.582,0.988,0.039
ExtraTrees,2,0.05,0.652,0.509,0.655,0.582,0.988,0.039
BaggingClassifierDT,2,0.05,0.666,0.472,0.67,0.571,0.987,0.037
BaggingClassifierLSVC,2,0.05,0.567,0.53,0.567,0.548,0.987,0.007
SVC,2,0.1,0.581,0.531,0.582,0.556,0.987,0.008
SVC_Linear,2,0.1,0.59,0.517,0.591,0.554,0.987,0.008
LinearSVC,2,0.1,0.564,0.552,0.564,0.558,0.987,0.008
KNeighbors,2,0.1,0.955,0.048,0.97,0.509,0.984,0.015
RandomForest,2,0.1,0.618,0.478,0.621,0.549,0.986,0.012
AdaBoost,2,0.1,0.983,0.002,0.999,0.501,0.984,0.002
GradientBoosting,2,0.1,0.982,0.006,0.998,0.502,0.984,0.006
GaussianNB,2,0.1,0.976,0.013,0.991,0.502,0.984,0.005
SGD,2,0.1,0.457,0.593,0.455,0.524,0.888,0.004
DecisionTree,2,0.1,0.606,0.504,0.608,0.556,0.987,0.013
ExtraTrees,2,0.1,0.606,0.503,0.608,0.556,0.987,0.013
BaggingClassifierDT,2,0.1,0.616,0.482,0.618,0.55,0.986,0.012
BaggingClassifierLSVC,2,0.1,0.561,0.557,0.561,0.559,0.987,0.008
SVC,2,0.2,0.581,0.536,0.581,0.559,0.987,0.009
SVC_Linear,2,0.2,0.596,0.524,0.597,0.561,0.987,0.009
LinearSVC,2,0.2,0.564,0.569,0.563,0.566,0.988,0.01
KNeighbors,2,0.2,0.92,0.106,0.934,0.52,0.985,0.025
RandomForest,2,0.2,0.685,0.466,0.688,0.577,0.987,0.024
AdaBoost,2,0.2,0.981,0.01,0.997,0.503,0.984,0.011
GradientBoosting,2,0.2,0.978,0.038,0.994,0.516,0.984,0.04
GaussianNB,2,0.2,0.969,0.032,0.984,0.508,0.984,0.014
SGD,2,0.2,0.679,0.324,0.685,0.504,0.934,0.005
DecisionTree,2,0.2,0.655,0.515,0.657,0.586,0.988,0.024
ExtraTrees,2,0.2,0.657,0.51,0.659,0.585,0.988,0.024
BaggingClassifierDT,2,0.2,0.67,0.485,0.673,0.579,0.987,0.024
BaggingClassifierLSVC,2,0.2,0.564,0.569,0.564,0.567,0.988,0.01
SVC,2,0.3,0.578,0.52,0.579,0.55,0.987,0.007
SVC_Linear,2,0.3,0.577,0.516,0.578,0.547,0.986,0.007
LinearSVC,2,0.3,0.572,0.533,0.572,0.553,0.987,0.008
KNeighbors,2,0.3,0.891,0.166,0.903,0.534,0.985,0.021
RandomForest,2,0.3,0.631,0.519,0.633,0.576,0.988,0.016
AdaBoost,2,0.3,0.976,0.022,0.992,0.507,0.984,0.018
GradientBoosting,2,0.3,0.97,0.068,0.985,0.526,0.985,0.049
GaussianNB,2,0.3,0.965,0.041,0.981,0.511,0.984,0.015
SGD,2,0.3,0.55,0.47,0.551,0.511,0.935,0.002
