N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.837,0.447,0.843,0.645,0.989,0.053
1,0.818,0.382,0.825,0.603,0.988,0.035
2,0.841,0.355,0.849,0.602,0.988,0.039
3,0.856,0.329,0.864,0.597,0.987,0.041
4,0.848,0.316,0.857,0.586,0.987,0.035
5,0.807,0.474,0.813,0.643,0.99,0.045
6,0.873,0.395,0.88,0.638,0.989,0.064
7,0.821,0.579,0.825,0.702,0.992,0.067
8,0.818,0.434,0.824,0.629,0.989,0.043
9,0.808,0.303,0.816,0.56,0.986,0.019
10,0.845,0.25,0.855,0.552,0.986,0.021
11,0.832,0.421,0.839,0.63,0.989,0.047
12,0.848,0.355,0.856,0.606,0.988,0.042
13,0.832,0.355,0.839,0.597,0.988,0.035
14,0.793,0.355,0.8,0.578,0.987,0.023
15,0.828,0.382,0.836,0.609,0.988,0.039
16,0.803,0.421,0.809,0.615,0.988,0.036
17,0.871,0.263,0.881,0.572,0.987,0.034
18,0.823,0.316,0.831,0.573,0.987,0.026
19,0.838,0.303,0.847,0.575,0.987,0.028
20,0.852,0.382,0.859,0.621,0.988,0.049
21,0.862,0.316,0.871,0.594,0.987,0.041
22,0.828,0.474,0.834,0.654,0.99,0.054
23,0.827,0.237,0.836,0.537,0.985,0.013
24,0.862,0.342,0.871,0.606,0.988,0.047
25,0.832,0.447,0.838,0.643,0.989,0.051
26,0.838,0.434,0.845,0.64,0.989,0.052
27,0.829,0.342,0.837,0.59,0.987,0.032
28,0.812,0.579,0.816,0.697,0.992,0.062
29,0.845,0.368,0.852,0.61,0.988,0.043
30,0.848,0.276,0.857,0.567,0.986,0.027
31,0.869,0.421,0.876,0.648,0.989,0.067
32,0.826,0.5,0.832,0.666,0.99,0.057
33,0.848,0.276,0.858,0.567,0.986,0.027
34,0.849,0.303,0.858,0.58,0.987,0.033
35,0.834,0.303,0.842,0.572,0.987,0.027
36,0.806,0.368,0.814,0.591,0.987,0.029
37,0.852,0.329,0.861,0.595,0.987,0.039
38,0.829,0.526,0.834,0.68,0.991,0.062
39,0.805,0.355,0.813,0.584,0.987,0.027
40,0.855,0.408,0.863,0.635,0.989,0.056
41,0.825,0.395,0.832,0.613,0.988,0.039
42,0.863,0.342,0.871,0.607,0.988,0.047
43,0.861,0.368,0.869,0.619,0.988,0.051
44,0.87,0.408,0.878,0.643,0.989,0.065
45,0.842,0.382,0.85,0.616,0.988,0.044
46,0.798,0.368,0.805,0.587,0.987,0.027
47,0.842,0.355,0.85,0.603,0.988,0.04
48,0.851,0.316,0.86,0.588,0.987,0.036
49,0.836,0.447,0.842,0.645,0.989,0.053
50,0.822,0.289,0.83,0.56,0.986,0.021
51,0.884,0.342,0.893,0.617,0.988,0.06
52,0.84,0.355,0.848,0.602,0.988,0.039
53,0.824,0.395,0.831,0.613,0.988,0.039
54,0.845,0.342,0.853,0.598,0.988,0.038
55,0.863,0.263,0.873,0.568,0.986,0.03
56,0.836,0.368,0.844,0.606,0.988,0.039
57,0.843,0.316,0.852,0.584,0.987,0.033
58,0.85,0.421,0.857,0.639,0.989,0.056
59,0.851,0.329,0.859,0.594,0.987,0.038
60,0.837,0.355,0.845,0.6,0.988,0.038
61,0.833,0.316,0.842,0.579,0.987,0.029
62,0.84,0.395,0.847,0.621,0.988,0.045
63,0.832,0.316,0.841,0.578,0.987,0.029
64,0.804,0.474,0.809,0.642,0.989,0.044
65,0.828,0.342,0.836,0.589,0.987,0.032
66,0.846,0.382,0.854,0.618,0.988,0.046
67,0.834,0.487,0.839,0.663,0.99,0.059
68,0.859,0.342,0.868,0.605,0.988,0.045
69,0.867,0.368,0.875,0.622,0.988,0.055
70,0.834,0.276,0.843,0.56,0.986,0.022
71,0.835,0.329,0.844,0.586,0.987,0.032
72,0.848,0.408,0.856,0.632,0.989,0.052
73,0.841,0.382,0.849,0.615,0.988,0.044
74,0.849,0.355,0.857,0.606,0.988,0.043
75,0.81,0.408,0.817,0.612,0.988,0.036
76,0.833,0.355,0.84,0.598,0.988,0.036
77,0.857,0.368,0.865,0.617,0.988,0.049
78,0.833,0.421,0.84,0.63,0.989,0.047
79,0.835,0.368,0.842,0.605,0.988,0.039
80,0.841,0.382,0.848,0.615,0.988,0.044
81,0.848,0.355,0.856,0.606,0.988,0.042
82,0.826,0.395,0.833,0.614,0.988,0.04
83,0.852,0.395,0.86,0.627,0.989,0.052
84,0.861,0.263,0.871,0.567,0.986,0.03
85,0.836,0.487,0.842,0.664,0.99,0.06
86,0.84,0.421,0.847,0.634,0.989,0.05
87,0.854,0.329,0.863,0.596,0.987,0.04
88,0.828,0.461,0.834,0.647,0.99,0.052
89,0.844,0.329,0.853,0.591,0.987,0.036
90,0.851,0.329,0.86,0.594,0.987,0.039
91,0.847,0.474,0.853,0.663,0.99,0.063
92,0.828,0.382,0.836,0.609,0.988,0.039
93,0.836,0.303,0.845,0.574,0.987,0.028
94,0.849,0.382,0.857,0.619,0.988,0.048
95,0.835,0.382,0.842,0.612,0.988,0.041
96,0.864,0.289,0.873,0.581,0.987,0.036
97,0.851,0.395,0.859,0.627,0.989,0.051
98,0.841,0.447,0.848,0.648,0.989,0.056
99,0.838,0.434,0.844,0.639,0.989,0.052
