N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.838,0.342,0.847,0.594,0.987,0.036
1,0.802,0.342,0.81,0.576,0.987,0.024
2,0.79,0.395,0.797,0.596,0.988,0.028
3,0.796,0.421,0.802,0.612,0.988,0.034
4,0.825,0.316,0.834,0.575,0.987,0.026
5,0.809,0.329,0.817,0.573,0.987,0.024
6,0.782,0.316,0.79,0.553,0.986,0.015
7,0.794,0.474,0.799,0.636,0.989,0.04
8,0.857,0.316,0.866,0.591,0.987,0.039
9,0.825,0.368,0.833,0.601,0.988,0.035
10,0.784,0.408,0.79,0.599,0.988,0.028
11,0.799,0.224,0.808,0.516,0.985,0.005
12,0.833,0.303,0.841,0.572,0.987,0.027
13,0.796,0.368,0.803,0.586,0.987,0.026
14,0.806,0.447,0.812,0.63,0.989,0.041
15,0.799,0.395,0.805,0.6,0.988,0.03
16,0.804,0.382,0.811,0.596,0.988,0.03
17,0.828,0.329,0.836,0.583,0.987,0.03
18,0.828,0.316,0.837,0.576,0.987,0.027
19,0.809,0.355,0.816,0.586,0.987,0.028
20,0.812,0.342,0.82,0.581,0.987,0.027
21,0.827,0.408,0.833,0.621,0.989,0.042
22,0.805,0.368,0.812,0.59,0.987,0.028
23,0.836,0.316,0.844,0.58,0.987,0.03
24,0.809,0.395,0.816,0.605,0.988,0.034
25,0.809,0.474,0.815,0.644,0.99,0.046
26,0.809,0.395,0.816,0.605,0.988,0.034
27,0.811,0.316,0.819,0.567,0.987,0.022
28,0.796,0.408,0.802,0.605,0.988,0.032
29,0.794,0.382,0.801,0.591,0.988,0.027
30,0.825,0.289,0.834,0.562,0.986,0.022
31,0.841,0.408,0.848,0.628,0.989,0.048
32,0.863,0.303,0.872,0.587,0.987,0.039
33,0.833,0.211,0.844,0.527,0.985,0.01
34,0.803,0.395,0.81,0.602,0.988,0.032
35,0.93,0.092,0.944,0.518,0.985,0.016
36,0.804,0.342,0.811,0.577,0.987,0.024
37,0.936,0.053,0.95,0.501,0.984,0.001
38,0.833,0.382,0.841,0.611,0.988,0.041
39,0.817,0.434,0.824,0.629,0.989,0.043
40,0.814,0.329,0.822,0.576,0.987,0.025
41,0.779,0.566,0.783,0.674,0.991,0.048
42,0.803,0.408,0.809,0.609,0.988,0.034
43,0.815,0.355,0.822,0.589,0.987,0.029
44,0.829,0.355,0.836,0.596,0.988,0.034
45,0.869,0.303,0.878,0.59,0.987,0.042
46,0.813,0.342,0.821,0.581,0.987,0.027
47,0.815,0.355,0.822,0.589,0.987,0.03
48,0.809,0.263,0.818,0.541,0.985,0.013
49,0.816,0.329,0.824,0.576,0.987,0.026
50,0.758,0.487,0.762,0.625,0.989,0.032
51,0.793,0.395,0.8,0.597,0.988,0.029
52,0.927,0.118,0.94,0.529,0.985,0.024
53,0.774,0.539,0.777,0.658,0.99,0.042
54,0.79,0.408,0.796,0.602,0.988,0.03
55,0.791,0.303,0.799,0.551,0.986,0.015
56,0.765,0.434,0.77,0.602,0.988,0.027
57,0.805,0.487,0.81,0.649,0.99,0.046
58,0.798,0.395,0.804,0.599,0.988,0.03
59,0.8,0.421,0.807,0.614,0.988,0.035
60,0.811,0.421,0.817,0.619,0.989,0.038
61,0.867,0.25,0.877,0.564,0.986,0.029
62,0.795,0.408,0.801,0.605,0.988,0.031
63,0.94,0.105,0.954,0.529,0.985,0.03
64,0.893,0.197,0.905,0.551,0.986,0.029
65,0.821,0.447,0.827,0.637,0.989,0.046
66,0.845,0.368,0.852,0.61,0.988,0.043
67,0.858,0.316,0.867,0.591,0.987,0.039
68,0.82,0.408,0.827,0.617,0.988,0.04
69,0.798,0.355,0.805,0.58,0.987,0.025
70,0.818,0.382,0.825,0.604,0.988,0.035
71,0.83,0.303,0.839,0.571,0.987,0.026
72,0.77,0.461,0.775,0.618,0.989,0.031
73,0.839,0.316,0.848,0.582,0.987,0.031
74,0.787,0.382,0.794,0.588,0.987,0.025
75,0.867,0.263,0.877,0.57,0.986,0.032
76,0.822,0.355,0.83,0.592,0.987,0.032
77,0.879,0.316,0.889,0.602,0.988,0.051
78,0.823,0.382,0.831,0.606,0.988,0.037
79,0.814,0.303,0.823,0.563,0.986,0.021
80,0.836,0.461,0.842,0.651,0.99,0.055
81,0.778,0.395,0.784,0.589,0.988,0.025
82,0.833,0.342,0.841,0.591,0.987,0.033
83,0.802,0.342,0.809,0.576,0.987,0.024
84,0.776,0.408,0.782,0.595,0.988,0.026
85,0.796,0.368,0.803,0.586,0.987,0.026
86,0.821,0.316,0.829,0.573,0.987,0.025
87,0.835,0.303,0.843,0.573,0.987,0.027
88,0.812,0.355,0.819,0.587,0.987,0.029
89,0.8,0.382,0.807,0.594,0.988,0.029
90,0.816,0.329,0.824,0.576,0.987,0.026
91,0.815,0.316,0.824,0.57,0.987,0.023
92,0.802,0.329,0.81,0.569,0.987,0.022
93,0.798,0.474,0.803,0.638,0.989,0.042
94,0.809,0.263,0.818,0.541,0.985,0.013
95,0.856,0.316,0.865,0.59,0.987,0.038
96,0.794,0.382,0.801,0.591,0.988,0.027
97,0.813,0.263,0.822,0.542,0.986,0.014
98,0.774,0.447,0.78,0.614,0.989,0.031
99,0.81,0.5,0.815,0.658,0.99,0.05
