N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.796,0.434,0.802,0.618,0.989,0.035,,Accuracy,75.957
1,0.833,0.342,0.841,0.591,0.987,0.033,,StdAccuracy,0.046128554446823
2,0.762,0.447,0.767,0.607,0.988,0.028,,n,100
3,0.708,0.632,0.709,0.67,0.992,0.036,,Error estándar,0.004612855444682
4,0.782,0.447,0.788,0.618,0.989,0.033,,Valor crítico (95%),1.96
5,0.844,0.316,0.853,0.584,0.987,0.033,,Margen de error,0.9
6,0.827,0.382,0.834,0.608,0.988,0.038,,,
7,0.828,0.329,0.836,0.583,0.987,0.03,,,
8,0.776,0.487,0.781,0.634,0.989,0.037,,Specificity,50.536
9,0.719,0.566,0.722,0.644,0.99,0.031,,StdSpecificity,0.085773311758967
10,0.826,0.474,0.831,0.652,0.99,0.052,,n,100
11,0.768,0.592,0.771,0.681,0.991,0.047,,Error estándar,0.008577331175897
12,0.761,0.526,0.765,0.646,0.99,0.037,,Valor crítico (95%),1.96
13,0.696,0.566,0.699,0.632,0.99,0.027,,Margen de error,1.68
14,0.828,0.421,0.834,0.628,0.989,0.045,,,
15,0.703,0.513,0.706,0.61,0.989,0.023,,,
16,0.718,0.539,0.721,0.63,0.99,0.028,,ROC AUC,63.458
17,0.752,0.553,0.755,0.654,0.99,0.038,,StdRecall,0.031749709296371
18,0.757,0.539,0.761,0.65,0.99,0.038,,n,100
19,0.79,0.461,0.796,0.628,0.989,0.037,,Error estándar,0.003174970929637
20,0.739,0.592,0.741,0.667,0.991,0.039,,Valor crítico (95%),1.96
21,0.799,0.566,0.803,0.685,0.991,0.055,,Margen de error,0.62
22,0.826,0.447,0.832,0.64,0.989,0.048,,,
23,0.716,0.697,0.716,0.707,0.993,0.044,,,
24,0.814,0.447,0.82,0.634,0.989,0.043,,,
25,0.741,0.487,0.745,0.616,0.989,0.028,,,
26,0.783,0.447,0.788,0.618,0.989,0.033,,,
27,0.743,0.553,0.746,0.649,0.99,0.035,,,
28,0.699,0.645,0.7,0.672,0.992,0.035,,,
29,0.746,0.395,0.752,0.573,0.987,0.018,,,
30,0.765,0.539,0.768,0.654,0.99,0.04,,,
31,0.769,0.605,0.771,0.688,0.992,0.049,,,
32,0.763,0.5,0.768,0.634,0.989,0.035,,,
33,0.74,0.566,0.743,0.654,0.991,0.036,,,
34,0.778,0.5,0.783,0.641,0.99,0.039,,,
35,0.754,0.618,0.756,0.687,0.992,0.046,,,
36,0.756,0.553,0.759,0.656,0.99,0.039,,,
37,0.784,0.513,0.789,0.651,0.99,0.042,,,
38,0.696,0.526,0.699,0.613,0.989,0.023,,,
39,0.757,0.421,0.763,0.592,0.988,0.023,,,
40,0.755,0.5,0.759,0.63,0.989,0.032,,,
41,0.7,0.526,0.703,0.615,0.989,0.024,,,
42,0.76,0.5,0.765,0.632,0.989,0.034,,,
43,0.624,0.632,0.624,0.628,0.99,0.021,,,
44,0.717,0.513,0.721,0.617,0.989,0.026,,,
45,0.742,0.421,0.747,0.584,0.987,0.02,,,
46,0.698,0.697,0.699,0.698,0.993,0.04,,,
47,0.79,0.553,0.794,0.673,0.991,0.05,,,
48,0.781,0.566,0.784,0.675,0.991,0.048,,,
49,0.739,0.592,0.741,0.667,0.991,0.039,,,
50,0.795,0.447,0.801,0.624,0.989,0.037,,,
51,0.711,0.658,0.711,0.685,0.992,0.039,,,
52,0.852,0.461,0.859,0.66,0.99,0.064,,,
53,0.771,0.447,0.776,0.612,0.988,0.03,,,
54,0.84,0.368,0.848,0.608,0.988,0.041,,,
55,0.776,0.579,0.779,0.679,0.991,0.048,,,
56,0.754,0.513,0.758,0.635,0.99,0.034,,,
57,0.68,0.618,0.681,0.65,0.991,0.029,,,
58,0.759,0.513,0.763,0.638,0.99,0.035,,,
59,0.784,0.513,0.788,0.651,0.99,0.042,,,
60,0.702,0.553,0.704,0.628,0.99,0.027,,,
61,0.744,0.579,0.747,0.663,0.991,0.039,,,
62,0.698,0.566,0.7,0.633,0.99,0.027,,,
63,0.783,0.342,0.79,0.566,0.987,0.019,,,
64,0.785,0.461,0.79,0.625,0.989,0.036,,,
65,0.705,0.539,0.708,0.624,0.989,0.026,,,
66,0.773,0.382,0.78,0.581,0.987,0.022,,,
67,0.801,0.487,0.806,0.646,0.99,0.044,,,
68,0.741,0.5,0.745,0.622,0.989,0.029,,,
69,0.706,0.421,0.711,0.566,0.987,0.014,,,
70,0.75,0.539,0.754,0.647,0.99,0.036,,,
71,0.765,0.368,0.772,0.57,0.987,0.019,,,
72,0.792,0.434,0.798,0.616,0.989,0.034,,,
73,0.795,0.434,0.801,0.617,0.989,0.035,,,
74,0.783,0.461,0.788,0.624,0.989,0.035,,,
75,0.746,0.539,0.75,0.645,0.99,0.035,,,
76,0.724,0.447,0.728,0.588,0.988,0.02,,,
77,0.864,0.421,0.871,0.646,0.989,0.063,,,
78,0.753,0.447,0.758,0.603,0.988,0.026,,,
79,0.745,0.461,0.75,0.605,0.988,0.025,,,
80,0.733,0.513,0.737,0.625,0.989,0.029,,,
81,0.744,0.592,0.747,0.669,0.991,0.04,,,
82,0.794,0.474,0.799,0.636,0.989,0.04,,,
83,0.781,0.434,0.787,0.61,0.988,0.031,,,
84,0.772,0.526,0.776,0.651,0.99,0.04,,,
85,0.682,0.592,0.683,0.638,0.99,0.027,,,
86,0.823,0.355,0.83,0.593,0.987,0.032,,,
87,0.724,0.539,0.727,0.633,0.99,0.03,,,
88,0.841,0.421,0.848,0.634,0.989,0.051,,,
89,0.799,0.474,0.804,0.639,0.989,0.042,,,
90,0.73,0.684,0.731,0.708,0.993,0.046,,,
91,0.8,0.434,0.806,0.62,0.989,0.037,,,
92,0.8,0.395,0.807,0.601,0.988,0.031,,,
93,0.685,0.474,0.688,0.581,0.988,0.016,,,
94,0.807,0.487,0.812,0.65,0.99,0.047,,,
95,0.744,0.526,0.748,0.637,0.99,0.033,,,
96,0.753,0.5,0.757,0.629,0.989,0.032,,,
97,0.754,0.566,0.757,0.662,0.991,0.04,,,
98,0.744,0.645,0.745,0.695,0.992,0.046,,,
99,0.622,0.724,0.621,0.672,0.993,0.028,,,
