N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.793,0.421,0.799,0.61,0.988,0.032
1,0.798,0.526,0.802,0.664,0.99,0.049
2,0.715,0.553,0.718,0.635,0.99,0.029
3,0.673,0.592,0.674,0.633,0.99,0.025
4,0.801,0.487,0.806,0.646,0.99,0.044
5,0.792,0.447,0.797,0.622,0.989,0.036
6,0.792,0.408,0.798,0.603,0.988,0.03
7,0.762,0.474,0.767,0.62,0.989,0.031
8,0.834,0.382,0.841,0.611,0.988,0.041
9,0.79,0.487,0.794,0.641,0.99,0.041
10,0.761,0.605,0.764,0.685,0.992,0.047
11,0.817,0.303,0.826,0.564,0.986,0.022
12,0.769,0.421,0.775,0.598,0.988,0.026
13,0.684,0.566,0.686,0.626,0.99,0.025
14,0.747,0.421,0.752,0.587,0.988,0.021
15,0.809,0.382,0.816,0.599,0.988,0.032
16,0.652,0.5,0.654,0.577,0.988,0.014
17,0.765,0.539,0.768,0.654,0.99,0.04
18,0.665,0.539,0.668,0.604,0.989,0.019
19,0.861,0.553,0.866,0.709,0.992,0.087
20,0.829,0.5,0.835,0.667,0.99,0.058
21,0.479,0.763,0.474,0.619,0.992,0.014
22,0.798,0.421,0.804,0.613,0.988,0.034
23,0.732,0.579,0.735,0.657,0.991,0.036
24,0.667,0.474,0.671,0.572,0.987,0.014
25,0.798,0.487,0.803,0.645,0.99,0.043
26,0.795,0.5,0.799,0.65,0.99,0.044
27,0.796,0.434,0.802,0.618,0.989,0.035
28,0.849,0.395,0.857,0.626,0.989,0.05
29,0.676,0.5,0.679,0.589,0.988,0.017
30,0.791,0.303,0.799,0.551,0.986,0.015
31,0.645,0.368,0.65,0.509,0.984,0.002
32,0.75,0.539,0.753,0.646,0.99,0.036
33,0.788,0.474,0.793,0.634,0.989,0.038
34,0.729,0.421,0.734,0.578,0.987,0.018
35,0.741,0.566,0.744,0.655,0.991,0.037
36,0.833,0.474,0.839,0.656,0.99,0.056
37,0.736,0.487,0.74,0.613,0.989,0.026
38,0.755,0.447,0.76,0.604,0.988,0.026
39,0.817,0.408,0.824,0.616,0.988,0.039
40,0.837,0.421,0.844,0.633,0.989,0.049
41,0.796,0.5,0.801,0.65,0.99,0.045
42,0.585,0.605,0.585,0.595,0.989,0.014
43,0.801,0.461,0.807,0.634,0.989,0.041
44,0.705,0.526,0.708,0.617,0.989,0.024
45,0.803,0.395,0.81,0.602,0.988,0.032
46,0.595,0.566,0.595,0.58,0.988,0.012
47,0.794,0.368,0.801,0.584,0.987,0.025
48,0.776,0.461,0.781,0.621,0.989,0.033
49,0.747,0.539,0.751,0.645,0.99,0.035
50,0.753,0.487,0.758,0.622,0.989,0.03
51,0.763,0.395,0.769,0.582,0.987,0.021
52,0.833,0.487,0.839,0.663,0.99,0.058
53,0.818,0.434,0.824,0.629,0.989,0.043
54,0.801,0.461,0.807,0.634,0.989,0.041
55,0.716,0.539,0.719,0.629,0.99,0.028
56,0.722,0.526,0.725,0.626,0.989,0.028
57,0.769,0.316,0.776,0.546,0.986,0.012
58,0.779,0.5,0.784,0.642,0.99,0.039
59,0.873,0.342,0.881,0.612,0.988,0.053
60,0.877,0.382,0.886,0.634,0.989,0.065
61,0.686,0.645,0.687,0.666,0.992,0.032
62,0.757,0.526,0.76,0.643,0.99,0.036
63,0.737,0.553,0.74,0.646,0.99,0.034
64,0.79,0.276,0.798,0.537,0.985,0.011
65,0.742,0.447,0.747,0.597,0.988,0.023
66,0.801,0.579,0.804,0.692,0.992,0.057
67,0.821,0.447,0.827,0.637,0.989,0.046
68,0.807,0.434,0.813,0.624,0.989,0.039
69,0.775,0.539,0.779,0.659,0.99,0.043
70,0.794,0.395,0.801,0.598,0.988,0.029
71,0.667,0.474,0.671,0.572,0.987,0.014
72,0.699,0.566,0.701,0.634,0.99,0.027
73,0.77,0.447,0.776,0.612,0.988,0.03
74,0.695,0.618,0.696,0.657,0.991,0.032
75,0.733,0.434,0.738,0.586,0.988,0.02
76,0.816,0.421,0.822,0.622,0.989,0.04
77,0.687,0.566,0.689,0.628,0.99,0.025
78,0.775,0.474,0.78,0.627,0.989,0.035
79,0.819,0.461,0.825,0.643,0.989,0.048
80,0.726,0.724,0.726,0.725,0.994,0.049
81,0.761,0.447,0.766,0.607,0.988,0.027
82,0.774,0.447,0.779,0.613,0.989,0.031
83,0.808,0.474,0.814,0.644,0.99,0.045
84,0.799,0.487,0.804,0.646,0.99,0.044
85,0.783,0.461,0.788,0.624,0.989,0.035
86,0.758,0.513,0.762,0.637,0.99,0.035
87,0.6,0.592,0.601,0.596,0.989,0.015
88,0.798,0.447,0.804,0.626,0.989,0.038
89,0.794,0.461,0.8,0.63,0.989,0.038
90,0.748,0.539,0.751,0.645,0.99,0.035
91,0.759,0.526,0.762,0.644,0.99,0.036
92,0.818,0.382,0.825,0.604,0.988,0.035
93,0.586,0.553,0.587,0.57,0.988,0.011
94,0.736,0.553,0.739,0.646,0.99,0.034
95,0.832,0.368,0.84,0.604,0.988,0.038
96,0.667,0.632,0.668,0.65,0.991,0.028
97,0.72,0.526,0.723,0.625,0.989,0.027
98,0.812,0.408,0.819,0.613,0.988,0.037
99,0.826,0.447,0.832,0.64,0.989,0.048
