N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.805,0.421,0.811,0.616,0.988,0.036,,Accuracy,79.875
1,0.78,0.474,0.785,0.63,0.989,0.036,,StdAccuracy,0.051000569416508
2,0.768,0.368,0.775,0.572,0.987,0.019,,n,100
3,0.788,0.566,0.792,0.679,0.991,0.051,,Error estándar,0.005100056941651
4,0.634,0.553,0.635,0.594,0.989,0.016,,Valor crítico (95%),1.96
5,0.832,0.395,0.839,0.617,0.988,0.042,,Margen de error,1
6,0.741,0.579,0.743,0.661,0.991,0.038,,,
7,0.843,0.421,0.85,0.636,0.989,0.052,,,
8,0.825,0.434,0.832,0.633,0.989,0.046,,Specificity,47.019
9,0.83,0.382,0.838,0.61,0.988,0.039,,StdSpecificity,0.074751398757225
10,0.847,0.382,0.855,0.618,0.988,0.047,,n,100
11,0.857,0.368,0.865,0.617,0.988,0.049,,Error estándar,0.007475139875722
12,0.704,0.474,0.707,0.591,0.988,0.019,,Valor crítico (95%),1.96
13,0.818,0.421,0.824,0.623,0.989,0.041,,Margen de error,1.47
14,0.797,0.566,0.801,0.683,0.991,0.054,,,
15,0.848,0.382,0.856,0.619,0.988,0.047,,,
16,0.812,0.579,0.816,0.697,0.992,0.062,,ROC AUC,63.716
17,0.799,0.447,0.804,0.626,0.989,0.038,,StdRecall,0.032781406407606
18,0.859,0.5,0.864,0.682,0.991,0.075,,n,100
19,0.737,0.553,0.74,0.647,0.99,0.034,,Error estándar,0.003278140640761
20,0.808,0.408,0.815,0.611,0.988,0.035,,Valor crítico (95%),1.96
21,0.82,0.592,0.824,0.708,0.992,0.068,,Margen de error,0.64
22,0.75,0.526,0.754,0.64,0.99,0.034,,,
23,0.769,0.474,0.773,0.624,0.989,0.033,,,
24,0.808,0.618,0.811,0.715,0.992,0.066,,,
25,0.766,0.447,0.771,0.609,0.988,0.029,,,
26,0.768,0.461,0.773,0.617,0.989,0.031,,,
27,0.741,0.461,0.745,0.603,0.988,0.025,,,
28,0.85,0.408,0.857,0.632,0.989,0.053,,,
29,0.817,0.421,0.824,0.622,0.989,0.041,,,
30,0.768,0.5,0.773,0.636,0.99,0.036,,,
31,0.758,0.487,0.762,0.625,0.989,0.032,,,
32,0.827,0.553,0.832,0.692,0.991,0.066,,,
33,0.765,0.474,0.77,0.622,0.989,0.032,,,
34,0.825,0.368,0.833,0.601,0.988,0.035,,,
35,0.738,0.553,0.741,0.647,0.99,0.034,,,
36,0.848,0.421,0.855,0.638,0.989,0.054,,,
37,0.791,0.526,0.796,0.661,0.99,0.047,,,
38,0.741,0.566,0.744,0.655,0.991,0.036,,,
39,0.802,0.539,0.807,0.673,0.991,0.053,,,
40,0.892,0.303,0.902,0.602,0.988,0.057,,,
41,0.834,0.421,0.841,0.631,0.989,0.048,,,
42,0.792,0.408,0.798,0.603,0.988,0.03,,,
43,0.717,0.553,0.719,0.636,0.99,0.03,,,
