N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.869,0.526,0.874,0.7,0.991,0.088
1,0.804,0.421,0.81,0.616,0.988,0.036
2,0.956,0.092,0.97,0.531,0.985,0.042
3,0.752,0.434,0.757,0.596,0.988,0.024
4,0.906,0.408,0.914,0.661,0.99,0.098
5,0.894,0.526,0.9,0.713,0.991,0.113
6,0.916,0.316,0.926,0.621,0.988,0.083
7,0.806,0.487,0.811,0.649,0.99,0.046
8,0.906,0.421,0.914,0.668,0.99,0.102
9,0.917,0.118,0.93,0.524,0.985,0.018
10,0.873,0.382,0.881,0.632,0.989,0.062
11,0.9,0.329,0.909,0.619,0.988,0.07
12,0.948,0.079,0.962,0.52,0.985,0.024
13,0.931,0.105,0.944,0.525,0.985,0.022
14,0.881,0.355,0.89,0.623,0.988,0.061
15,0.838,0.474,0.844,0.659,0.99,0.059
16,0.803,0.474,0.808,0.641,0.989,0.043
17,0.859,0.382,0.867,0.624,0.988,0.053
18,0.846,0.395,0.853,0.624,0.989,0.049
19,0.858,0.342,0.866,0.604,0.988,0.044
20,0.777,0.382,0.783,0.582,0.987,0.023
21,0.919,0.118,0.932,0.525,0.985,0.019
22,0.82,0.395,0.827,0.611,0.988,0.037
23,0.908,0.382,0.916,0.649,0.989,0.093
24,0.777,0.447,0.782,0.615,0.989,0.032
25,0.819,0.5,0.824,0.662,0.99,0.054
26,0.895,0.368,0.903,0.636,0.989,0.076
27,0.845,0.447,0.851,0.649,0.989,0.057
28,0.899,0.355,0.907,0.631,0.989,0.076
29,0.896,0.434,0.903,0.669,0.99,0.093
30,0.916,0.421,0.924,0.673,0.99,0.116
31,0.806,0.487,0.811,0.649,0.99,0.046
32,0.81,0.342,0.818,0.58,0.987,0.026
33,0.809,0.487,0.814,0.651,0.99,0.048
34,0.88,0.487,0.886,0.687,0.991,0.09
35,0.781,0.434,0.787,0.611,0.988,0.031
36,0.88,0.434,0.887,0.661,0.99,0.078
37,0.834,0.434,0.841,0.637,0.989,0.05
38,0.901,0.368,0.91,0.639,0.989,0.082
39,0.889,0.447,0.896,0.672,0.99,0.089
40,0.891,0.408,0.899,0.654,0.989,0.082
41,0.908,0.355,0.917,0.636,0.989,0.085
42,0.937,0.118,0.95,0.534,0.985,0.033
43,0.822,0.408,0.828,0.618,0.988,0.04
44,0.901,0.224,0.912,0.568,0.986,0.041
45,0.916,0.355,0.925,0.64,0.989,0.095
46,0.867,0.461,0.874,0.667,0.99,0.074
47,0.904,0.382,0.912,0.647,0.989,0.088
48,0.771,0.461,0.776,0.618,0.989,0.032
49,0.899,0.382,0.907,0.644,0.989,0.083
50,0.898,0.513,0.904,0.709,0.991,0.114
51,0.819,0.447,0.825,0.636,0.989,0.045
52,0.827,0.395,0.834,0.615,0.988,0.04
53,0.824,0.382,0.831,0.606,0.988,0.037
54,0.888,0.434,0.896,0.665,0.99,0.086
55,0.809,0.368,0.817,0.593,0.988,0.03
56,0.804,0.368,0.811,0.59,0.987,0.028
57,0.817,0.355,0.824,0.59,0.987,0.03
58,0.831,0.329,0.839,0.584,0.987,0.031
59,0.891,0.5,0.897,0.698,0.991,0.103
60,0.811,0.355,0.818,0.587,0.987,0.028
61,0.908,0.197,0.92,0.558,0.986,0.039
62,0.814,0.408,0.821,0.614,0.988,0.038
63,0.786,0.447,0.792,0.62,0.989,0.034
64,0.822,0.461,0.828,0.644,0.989,0.049
65,0.794,0.447,0.8,0.624,0.989,0.037
66,0.893,0.408,0.901,0.654,0.989,0.083
67,0.931,0.132,0.944,0.538,0.985,0.034
68,0.892,0.118,0.905,0.512,0.984,0.007
69,0.842,0.355,0.85,0.603,0.988,0.04
70,0.896,0.395,0.904,0.649,0.989,0.083
71,0.894,0.447,0.901,0.674,0.99,0.094
72,0.819,0.461,0.824,0.642,0.989,0.047
73,0.903,0.421,0.911,0.666,0.99,0.098
74,0.775,0.421,0.781,0.601,0.988,0.028
75,0.903,0.329,0.912,0.62,0.988,0.073
76,0.784,0.421,0.79,0.605,0.988,0.03
77,0.898,0.461,0.905,0.683,0.99,0.102
78,0.779,0.513,0.783,0.648,0.99,0.041
79,0.847,0.395,0.854,0.625,0.989,0.049
80,0.818,0.421,0.824,0.623,0.989,0.041
81,0.829,0.434,0.836,0.635,0.989,0.048
82,0.808,0.342,0.816,0.579,0.987,0.025
83,0.901,0.105,0.914,0.51,0.984,0.006
84,0.898,0.211,0.91,0.56,0.986,0.036
85,0.908,0.395,0.917,0.656,0.989,0.097
86,0.831,0.474,0.837,0.655,0.99,0.055
87,0.873,0.474,0.879,0.677,0.99,0.081
88,0.891,0.487,0.897,0.692,0.991,0.1
89,0.799,0.355,0.806,0.581,0.987,0.025
90,0.879,0.421,0.887,0.654,0.989,0.075
91,0.799,0.434,0.805,0.62,0.989,0.036
92,0.831,0.395,0.838,0.617,0.988,0.042
93,0.776,0.421,0.782,0.602,0.988,0.028
94,0.822,0.382,0.83,0.606,0.988,0.036
95,0.885,0.421,0.892,0.657,0.99,0.079
96,0.817,0.408,0.824,0.616,0.988,0.039
97,0.881,0.474,0.888,0.681,0.99,0.088
98,0.879,0.553,0.884,0.718,0.992,0.103
99,0.795,0.434,0.801,0.617,0.989,0.035
