N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.883,0.368,0.891,0.63,0.989,0.066
1,0.87,0.329,0.879,0.604,0.988,0.048
2,0.857,0.289,0.866,0.578,0.987,0.033
3,0.855,0.329,0.864,0.596,0.987,0.04
4,0.866,0.303,0.875,0.589,0.987,0.04
5,0.84,0.355,0.848,0.602,0.988,0.039
6,0.862,0.355,0.871,0.613,0.988,0.049
7,0.841,0.263,0.85,0.557,0.986,0.022
8,0.869,0.434,0.876,0.655,0.99,0.07
9,0.844,0.303,0.853,0.578,0.987,0.031
10,0.844,0.329,0.852,0.59,0.987,0.035
11,0.881,0.237,0.891,0.564,0.986,0.033
12,0.83,0.461,0.836,0.648,0.99,0.052
13,0.854,0.461,0.86,0.66,0.99,0.065
14,0.847,0.342,0.856,0.599,0.988,0.039
15,0.841,0.355,0.849,0.602,0.988,0.039
16,0.884,0.263,0.894,0.579,0.987,0.041
17,0.865,0.316,0.874,0.595,0.987,0.042
18,0.858,0.395,0.865,0.63,0.989,0.055
19,0.855,0.342,0.864,0.603,0.988,0.043
20,0.859,0.355,0.867,0.611,0.988,0.047
21,0.844,0.329,0.852,0.591,0.987,0.035
22,0.87,0.368,0.878,0.623,0.988,0.056
23,0.859,0.395,0.867,0.631,0.989,0.055
24,0.856,0.368,0.864,0.616,0.988,0.048
25,0.867,0.368,0.876,0.622,0.988,0.055
26,0.837,0.342,0.845,0.594,0.987,0.035
27,0.871,0.289,0.881,0.585,0.987,0.04
28,0.871,0.447,0.878,0.663,0.99,0.074
29,0.878,0.408,0.886,0.647,0.989,0.071
30,0.85,0.237,0.86,0.548,0.986,0.02
31,0.859,0.421,0.866,0.643,0.989,0.06
32,0.894,0.355,0.903,0.629,0.988,0.072
33,0.846,0.461,0.853,0.657,0.99,0.061
34,0.887,0.316,0.896,0.606,0.988,0.056
35,0.878,0.355,0.887,0.621,0.988,0.059
36,0.838,0.474,0.844,0.659,0.99,0.058
37,0.87,0.421,0.878,0.649,0.989,0.068
38,0.842,0.316,0.851,0.583,0.987,0.032
39,0.848,0.355,0.856,0.606,0.988,0.042
40,0.852,0.368,0.86,0.614,0.988,0.047
41,0.856,0.382,0.863,0.622,0.988,0.051
42,0.826,0.408,0.833,0.621,0.989,0.042
43,0.848,0.355,0.856,0.606,0.988,0.042
44,0.857,0.342,0.865,0.604,0.988,0.044
45,0.851,0.368,0.859,0.614,0.988,0.046
46,0.833,0.329,0.842,0.585,0.987,0.031
47,0.897,0.329,0.907,0.618,0.988,0.068
48,0.844,0.447,0.851,0.649,0.989,0.057
49,0.855,0.421,0.862,0.642,0.989,0.058
50,0.852,0.355,0.86,0.608,0.988,0.044
51,0.841,0.382,0.849,0.615,0.988,0.044
52,0.849,0.395,0.857,0.626,0.989,0.05
53,0.849,0.355,0.857,0.606,0.988,0.042
54,0.855,0.461,0.862,0.661,0.99,0.066
55,0.81,0.276,0.819,0.547,0.986,0.016
56,0.858,0.408,0.865,0.636,0.989,0.057
57,0.84,0.342,0.848,0.595,0.987,0.036
58,0.854,0.316,0.863,0.589,0.987,0.037
59,0.862,0.382,0.87,0.626,0.989,0.055
60,0.858,0.342,0.866,0.604,0.988,0.044
61,0.869,0.329,0.878,0.604,0.988,0.048
62,0.822,0.382,0.829,0.605,0.988,0.036
63,0.846,0.355,0.854,0.604,0.988,0.041
64,0.85,0.368,0.858,0.613,0.988,0.046
65,0.864,0.368,0.872,0.62,0.988,0.053
66,0.839,0.447,0.845,0.646,0.989,0.054
67,0.85,0.355,0.858,0.607,0.988,0.043
68,0.849,0.355,0.857,0.606,0.988,0.043
69,0.857,0.434,0.864,0.649,0.989,0.062
70,0.85,0.395,0.858,0.626,0.989,0.051
71,0.86,0.342,0.868,0.605,0.988,0.045
72,0.842,0.408,0.849,0.629,0.989,0.049
73,0.87,0.368,0.878,0.623,0.988,0.056
74,0.819,0.487,0.825,0.656,0.99,0.052
75,0.836,0.447,0.843,0.645,0.989,0.053
76,0.844,0.342,0.852,0.597,0.988,0.038
77,0.863,0.25,0.873,0.561,0.986,0.027
78,0.827,0.447,0.833,0.64,0.989,0.049
79,0.86,0.342,0.869,0.606,0.988,0.046
80,0.865,0.171,0.876,0.524,0.985,0.011
81,0.846,0.434,0.853,0.644,0.989,0.056
82,0.857,0.276,0.867,0.571,0.987,0.031
83,0.848,0.342,0.856,0.599,0.988,0.04
84,0.855,0.289,0.864,0.577,0.987,0.033
85,0.873,0.263,0.883,0.573,0.987,0.035
86,0.863,0.329,0.872,0.601,0.988,0.045
87,0.858,0.329,0.866,0.598,0.987,0.042
88,0.858,0.329,0.866,0.598,0.987,0.042
89,0.868,0.395,0.875,0.635,0.989,0.061
90,0.845,0.303,0.854,0.578,0.987,0.031
91,0.809,0.487,0.815,0.651,0.99,0.048
92,0.869,0.355,0.878,0.616,0.988,0.053
93,0.842,0.5,0.848,0.674,0.99,0.065
94,0.872,0.316,0.881,0.598,0.987,0.046
95,0.837,0.355,0.845,0.6,0.988,0.037
96,0.822,0.368,0.83,0.599,0.988,0.034
97,0.854,0.368,0.862,0.615,0.988,0.048
98,0.845,0.355,0.853,0.604,0.988,0.041
99,0.851,0.395,0.858,0.627,0.989,0.051
