N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.858,0.474,0.865,0.669,0.99,0.07
1,0.841,0.408,0.848,0.628,0.989,0.049
2,0.849,0.408,0.857,0.632,0.989,0.053
3,0.829,0.329,0.838,0.583,0.987,0.03
4,0.869,0.382,0.877,0.629,0.989,0.059
5,0.853,0.382,0.861,0.621,0.988,0.05
6,0.868,0.342,0.876,0.609,0.988,0.05
7,0.855,0.447,0.862,0.655,0.99,0.063
8,0.855,0.408,0.862,0.635,0.989,0.056
9,0.838,0.355,0.846,0.601,0.988,0.038
10,0.869,0.408,0.877,0.642,0.989,0.064
11,0.837,0.447,0.843,0.645,0.989,0.053
12,0.859,0.342,0.868,0.605,0.988,0.045
13,0.87,0.342,0.879,0.611,0.988,0.051
14,0.861,0.303,0.87,0.586,0.987,0.038
15,0.869,0.382,0.876,0.629,0.989,0.059
16,0.81,0.434,0.816,0.625,0.989,0.04
17,0.843,0.474,0.849,0.661,0.99,0.061
18,0.818,0.447,0.824,0.636,0.989,0.045
19,0.88,0.368,0.888,0.628,0.989,0.063
20,0.817,0.382,0.824,0.603,0.988,0.034
21,0.847,0.395,0.855,0.625,0.989,0.049
22,0.877,0.342,0.886,0.614,0.988,0.055
23,0.814,0.303,0.822,0.562,0.986,0.021
24,0.863,0.408,0.871,0.639,0.989,0.061
25,0.835,0.447,0.841,0.644,0.989,0.053
26,0.834,0.408,0.841,0.624,0.989,0.045
27,0.852,0.421,0.859,0.64,0.989,0.057
28,0.868,0.316,0.877,0.597,0.987,0.044
29,0.848,0.342,0.856,0.599,0.988,0.04
30,0.89,0.289,0.9,0.595,0.987,0.052
31,0.811,0.421,0.818,0.619,0.989,0.038
32,0.823,0.408,0.83,0.619,0.988,0.041
33,0.83,0.382,0.838,0.61,0.988,0.039
34,0.876,0.513,0.882,0.698,0.991,0.092
35,0.858,0.342,0.866,0.604,0.988,0.044
36,0.866,0.434,0.873,0.654,0.99,0.068
37,0.856,0.368,0.864,0.616,0.988,0.049
38,0.809,0.368,0.816,0.592,0.988,0.03
39,0.871,0.421,0.878,0.65,0.989,0.068
40,0.819,0.513,0.824,0.668,0.99,0.056
41,0.823,0.395,0.83,0.613,0.988,0.039
42,0.839,0.382,0.847,0.614,0.988,0.043
43,0.737,0.408,0.743,0.575,0.987,0.018
44,0.857,0.355,0.866,0.61,0.988,0.047
45,0.853,0.382,0.861,0.621,0.988,0.05
46,0.843,0.447,0.849,0.648,0.989,0.056
47,0.841,0.276,0.85,0.563,0.986,0.025
48,0.868,0.368,0.876,0.622,0.988,0.055
49,0.858,0.382,0.866,0.624,0.988,0.052
50,0.824,0.342,0.832,0.587,0.987,0.03
51,0.85,0.382,0.858,0.62,0.988,0.048
52,0.827,0.289,0.836,0.563,0.986,0.023
53,0.858,0.421,0.865,0.643,0.989,0.06
54,0.854,0.447,0.861,0.654,0.99,0.063
55,0.841,0.368,0.849,0.609,0.988,0.042
56,0.852,0.395,0.86,0.627,0.989,0.052
57,0.879,0.421,0.887,0.654,0.989,0.075
58,0.856,0.368,0.864,0.616,0.988,0.049
59,0.864,0.342,0.873,0.607,0.988,0.048
60,0.864,0.237,0.875,0.556,0.986,0.025
61,0.821,0.342,0.828,0.585,0.987,0.029
62,0.844,0.355,0.852,0.603,0.988,0.04
63,0.819,0.368,0.827,0.598,0.988,0.033
64,0.819,0.355,0.826,0.591,0.987,0.031
65,0.773,0.5,0.778,0.639,0.99,0.037
66,0.83,0.342,0.838,0.59,0.987,0.033
67,0.87,0.303,0.879,0.591,0.987,0.043
68,0.873,0.368,0.881,0.625,0.988,0.058
69,0.842,0.329,0.851,0.59,0.987,0.035
70,0.863,0.447,0.87,0.659,0.99,0.068
71,0.825,0.421,0.832,0.626,0.989,0.044
72,0.878,0.408,0.885,0.647,0.989,0.071
73,0.797,0.434,0.803,0.619,0.989,0.036
74,0.871,0.382,0.879,0.63,0.989,0.06
75,0.847,0.408,0.855,0.631,0.989,0.052
76,0.884,0.395,0.892,0.643,0.989,0.073
77,0.878,0.487,0.884,0.685,0.991,0.088
78,0.877,0.368,0.886,0.627,0.988,0.062
79,0.861,0.316,0.87,0.593,0.987,0.041
80,0.828,0.421,0.835,0.628,0.989,0.045
81,0.854,0.408,0.861,0.635,0.989,0.055
82,0.803,0.368,0.81,0.589,0.987,0.028
83,0.87,0.368,0.878,0.623,0.988,0.057
84,0.859,0.382,0.867,0.624,0.988,0.053
85,0.858,0.342,0.866,0.604,0.988,0.044
86,0.855,0.408,0.862,0.635,0.989,0.056
87,0.875,0.263,0.885,0.574,0.987,0.036
88,0.865,0.513,0.871,0.692,0.991,0.083
89,0.876,0.395,0.884,0.639,0.989,0.067
90,0.862,0.421,0.869,0.645,0.989,0.062
91,0.863,0.421,0.87,0.646,0.989,0.063
92,0.836,0.329,0.844,0.587,0.987,0.032
93,0.867,0.421,0.874,0.647,0.989,0.065
94,0.779,0.382,0.785,0.584,0.987,0.023
95,0.865,0.421,0.872,0.647,0.989,0.064
96,0.832,0.421,0.839,0.63,0.989,0.047
97,0.867,0.526,0.872,0.699,0.991,0.087
98,0.867,0.461,0.873,0.667,0.99,0.074
99,0.809,0.303,0.818,0.56,0.986,0.02
