N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.739,0.553,0.742,0.647,0.99,0.034
1,0.754,0.434,0.76,0.597,0.988,0.024
2,0.811,0.447,0.816,0.632,0.989,0.042
3,0.754,0.513,0.758,0.636,0.99,0.034
4,0.762,0.566,0.766,0.666,0.991,0.042
5,0.766,0.513,0.77,0.642,0.99,0.037
6,0.743,0.5,0.747,0.623,0.989,0.029
7,0.776,0.553,0.78,0.666,0.991,0.045
8,0.755,0.5,0.759,0.63,0.989,0.032
9,0.734,0.513,0.737,0.625,0.989,0.029
10,0.755,0.539,0.759,0.649,0.99,0.037
11,0.796,0.487,0.801,0.644,0.99,0.043
12,0.78,0.461,0.786,0.623,0.989,0.034
13,0.729,0.579,0.732,0.655,0.991,0.035
14,0.796,0.605,0.799,0.702,0.992,0.059
15,0.754,0.474,0.758,0.616,0.989,0.029
16,0.725,0.461,0.729,0.595,0.988,0.021
17,0.764,0.539,0.767,0.653,0.99,0.039
18,0.725,0.5,0.728,0.614,0.989,0.026
19,0.757,0.605,0.759,0.682,0.992,0.045
20,0.761,0.474,0.766,0.62,0.989,0.031
21,0.767,0.645,0.769,0.707,0.992,0.053
22,0.746,0.408,0.751,0.58,0.987,0.019
23,0.768,0.487,0.772,0.629,0.989,0.034
24,0.772,0.474,0.777,0.625,0.989,0.034
25,0.793,0.434,0.799,0.616,0.989,0.034
26,0.741,0.513,0.745,0.629,0.989,0.031
27,0.768,0.513,0.772,0.643,0.99,0.038
28,0.766,0.421,0.772,0.596,0.988,0.025
29,0.768,0.579,0.771,0.675,0.991,0.046
30,0.785,0.487,0.79,0.638,0.989,0.039
31,0.777,0.382,0.784,0.583,0.987,0.023
32,0.748,0.5,0.753,0.626,0.989,0.031
33,0.767,0.382,0.773,0.577,0.987,0.021
34,0.752,0.461,0.756,0.608,0.988,0.027
35,0.808,0.342,0.816,0.579,0.987,0.025
36,0.75,0.474,0.754,0.614,0.989,0.028
37,0.752,0.566,0.756,0.661,0.991,0.039
38,0.77,0.303,0.778,0.54,0.986,0.011
39,0.799,0.355,0.807,0.581,0.987,0.025
40,0.784,0.5,0.789,0.645,0.99,0.041
41,0.769,0.461,0.774,0.617,0.989,0.031
42,0.79,0.474,0.795,0.635,0.989,0.039
43,0.775,0.408,0.781,0.595,0.988,0.026
44,0.779,0.526,0.783,0.655,0.99,0.042
45,0.748,0.5,0.753,0.626,0.989,0.031
46,0.769,0.461,0.774,0.617,0.989,0.031
47,0.769,0.526,0.773,0.65,0.99,0.039
48,0.791,0.513,0.796,0.655,0.99,0.045
49,0.797,0.408,0.803,0.606,0.988,0.032
50,0.755,0.592,0.757,0.675,0.991,0.043
51,0.803,0.395,0.81,0.602,0.988,0.032
52,0.763,0.316,0.77,0.543,0.986,0.011
53,0.761,0.513,0.765,0.639,0.99,0.035
54,0.774,0.461,0.779,0.62,0.989,0.033
55,0.763,0.474,0.768,0.621,0.989,0.031
56,0.739,0.434,0.744,0.589,0.988,0.021
57,0.766,0.526,0.77,0.648,0.99,0.038
58,0.746,0.487,0.75,0.618,0.989,0.029
59,0.74,0.447,0.745,0.596,0.988,0.023
60,0.808,0.329,0.816,0.573,0.987,0.023
61,0.776,0.434,0.782,0.608,0.988,0.03
62,0.781,0.461,0.787,0.624,0.989,0.035
63,0.769,0.539,0.773,0.656,0.99,0.041
64,0.762,0.539,0.766,0.653,0.99,0.039
65,0.758,0.461,0.763,0.612,0.989,0.028
66,0.748,0.526,0.752,0.639,0.99,0.034
67,0.783,0.303,0.79,0.547,0.986,0.013
68,0.748,0.434,0.754,0.594,0.988,0.023
69,0.76,0.474,0.764,0.619,0.989,0.03
70,0.775,0.526,0.779,0.653,0.99,0.041
71,0.736,0.526,0.74,0.633,0.99,0.031
72,0.784,0.421,0.79,0.605,0.988,0.03
73,0.777,0.421,0.783,0.602,0.988,0.028
74,0.75,0.474,0.754,0.614,0.989,0.028
75,0.75,0.447,0.755,0.601,0.988,0.025
76,0.781,0.434,0.787,0.61,0.988,0.031
77,0.782,0.355,0.789,0.572,0.987,0.021
78,0.752,0.434,0.757,0.596,0.988,0.024
79,0.743,0.447,0.747,0.597,0.988,0.023
80,0.768,0.434,0.774,0.604,0.988,0.028
81,0.794,0.526,0.798,0.662,0.99,0.047
82,0.757,0.447,0.762,0.605,0.988,0.027
83,0.748,0.355,0.754,0.555,0.986,0.014
84,0.785,0.447,0.791,0.619,0.989,0.034
85,0.781,0.553,0.784,0.669,0.991,0.046
86,0.76,0.355,0.766,0.561,0.986,0.016
87,0.752,0.487,0.757,0.622,0.989,0.03
88,0.744,0.579,0.747,0.663,0.991,0.039
89,0.768,0.513,0.772,0.643,0.99,0.038
90,0.76,0.395,0.766,0.58,0.987,0.021
91,0.759,0.5,0.763,0.632,0.989,0.033
92,0.823,0.329,0.831,0.58,0.987,0.028
93,0.765,0.395,0.771,0.583,0.987,0.022
94,0.768,0.395,0.774,0.584,0.987,0.022
95,0.753,0.408,0.758,0.583,0.987,0.021
96,0.765,0.421,0.77,0.596,0.988,0.025
97,0.738,0.5,0.742,0.621,0.989,0.028
98,0.783,0.421,0.789,0.605,0.988,0.03
99,0.796,0.368,0.803,0.586,0.987,0.026
