N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.774,0.513,0.778,0.646,0.99,0.039,,Accuracy,76.484
1,0.818,0.461,0.824,0.642,0.989,0.047,,StdAccuracy,0.059894810149363
2,0.807,0.539,0.811,0.675,0.991,0.054,,n,100
3,0.827,0.447,0.833,0.64,0.989,0.049,,Error estándar,0.005989481014936
4,0.754,0.592,0.756,0.674,0.991,0.043,,Valor crítico (95%),1.96
5,0.813,0.487,0.819,0.653,0.99,0.049,,Margen de error,1.17
6,0.822,0.553,0.827,0.69,0.991,0.063,,,
7,0.743,0.461,0.747,0.604,0.988,0.025,,,
8,0.694,0.618,0.695,0.657,0.991,0.031,,Specificity,49.399
9,0.757,0.421,0.762,0.592,0.988,0.023,,StdSpecificity,0.068294592861671
10,0.802,0.487,0.807,0.647,0.99,0.045,,n,100
11,0.725,0.539,0.728,0.634,0.99,0.03,,Error estándar,0.006829459286167
12,0.629,0.421,0.632,0.527,0.985,0.005,,Valor crítico (95%),1.96
13,0.819,0.421,0.825,0.623,0.989,0.041,,Margen de error,1.34
14,0.807,0.539,0.811,0.675,0.991,0.054,,,
15,0.809,0.579,0.813,0.696,0.992,0.061,,,
16,0.658,0.382,0.662,0.522,0.985,0.004,,ROC AUC,63.163
17,0.668,0.671,0.668,0.669,0.992,0.031,,StdRecall,0.04269971612992
18,0.817,0.526,0.822,0.674,0.991,0.057,,n,100
19,0.816,0.395,0.823,0.609,0.988,0.036,,Error estándar,0.004269971612992
20,0.561,0.487,0.562,0.524,0.985,0.004,,Valor crítico (95%),1.96
21,0.769,0.526,0.773,0.649,0.99,0.039,,Margen de error,0.84
22,0.824,0.5,0.83,0.665,0.99,0.056,,,
23,0.676,0.553,0.678,0.615,0.989,0.022,,,
24,0.806,0.447,0.812,0.63,0.989,0.041,,,
25,0.76,0.487,0.765,0.626,0.989,0.032,,,
26,0.702,0.592,0.704,0.648,0.991,0.031,,,
27,0.829,0.5,0.834,0.667,0.99,0.058,,,
28,0.811,0.408,0.818,0.613,0.988,0.037,,,
29,0.846,0.487,0.852,0.669,0.99,0.065,,,
30,0.816,0.632,0.819,0.725,0.993,0.072,,,
31,0.744,0.526,0.748,0.637,0.99,0.033,,,
32,0.765,0.408,0.77,0.589,0.988,0.023,,,
33,0.798,0.461,0.803,0.632,0.989,0.04,,,
