N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.875,0.342,0.884,0.613,0.988,0.054,,Accuracy,88.507
1,0.891,0.303,0.9,0.601,0.987,0.056,,StdAccuracy,0.047322503028996
2,0.659,0.382,0.663,0.522,0.985,0.004,,n,100
3,0.923,0.434,0.93,0.682,0.99,0.13,,Error estándar,0.0047322503029
4,0.913,0.329,0.923,0.626,0.988,0.084,,Valor crítico (95%),1.96
5,0.898,0.395,0.906,0.65,0.989,0.085,,Margen de error,0.93
6,0.873,0.316,0.882,0.599,0.987,0.047,,,
7,0.853,0.329,0.862,0.595,0.987,0.04,,,
8,0.87,0.316,0.879,0.597,0.987,0.045,,Specificity,41.555
9,0.897,0.382,0.906,0.644,0.989,0.081,,StdSpecificity,0.068676282792401
10,0.893,0.395,0.901,0.648,0.989,0.081,,n,100
11,0.845,0.408,0.853,0.63,0.989,0.051,,Error estándar,0.00686762827924
12,0.913,0.289,0.924,0.607,0.988,0.072,,Valor crítico (95%),1.96
13,0.919,0.474,0.927,0.7,0.991,0.136,,Margen de error,1.35
14,0.929,0.447,0.937,0.692,0.99,0.147,,,
15,0.917,0.487,0.924,0.705,0.991,0.135,,,
16,0.854,0.474,0.86,0.667,0.99,0.068,,ROC AUC,65.406
17,0.829,0.526,0.834,0.68,0.991,0.063,,StdRecall,0.037454570461892
18,0.926,0.487,0.933,0.71,0.991,0.153,,n,100
19,0.902,0.395,0.91,0.652,0.989,0.089,,Error estándar,0.003745457046189
20,0.874,0.342,0.882,0.612,0.988,0.053,,Valor crítico (95%),1.96
21,0.828,0.461,0.834,0.647,0.99,0.052,,Margen de error,0.73
22,0.907,0.382,0.915,0.648,0.989,0.091,,,
23,0.913,0.526,0.919,0.723,0.992,0.139,,,
24,0.93,0.474,0.937,0.705,0.991,0.156,,,
25,0.931,0.342,0.941,0.641,0.989,0.115,,,
26,0.949,0.382,0.958,0.67,0.99,0.175,,,
27,0.91,0.303,0.92,0.611,0.988,0.073,,,
28,0.841,0.461,0.847,0.654,0.99,0.058,,,
29,0.831,0.447,0.838,0.643,0.989,0.051,,,
30,0.851,0.342,0.859,0.601,0.988,0.041,,,
31,0.934,0.368,0.943,0.656,0.989,0.13,,,
32,0.847,0.474,0.853,0.663,0.99,0.063,,,
33,0.913,0.526,0.919,0.723,0.992,0.14,,,
34,0.843,0.447,0.849,0.648,0.989,0.056,,,
35,0.938,0.408,0.946,0.677,0.99,0.153,,,
36,0.908,0.474,0.915,0.694,0.991,0.118,,,
37,0.89,0.368,0.898,0.633,0.989,0.071,,,
38,0.9,0.474,0.907,0.69,0.991,0.107,,,
39,0.913,0.342,0.922,0.632,0.988,0.088,,,
40,0.935,0.276,0.946,0.611,0.988,0.098,,,
41,0.897,0.329,0.907,0.618,0.988,0.068,,,
42,0.832,0.487,0.838,0.662,0.99,0.058,,,
43,0.899,0.382,0.907,0.644,0.989,0.083,,,
44,0.898,0.408,0.906,0.657,0.989,0.089,,,
45,0.84,0.408,0.847,0.628,0.989,0.048,,,
46,0.906,0.368,0.915,0.641,0.989,0.087,,,
47,0.925,0.421,0.933,0.677,0.99,0.129,,,
48,0.835,0.474,0.841,0.657,0.99,0.057,,,
49,0.911,0.474,0.918,0.696,0.991,0.122,,,
50,0.934,0.316,0.944,0.63,0.988,0.112,,,
51,0.811,0.526,0.816,0.671,0.991,0.054,,,
52,0.82,0.539,0.824,0.682,0.991,0.06,,,
53,0.925,0.5,0.932,0.716,0.991,0.153,,,
54,0.657,0.487,0.66,0.573,0.987,0.013,,,
55,0.894,0.553,0.9,0.726,0.992,0.119,,,
56,0.898,0.342,0.907,0.625,0.988,0.072,,,
