N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.935,0.368,0.944,0.656,0.989,0.132,,Accuracy,92.197
1,0.924,0.395,0.933,0.664,0.99,0.121,,StdAccuracy,0.007623004789465
2,0.926,0.408,0.935,0.671,0.99,0.128,,n,100
3,0.925,0.342,0.934,0.638,0.989,0.104,,Error estándar,0.000762300478946
4,0.917,0.382,0.926,0.654,0.989,0.105,,Valor crítico (95%),1.96
5,0.919,0.368,0.928,0.648,0.989,0.104,,Margen de error,0.15
6,0.925,0.316,0.935,0.626,0.988,0.096,,,
7,0.924,0.382,0.933,0.657,0.989,0.115,,,
8,0.93,0.434,0.938,0.686,0.99,0.144,,Specificity,41.282
9,0.913,0.355,0.922,0.639,0.989,0.092,,StdSpecificity,0.052914335190824
10,0.918,0.474,0.925,0.7,0.991,0.134,,n,100
11,0.919,0.434,0.927,0.68,0.99,0.123,,Error estándar,0.005291433519082
12,0.927,0.355,0.937,0.646,0.989,0.113,,Valor crítico (95%),1.96
13,0.909,0.461,0.916,0.688,0.99,0.116,,Margen de error,1.04
14,0.926,0.421,0.935,0.678,0.99,0.133,,,
15,0.923,0.421,0.931,0.676,0.99,0.126,,,
16,0.925,0.447,0.932,0.69,0.99,0.138,,ROC AUC,67.156
17,0.913,0.5,0.919,0.71,0.991,0.132,,StdRecall,0.025811406138928
18,0.92,0.395,0.929,0.662,0.989,0.113,,n,100
19,0.917,0.408,0.925,0.667,0.99,0.112,,Error estándar,0.002581140613893
20,0.922,0.461,0.93,0.695,0.991,0.137,,Valor crítico (95%),1.96
21,0.922,0.408,0.931,0.669,0.99,0.121,,Margen de error,0.51
22,0.91,0.447,0.917,0.682,0.99,0.114,,,
23,0.918,0.329,0.928,0.628,0.988,0.09,,,
24,0.924,0.355,0.934,0.644,0.989,0.108,,,
25,0.933,0.303,0.944,0.623,0.988,0.105,,,
26,0.924,0.395,0.932,0.664,0.989,0.12,,,
27,0.934,0.474,0.941,0.707,0.991,0.165,,,
28,0.935,0.513,0.941,0.727,0.992,0.18,,,
29,0.927,0.395,0.935,0.665,0.99,0.125,,,
30,0.939,0.395,0.948,0.671,0.99,0.151,,,
31,0.928,0.421,0.936,0.679,0.99,0.136,,,
32,0.919,0.461,0.926,0.693,0.991,0.131,,,
33,0.925,0.526,0.932,0.729,0.992,0.163,,,
34,0.927,0.421,0.935,0.678,0.99,0.134,,,
35,0.92,0.474,0.927,0.7,0.991,0.136,,,
36,0.924,0.434,0.932,0.683,0.99,0.132,,,
37,0.91,0.342,0.92,0.631,0.988,0.085,,,
38,0.911,0.289,0.921,0.605,0.988,0.07,,,
39,0.934,0.316,0.944,0.63,0.988,0.112,,,
40,0.919,0.5,0.926,0.713,0.991,0.143,,,
41,0.917,0.461,0.924,0.692,0.991,0.128,,,
42,0.918,0.382,0.927,0.654,0.989,0.107,,,
43,0.927,0.474,0.934,0.704,0.991,0.15,,,
44,0.918,0.342,0.928,0.635,0.989,0.095,,,
45,0.917,0.355,0.926,0.641,0.989,0.097,,,
46,0.926,0.487,0.933,0.71,0.991,0.153,,,
47,0.936,0.408,0.944,0.676,0.99,0.148,,,
48,0.914,0.487,0.921,0.704,0.991,0.131,,,
49,0.925,0.474,0.932,0.703,0.991,0.146,,,
50,0.919,0.421,0.927,0.674,0.99,0.12,,,
51,0.912,0.395,0.921,0.658,0.989,0.102,,,
52,0.929,0.447,0.937,0.692,0.99,0.146,,,
53,0.916,0.434,0.923,0.679,0.99,0.118,,,
54,0.898,0.395,0.906,0.65,0.989,0.085,,,
55,0.927,0.421,0.935,0.678,0.99,0.134,,,
56,0.912,0.368,0.921,0.645,0.989,0.095,,,
57,0.917,0.408,0.926,0.667,0.99,0.113,,,
58,0.927,0.355,0.937,0.646,0.989,0.113,,,
59,0.911,0.447,0.919,0.683,0.99,0.116,,,
60,0.92,0.329,0.93,0.629,0.988,0.093,,,
61,0.919,0.434,0.927,0.681,0.99,0.124,,,
62,0.92,0.474,0.928,0.701,0.991,0.138,,,
63,0.908,0.395,0.917,0.656,0.989,0.097,,,
64,0.935,0.395,0.944,0.67,0.99,0.143,,,
65,0.927,0.329,0.937,0.633,0.988,0.104,,,
66,0.911,0.474,0.918,0.696,0.991,0.122,,,
67,0.919,0.421,0.927,0.674,0.99,0.12,,,
68,0.92,0.434,0.928,0.681,0.99,0.125,,,
69,0.927,0.395,0.935,0.665,0.99,0.125,,,
70,0.923,0.408,0.931,0.67,0.99,0.122,,,
71,0.933,0.474,0.94,0.707,0.991,0.163,,,
72,0.93,0.355,0.939,0.647,0.989,0.117,,,
73,0.93,0.474,0.937,0.705,0.991,0.156,,,
74,0.923,0.355,0.932,0.644,0.989,0.105,,,
75,0.932,0.421,0.94,0.681,0.99,0.144,,,
76,0.928,0.355,0.937,0.646,0.989,0.113,,,
77,0.903,0.474,0.91,0.692,0.991,0.112,,,
78,0.928,0.421,0.937,0.679,0.99,0.136,,,
79,0.927,0.329,0.937,0.633,0.988,0.103,,,
80,0.93,0.461,0.938,0.699,0.991,0.152,,,
81,0.927,0.408,0.936,0.672,0.99,0.13,,,
