N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.883,0.355,0.892,0.624,0.988,0.063,,Accuracy,81.732
1,0.739,0.684,0.74,0.712,0.993,0.049,,StdAccuracy,0.068672238667721
2,0.873,0.408,0.88,0.644,0.989,0.067,,n,100
3,0.889,0.461,0.896,0.678,0.99,0.092,,Error estándar,0.006867223866772
4,0.892,0.408,0.9,0.654,0.989,0.082,,Valor crítico (95%),1.96
5,0.869,0.408,0.877,0.642,0.989,0.064,,Margen de error,1.35
6,0.886,0.368,0.894,0.631,0.989,0.068,,,
7,0.869,0.513,0.875,0.694,0.991,0.086,,,
8,0.749,0.592,0.752,0.672,0.991,0.042,,Specificity,46.591
9,0.855,0.421,0.862,0.641,0.989,0.058,,StdSpecificity,0.073843418149761
10,0.835,0.382,0.843,0.612,0.988,0.041,,n,100
11,0.884,0.408,0.892,0.65,0.989,0.075,,Error estándar,0.007384341814976
12,0.839,0.382,0.846,0.614,0.988,0.043,,Valor crítico (95%),1.96
13,0.869,0.329,0.878,0.603,0.988,0.048,,Margen de error,1.45
14,0.756,0.487,0.76,0.623,0.989,0.031,,,
15,0.769,0.526,0.773,0.65,0.99,0.039,,,
16,0.731,0.513,0.734,0.624,0.989,0.028,,ROC AUC,64.448
17,0.83,0.395,0.838,0.616,0.988,0.042,,StdRecall,0.035474697199753
18,0.892,0.447,0.9,0.674,0.99,0.093,,n,100
19,0.847,0.566,0.852,0.709,0.992,0.08,,Error estándar,0.003547469719975
20,0.884,0.434,0.891,0.663,0.99,0.081,,Valor crítico (95%),1.96
21,0.748,0.566,0.751,0.659,0.991,0.038,,Margen de error,0.7
22,0.839,0.447,0.846,0.647,0.989,0.055,,,
23,0.72,0.566,0.723,0.644,0.99,0.032,,,
24,0.863,0.5,0.869,0.684,0.991,0.078,,,
25,0.738,0.618,0.74,0.679,0.992,0.042,,,
26,0.872,0.447,0.879,0.663,0.99,0.074,,,
27,0.76,0.408,0.766,0.587,0.988,0.022,,,
28,0.851,0.382,0.858,0.62,0.988,0.048,,,
29,0.768,0.539,0.771,0.655,0.99,0.041,,,
30,0.747,0.579,0.75,0.664,0.991,0.04,,,
31,0.897,0.421,0.904,0.663,0.99,0.091,,,
32,0.746,0.513,0.749,0.631,0.989,0.032,,,
33,0.886,0.474,0.893,0.683,0.99,0.092,,,
34,0.884,0.382,0.892,0.637,0.989,0.07,,,
35,0.755,0.487,0.759,0.623,0.989,0.031,,,
36,0.832,0.395,0.839,0.617,0.988,0.042,,,
37,0.664,0.474,0.667,0.57,0.987,0.013,,,
38,0.746,0.658,0.748,0.703,0.993,0.048,,,
39,0.752,0.5,0.757,0.628,0.989,0.032,,,
40,0.834,0.526,0.839,0.683,0.991,0.065,,,
41,0.749,0.539,0.752,0.646,0.99,0.035,,,
42,0.829,0.434,0.836,0.635,0.989,0.048,,,
43,0.757,0.474,0.762,0.618,0.989,0.03,,,
44,0.855,0.329,0.863,0.596,0.987,0.04,,,
45,0.766,0.526,0.77,0.648,0.99,0.039,,,
46,0.876,0.434,0.883,0.659,0.99,0.075,,,
47,0.874,0.434,0.881,0.658,0.99,0.073,,,
48,0.884,0.553,0.889,0.721,0.992,0.107,,,
49,0.856,0.513,0.861,0.687,0.991,0.076,,,
50,0.885,0.487,0.892,0.689,0.991,0.094,,,
51,0.767,0.474,0.772,0.623,0.989,0.032,,,
52,0.882,0.395,0.89,0.642,0.989,0.071,,,
53,0.844,0.447,0.85,0.649,0.989,0.057,,,
54,0.636,0.5,0.639,0.569,0.987,0.012,,,
55,0.736,0.539,0.74,0.64,0.99,0.032,,,
56,0.869,0.289,0.879,0.584,0.987,0.039,,,
57,0.836,0.487,0.842,0.664,0.99,0.06,,,
