N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.892,0.408,0.9,0.654,0.989,0.083,,Accuracy,89.211
1,0.893,0.329,0.903,0.616,0.988,0.064,,StdAccuracy,0.010509154258661
2,0.887,0.355,0.896,0.626,0.988,0.066,,n,100
3,0.912,0.5,0.919,0.71,0.991,0.131,,Error estándar,0.001050915425866
4,0.888,0.461,0.895,0.678,0.99,0.091,,Valor crítico (95%),1.96
5,0.859,0.487,0.866,0.676,0.99,0.074,,Margen de error,0.21
6,0.882,0.447,0.89,0.668,0.99,0.083,,,
7,0.879,0.566,0.884,0.725,0.992,0.106,,,
8,0.883,0.382,0.891,0.636,0.989,0.069,,Specificity,42.896
9,0.884,0.408,0.892,0.65,0.989,0.076,,StdSpecificity,0.057899236749388
10,0.915,0.368,0.924,0.646,0.989,0.098,,n,100
11,0.896,0.5,0.903,0.701,0.991,0.11,,Error estándar,0.005789923674939
12,0.892,0.474,0.899,0.686,0.991,0.098,,Valor crítico (95%),1.96
13,0.889,0.421,0.897,0.659,0.99,0.083,,Margen de error,1.13
14,0.898,0.382,0.907,0.644,0.989,0.082,,,
15,0.883,0.421,0.89,0.656,0.989,0.078,,,
16,0.887,0.5,0.893,0.697,0.991,0.099,,ROC AUC,66.43
17,0.912,0.421,0.92,0.671,0.99,0.11,,StdRecall,0.027287285676592
18,0.885,0.5,0.891,0.696,0.991,0.097,,n,100
19,0.9,0.447,0.907,0.677,0.99,0.101,,Error estándar,0.002728728567659
20,0.896,0.395,0.905,0.65,0.989,0.084,,Valor crítico (95%),1.96
21,0.896,0.382,0.904,0.643,0.989,0.08,,Margen de error,0.53
22,0.876,0.421,0.884,0.652,0.989,0.072,,,
23,0.879,0.447,0.886,0.667,0.99,0.08,,,
24,0.887,0.434,0.894,0.664,0.99,0.084,,,
25,0.894,0.513,0.9,0.707,0.991,0.11,,,
26,0.892,0.461,0.899,0.68,0.99,0.095,,,
27,0.903,0.329,0.913,0.621,0.988,0.073,,,
28,0.886,0.5,0.892,0.696,0.991,0.098,,,
29,0.89,0.368,0.899,0.634,0.989,0.072,,,
30,0.898,0.5,0.905,0.702,0.991,0.112,,,
31,0.895,0.421,0.903,0.662,0.99,0.089,,,
32,0.874,0.487,0.88,0.683,0.991,0.084,,,
33,0.908,0.329,0.917,0.623,0.988,0.078,,,
34,0.889,0.421,0.896,0.659,0.99,0.083,,,
35,0.874,0.408,0.881,0.645,0.989,0.068,,,
36,0.898,0.421,0.906,0.664,0.99,0.092,,,
37,0.883,0.539,0.889,0.714,0.992,0.104,,,
38,0.895,0.513,0.901,0.707,0.991,0.111,,,
39,0.907,0.421,0.915,0.668,0.99,0.103,,,
40,0.881,0.421,0.888,0.655,0.989,0.076,,,
41,0.894,0.461,0.901,0.681,0.99,0.097,,,
42,0.894,0.303,0.904,0.603,0.988,0.058,,,
43,0.895,0.25,0.906,0.578,0.987,0.045,,,
44,0.902,0.447,0.91,0.678,0.99,0.104,,,
45,0.883,0.513,0.889,0.701,0.991,0.098,,,
46,0.888,0.447,0.895,0.671,0.99,0.088,,,
47,0.89,0.382,0.899,0.64,0.989,0.075,,,
48,0.905,0.289,0.915,0.602,0.987,0.063,,,
49,0.901,0.461,0.908,0.684,0.99,0.105,,,
50,0.907,0.342,0.917,0.629,0.988,0.081,,,
51,0.892,0.461,0.899,0.68,0.99,0.095,,,
52,0.907,0.434,0.915,0.674,0.99,0.106,,,
53,0.886,0.487,0.892,0.69,0.991,0.095,,,
54,0.892,0.395,0.9,0.647,0.989,0.08,,,
55,0.891,0.421,0.898,0.66,0.99,0.085,,,
56,0.898,0.447,0.905,0.676,0.99,0.099,,,
57,0.894,0.474,0.901,0.687,0.991,0.101,,,
58,0.879,0.461,0.886,0.673,0.99,0.083,,,
59,0.898,0.408,0.906,0.657,0.989,0.089,,,
60,0.893,0.421,0.901,0.661,0.99,0.087,,,
61,0.882,0.368,0.891,0.63,0.989,0.065,,,
62,0.887,0.434,0.894,0.664,0.99,0.084,,,
63,0.887,0.474,0.893,0.683,0.99,0.093,,,
64,0.908,0.382,0.916,0.649,0.989,0.093,,,
65,0.893,0.474,0.9,0.687,0.991,0.099,,,
66,0.889,0.408,0.896,0.652,0.989,0.08,,,
67,0.891,0.526,0.896,0.711,0.991,0.109,,,
68,0.898,0.355,0.907,0.631,0.989,0.075,,,
69,0.877,0.461,0.884,0.672,0.99,0.081,,,
70,0.897,0.329,0.906,0.618,0.988,0.067,,,
71,0.879,0.421,0.887,0.654,0.989,0.075,,,
72,0.884,0.474,0.891,0.682,0.99,0.091,,,
73,0.896,0.526,0.902,0.714,0.991,0.115,,,
74,0.894,0.461,0.901,0.681,0.99,0.098,,,
75,0.887,0.434,0.894,0.664,0.99,0.084,,,
76,0.898,0.368,0.907,0.638,0.989,0.079,,,
77,0.892,0.5,0.898,0.699,0.991,0.104,,,
78,0.895,0.408,0.903,0.655,0.989,0.085,,,
