N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.869,0.447,0.876,0.662,0.99,0.073,,Accuracy,82.992
1,0.8,0.526,0.805,0.665,0.99,0.05,,StdAccuracy,0.022046177432697
2,0.852,0.408,0.859,0.633,0.989,0.054,,n,100
3,0.843,0.526,0.848,0.687,0.991,0.07,,Error estándar,0.00220461774327
4,0.857,0.461,0.863,0.662,0.99,0.067,,Valor crítico (95%),1.96
5,0.845,0.461,0.852,0.656,0.99,0.06,,Margen de error,0.43
6,0.819,0.421,0.826,0.623,0.989,0.041,,,
7,0.813,0.539,0.818,0.678,0.991,0.057,,,
8,0.808,0.566,0.812,0.689,0.991,0.059,,Specificity,49.237
9,0.85,0.434,0.857,0.646,0.989,0.058,,StdSpecificity,0.06273443386147
10,0.816,0.539,0.821,0.68,0.991,0.058,,n,100
11,0.828,0.474,0.834,0.654,0.99,0.054,,Error estándar,0.006273443386147
12,0.801,0.513,0.805,0.659,0.99,0.048,,Valor crítico (95%),1.96
13,0.827,0.474,0.833,0.653,0.99,0.053,,Margen de error,1.23
14,0.8,0.5,0.805,0.652,0.99,0.046,,,
15,0.841,0.5,0.847,0.673,0.99,0.065,,,
16,0.826,0.447,0.832,0.64,0.989,0.048,,ROC AUC,66.391
17,0.842,0.539,0.847,0.693,0.991,0.072,,StdRecall,0.028552307129622
18,0.805,0.579,0.809,0.694,0.992,0.059,,n,100
19,0.83,0.368,0.837,0.603,0.988,0.037,,Error estándar,0.002855230712962
20,0.818,0.566,0.822,0.694,0.991,0.063,,Valor crítico (95%),1.96
21,0.819,0.487,0.825,0.656,0.99,0.052,,Margen de error,0.56
22,0.871,0.474,0.878,0.676,0.99,0.08,,,
23,0.873,0.513,0.879,0.696,0.991,0.089,,,
24,0.859,0.368,0.867,0.618,0.988,0.05,,,
25,0.819,0.513,0.824,0.669,0.99,0.056,,,
26,0.863,0.487,0.869,0.678,0.99,0.076,,,
27,0.855,0.395,0.862,0.628,0.989,0.053,,,
28,0.84,0.513,0.845,0.679,0.991,0.066,,,
29,0.811,0.487,0.816,0.651,0.99,0.048,,,
30,0.812,0.553,0.816,0.685,0.991,0.059,,,
31,0.827,0.382,0.835,0.608,0.988,0.038,,,
32,0.793,0.592,0.797,0.694,0.992,0.056,,,
33,0.83,0.421,0.836,0.629,0.989,0.046,,,
34,0.835,0.566,0.839,0.703,0.992,0.072,,,
35,0.807,0.553,0.811,0.682,0.991,0.056,,,
36,0.839,0.474,0.845,0.659,0.99,0.059,,,
37,0.826,0.5,0.832,0.666,0.99,0.057,,,
