N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.911,0.526,0.918,0.722,0.992,0.137,,Accuracy,88.316
1,0.874,0.342,0.883,0.612,0.988,0.053,,StdAccuracy,0.015557465972155
2,0.889,0.5,0.895,0.698,0.991,0.101,,n,100
3,0.885,0.395,0.893,0.644,0.989,0.073,,Error estándar,0.001555746597215
4,0.874,0.368,0.882,0.625,0.988,0.059,,Valor crítico (95%),1.96
5,0.887,0.487,0.893,0.69,0.991,0.096,,Margen de error,0.3
6,0.877,0.447,0.884,0.665,0.99,0.078,,,
7,0.872,0.447,0.879,0.663,0.99,0.074,,,
8,0.895,0.421,0.903,0.662,0.99,0.089,,Specificity,42.368
9,0.879,0.474,0.886,0.68,0.99,0.086,,StdSpecificity,0.063581313562583
10,0.915,0.329,0.924,0.627,0.988,0.086,,n,100
11,0.886,0.329,0.895,0.612,0.988,0.059,,Error estándar,0.006358131356258
12,0.894,0.303,0.904,0.603,0.988,0.058,,Valor crítico (95%),1.96
13,0.872,0.368,0.88,0.624,0.988,0.058,,Margen de error,1.25
14,0.887,0.539,0.893,0.716,0.992,0.108,,,
15,0.867,0.447,0.874,0.661,0.99,0.071,,,
16,0.906,0.434,0.914,0.674,0.99,0.105,,ROC AUC,65.712
17,0.845,0.487,0.851,0.669,0.99,0.064,,StdRecall,0.031182188648151
18,0.906,0.5,0.912,0.706,0.991,0.121,,n,100
19,0.891,0.434,0.898,0.666,0.99,0.088,,Error estándar,0.003118218864815
20,0.884,0.487,0.891,0.689,0.991,0.094,,Valor crítico (95%),1.96
21,0.862,0.461,0.868,0.664,0.99,0.07,,Margen de error,0.61
22,0.886,0.447,0.893,0.67,0.99,0.086,,,
23,0.871,0.395,0.879,0.637,0.989,0.063,,,
24,0.918,0.474,0.926,0.7,0.991,0.134,,,
25,0.9,0.474,0.907,0.69,0.991,0.107,,,
26,0.876,0.395,0.883,0.639,0.989,0.066,,,
27,0.873,0.368,0.881,0.625,0.988,0.059,,,
28,0.868,0.368,0.876,0.622,0.988,0.055,,,
29,0.87,0.382,0.878,0.63,0.989,0.059,,,
30,0.868,0.408,0.876,0.642,0.989,0.064,,,
31,0.887,0.434,0.894,0.664,0.99,0.084,,,
32,0.891,0.447,0.898,0.673,0.99,0.091,,,
33,0.896,0.421,0.904,0.663,0.99,0.09,,,
34,0.89,0.329,0.9,0.614,0.988,0.062,,,
35,0.9,0.329,0.909,0.619,0.988,0.07,,,
36,0.878,0.368,0.887,0.628,0.988,0.062,,,
37,0.906,0.434,0.913,0.674,0.99,0.104,,,
38,0.904,0.461,0.911,0.686,0.99,0.109,,,
39,0.897,0.368,0.906,0.637,0.989,0.078,,,
40,0.867,0.434,0.875,0.654,0.99,0.069,,,
41,0.869,0.447,0.876,0.661,0.99,0.072,,,
42,0.868,0.342,0.876,0.609,0.988,0.05,,,
43,0.879,0.316,0.888,0.602,0.988,0.051,,,
44,0.888,0.408,0.896,0.652,0.989,0.079,,,
45,0.898,0.447,0.905,0.676,0.99,0.099,,,
46,0.872,0.395,0.88,0.637,0.989,0.064,,,
47,0.877,0.382,0.885,0.633,0.989,0.064,,,
48,0.876,0.5,0.882,0.691,0.991,0.088,,,
49,0.86,0.421,0.867,0.644,0.989,0.061,,,
50,0.901,0.368,0.909,0.639,0.989,0.081,,,
51,0.864,0.355,0.872,0.614,0.988,0.05,,,
52,0.899,0.461,0.906,0.683,0.99,0.103,,,
53,0.877,0.303,0.886,0.594,0.987,0.046,,,
54,0.882,0.421,0.89,0.655,0.989,0.077,,,
55,0.892,0.5,0.898,0.699,0.991,0.104,,,
56,0.877,0.434,0.884,0.659,0.99,0.076,,,
57,0.929,0.395,0.937,0.666,0.99,0.128,,,
58,0.864,0.368,0.872,0.62,0.988,0.053,,,
59,0.9,0.382,0.908,0.645,0.989,0.084,,,
60,0.871,0.5,0.877,0.689,0.991,0.085,,,
61,0.894,0.421,0.902,0.661,0.99,0.088,,,
62,0.89,0.408,0.898,0.653,0.989,0.081,,,
63,0.86,0.566,0.865,0.715,0.992,0.089,,,
64,0.879,0.526,0.885,0.705,0.991,0.097,,,
65,0.88,0.329,0.889,0.609,0.988,0.054,,,
66,0.88,0.447,0.887,0.667,0.99,0.081,,,
67,0.878,0.461,0.885,0.673,0.99,0.082,,,
