N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.94,0.316,0.95,0.633,0.988,0.123,,Accuracy,92.942
1,0.927,0.342,0.936,0.639,0.989,0.107,,StdAccuracy,0.007561438589009
2,0.926,0.395,0.935,0.665,0.99,0.124,,n,100
3,0.937,0.316,0.947,0.632,0.988,0.117,,Error estándar,0.000756143858901
4,0.921,0.487,0.929,0.708,0.991,0.143,,Valor crítico (95%),1.96
5,0.928,0.421,0.936,0.679,0.99,0.136,,Margen de error,0.15
6,0.936,0.316,0.946,0.631,0.988,0.115,,,
7,0.93,0.316,0.94,0.628,0.988,0.104,,,
8,0.922,0.434,0.93,0.682,0.99,0.128,,Specificity,39.843
9,0.935,0.447,0.943,0.695,0.991,0.159,,StdSpecificity,0.059955750518212
10,0.933,0.355,0.943,0.649,0.989,0.124,,n,100
11,0.93,0.355,0.939,0.647,0.989,0.117,,Error estándar,0.005995575051821
12,0.935,0.447,0.943,0.695,0.991,0.159,,Valor crítico (95%),1.96
13,0.935,0.289,0.945,0.617,0.988,0.102,,Margen de error,1.18
14,0.945,0.408,0.953,0.681,0.99,0.171,,,
15,0.929,0.408,0.938,0.673,0.99,0.134,,,
16,0.928,0.276,0.939,0.608,0.988,0.087,,ROC AUC,66.821
17,0.925,0.434,0.933,0.684,0.99,0.135,,StdRecall,0.028857117533171
18,0.93,0.382,0.939,0.66,0.989,0.126,,n,100
19,0.919,0.329,0.929,0.629,0.988,0.092,,Error estándar,0.002885711753317
20,0.932,0.382,0.941,0.661,0.989,0.13,,Valor crítico (95%),1.96
21,0.938,0.368,0.948,0.658,0.989,0.14,,Margen de error,0.57
22,0.928,0.355,0.937,0.646,0.989,0.113,,,
23,0.927,0.355,0.936,0.646,0.989,0.112,,,
24,0.929,0.474,0.936,0.705,0.991,0.154,,,
25,0.943,0.368,0.952,0.66,0.989,0.151,,,
26,0.942,0.355,0.951,0.653,0.989,0.143,,,
27,0.93,0.434,0.938,0.686,0.99,0.144,,,
28,0.933,0.434,0.941,0.688,0.99,0.151,,,
29,0.946,0.382,0.955,0.668,0.99,0.164,,,
30,0.939,0.368,0.949,0.658,0.989,0.142,,,
31,0.938,0.355,0.947,0.651,0.989,0.133,,,
32,0.916,0.342,0.926,0.634,0.989,0.092,,,
33,0.921,0.382,0.93,0.656,0.989,0.112,,,
34,0.932,0.447,0.94,0.694,0.99,0.154,,,
35,0.936,0.447,0.944,0.695,0.991,0.161,,,
36,0.935,0.408,0.943,0.676,0.99,0.146,,,
37,0.924,0.355,0.934,0.644,0.989,0.108,,,
38,0.921,0.395,0.93,0.662,0.989,0.116,,,
39,0.928,0.355,0.937,0.646,0.989,0.114,,,
40,0.928,0.421,0.936,0.679,0.99,0.135,,,
41,0.936,0.461,0.943,0.702,0.991,0.166,,,
42,0.928,0.474,0.935,0.704,0.991,0.152,,,
43,0.935,0.303,0.945,0.624,0.988,0.107,,,
44,0.92,0.421,0.929,0.675,0.99,0.122,,,
45,0.926,0.368,0.935,0.652,0.989,0.115,,,
46,0.935,0.434,0.943,0.689,0.99,0.155,,,
47,0.926,0.368,0.935,0.652,0.989,0.115,,,
48,0.929,0.461,0.937,0.699,0.991,0.15,,,
49,0.929,0.421,0.938,0.679,0.99,0.138,,,
50,0.922,0.474,0.929,0.701,0.991,0.14,,,
51,0.92,0.395,0.928,0.661,0.989,0.113,,,
52,0.929,0.434,0.938,0.686,0.99,0.143,,,
53,0.936,0.263,0.947,0.605,0.987,0.095,,,
54,0.935,0.553,0.941,0.747,0.992,0.195,,,
55,0.923,0.382,0.932,0.657,0.989,0.114,,,
56,0.941,0.316,0.951,0.633,0.988,0.125,,,
57,0.932,0.382,0.941,0.661,0.989,0.13,,,
58,0.931,0.355,0.94,0.648,0.989,0.119,,,
59,0.925,0.579,0.93,0.755,0.993,0.176,,,
60,0.923,0.395,0.931,0.663,0.989,0.118,,,
61,0.916,0.421,0.924,0.672,0.99,0.115,,,
62,0.917,0.474,0.925,0.699,0.991,0.133,,,
63,0.921,0.316,0.931,0.623,0.988,0.09,,,
64,0.931,0.316,0.941,0.628,0.988,0.105,,,
65,0.907,0.382,0.915,0.649,0.989,0.092,,,
66,0.928,0.408,0.937,0.672,0.99,0.132,,,
67,0.914,0.421,0.922,0.671,0.99,0.112,,,
68,0.925,0.434,0.934,0.684,0.99,0.135,,,
69,0.918,0.474,0.925,0.699,0.991,0.133,,,
70,0.932,0.421,0.941,0.681,0.99,0.145,,,
71,0.926,0.447,0.934,0.69,0.99,0.14,,,
72,0.933,0.303,0.943,0.623,0.988,0.104,,,
73,0.936,0.263,0.947,0.605,0.987,0.094,,,
74,0.925,0.447,0.933,0.69,0.99,0.138,,,
75,0.932,0.395,0.94,0.668,0.99,0.134,,,
76,0.944,0.408,0.953,0.68,0.99,0.17,,,
77,0.927,0.447,0.935,0.691,0.99,0.142,,,
78,0.946,0.408,0.954,0.681,0.99,0.174,,,
79,0.918,0.513,0.925,0.719,0.991,0.145,,,
80,0.929,0.368,0.938,0.653,0.989,0.12,,,
81,0.934,0.447,0.942,0.695,0.99,0.158,,,
82,0.933,0.461,0.941,0.701,0.991,0.16,,,
83,0.928,0.355,0.938,0.646,0.989,0.114,,,
84,0.927,0.487,0.934,0.71,0.991,0.154,,,
85,0.931,0.408,0.939,0.673,0.99,0.137,,,
86,0.931,0.434,0.939,0.687,0.99,0.147,,,
87,0.919,0.421,0.927,0.674,0.99,0.119,,,
88,0.931,0.461,0.938,0.699,0.991,0.154,,,
89,0.915,0.368,0.924,0.646,0.989,0.099,,,
90,0.92,0.461,0.927,0.694,0.991,0.132,,,
