N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.833,0.408,0.84,0.624,0.989,0.045,,Accuracy,84.47
1,0.832,0.368,0.839,0.604,0.988,0.038,,StdAccuracy,0.010868822987394
2,0.857,0.382,0.865,0.623,0.988,0.052,,n,100
3,0.844,0.447,0.85,0.649,0.989,0.057,,Error estándar,0.001086882298739
4,0.848,0.5,0.854,0.677,0.991,0.069,,Valor crítico (95%),1.96
5,0.845,0.553,0.85,0.701,0.991,0.076,,Margen de error,0.21
6,0.847,0.513,0.852,0.683,0.991,0.07,,,
7,0.838,0.553,0.843,0.698,0.991,0.072,,,
8,0.869,0.368,0.877,0.623,0.988,0.056,,Specificity,48.082
9,0.855,0.434,0.861,0.648,0.989,0.06,,StdSpecificity,0.0625581555697
10,0.861,0.474,0.867,0.671,0.99,0.072,,n,100
11,0.841,0.421,0.848,0.635,0.989,0.051,,Error estándar,0.00625581555697
12,0.844,0.526,0.849,0.688,0.991,0.071,,Valor crítico (95%),1.96
13,0.859,0.513,0.865,0.689,0.991,0.079,,Margen de error,1.23
14,0.83,0.421,0.837,0.629,0.989,0.046,,,
15,0.851,0.539,0.856,0.698,0.991,0.078,,,
16,0.84,0.539,0.845,0.692,0.991,0.071,,ROC AUC,66.578
17,0.845,0.447,0.851,0.649,0.989,0.057,,StdRecall,0.030053682609355
18,0.832,0.395,0.839,0.617,0.988,0.042,,n,100
19,0.858,0.5,0.863,0.682,0.991,0.075,,Error estándar,0.003005368260935
20,0.851,0.5,0.857,0.678,0.991,0.071,,Valor crítico (95%),1.96
21,0.857,0.539,0.862,0.701,0.991,0.081,,Margen de error,0.59
22,0.827,0.605,0.83,0.718,0.992,0.074,,,
23,0.838,0.513,0.843,0.678,0.991,0.065,,,
24,0.839,0.566,0.843,0.704,0.992,0.074,,,
25,0.837,0.605,0.841,0.723,0.992,0.08,,,
26,0.852,0.408,0.859,0.634,0.989,0.054,,,
27,0.849,0.421,0.856,0.638,0.989,0.055,,,
28,0.854,0.395,0.862,0.628,0.989,0.053,,,
29,0.832,0.5,0.837,0.669,0.99,0.06,,,
30,0.84,0.421,0.847,0.634,0.989,0.05,,,
31,0.846,0.461,0.852,0.656,0.99,0.06,,,
32,0.848,0.526,0.853,0.69,0.991,0.073,,,
33,0.844,0.487,0.85,0.668,0.99,0.064,,,
34,0.84,0.461,0.846,0.653,0.99,0.057,,,
35,0.843,0.461,0.849,0.655,0.99,0.059,,,
36,0.862,0.474,0.868,0.671,0.99,0.072,,,
37,0.814,0.579,0.818,0.699,0.992,0.063,,,
38,0.847,0.592,0.851,0.722,0.992,0.084,,,
39,0.857,0.474,0.863,0.669,0.99,0.069,,,
40,0.838,0.526,0.844,0.685,0.991,0.068,,,
41,0.829,0.487,0.835,0.661,0.99,0.056,,,
42,0.858,0.408,0.866,0.637,0.989,0.058,,,
43,0.844,0.474,0.85,0.662,0.99,0.062,,,
44,0.857,0.434,0.864,0.649,0.989,0.062,,,
45,0.854,0.566,0.858,0.712,0.992,0.084,,,
46,0.823,0.526,0.827,0.677,0.991,0.059,,,
47,0.853,0.382,0.861,0.621,0.988,0.05,,,
48,0.832,0.368,0.839,0.604,0.988,0.038,,,
49,0.848,0.474,0.854,0.664,0.99,0.064,,,
50,0.824,0.553,0.828,0.691,0.991,0.064,,,
51,0.833,0.5,0.838,0.669,0.99,0.06,,,
52,0.846,0.658,0.849,0.753,0.993,0.094,,,
53,0.838,0.447,0.844,0.646,0.989,0.054,,,
54,0.847,0.539,0.852,0.696,0.991,0.075,,,
55,0.83,0.447,0.836,0.642,0.989,0.05,,,
56,0.849,0.553,0.854,0.703,0.992,0.079,,,
57,0.848,0.513,0.854,0.684,0.991,0.071,,,
58,0.847,0.526,0.852,0.689,0.991,0.073,,,
59,0.843,0.526,0.848,0.687,0.991,0.07,,,
60,0.86,0.434,0.867,0.651,0.989,0.064,,,
61,0.84,0.474,0.846,0.66,0.99,0.059,,,
62,0.822,0.421,0.828,0.625,0.989,0.042,,,
63,0.84,0.461,0.846,0.653,0.99,0.057,,,
64,0.852,0.553,0.857,0.705,0.992,0.081,,,
65,0.867,0.474,0.874,0.674,0.99,0.077,,,
66,0.836,0.579,0.84,0.71,0.992,0.075,,,
67,0.831,0.461,0.837,0.649,0.99,0.053,,,
68,0.857,0.487,0.863,0.675,0.99,0.072,,,
69,0.842,0.434,0.849,0.641,0.989,0.054,,,
70,0.852,0.5,0.858,0.679,0.991,0.071,,,
71,0.836,0.461,0.842,0.652,0.99,0.055,,,
72,0.844,0.5,0.849,0.675,0.99,0.066,,,
73,0.856,0.421,0.863,0.642,0.989,0.059,,,
74,0.848,0.539,0.853,0.696,0.991,0.076,,,
75,0.84,0.553,0.844,0.698,0.991,0.073,,,
76,0.845,0.395,0.852,0.624,0.989,0.048,,,
77,0.86,0.526,0.866,0.696,0.991,0.082,,,
78,0.844,0.487,0.849,0.668,0.99,0.064,,,
79,0.849,0.487,0.855,0.671,0.99,0.067,,,
80,0.865,0.408,0.873,0.64,0.989,0.062,,,
81,0.826,0.408,0.833,0.621,0.989,0.042,,,
82,0.838,0.526,0.843,0.685,0.991,0.067,,,
83,0.835,0.513,0.84,0.677,0.991,0.063,,,
84,0.833,0.579,0.837,0.708,0.992,0.073,,,
85,0.844,0.434,0.851,0.643,0.989,0.055,,,
86,0.845,0.5,0.851,0.675,0.99,0.067,,,
87,0.834,0.461,0.84,0.65,0.99,0.054,,,
88,0.848,0.447,0.855,0.651,0.99,0.059,,,
89,0.845,0.487,0.851,0.669,0.99,0.065,,,
90,0.838,0.382,0.845,0.613,0.988,0.042,,,
91,0.855,0.382,0.862,0.622,0.988,0.051,,,
92,0.856,0.382,0.864,0.623,0.988,0.051,,,
93,0.852,0.461,0.858,0.659,0.99,0.064,,,
94,0.841,0.474,0.847,0.661,0.99,0.06,,,
95,0.866,0.408,0.873,0.641,0.989,0.062,,,
96,0.861,0.408,0.869,0.638,0.989,0.059,,,
97,0.836,0.566,0.841,0.703,0.992,0.073,,,
98,0.837,0.513,0.843,0.678,0.991,0.065,,,
99,0.847,0.5,0.853,0.677,0.991,0.068,,,
