N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.838,0.487,0.844,0.665,0.99,0.061,,Accuracy,79.605
1,0.752,0.539,0.756,0.648,0.99,0.036,,StdAccuracy,0.078950358396331
2,0.902,0.342,0.911,0.627,0.988,0.076,,n,100
3,0.593,0.553,0.594,0.573,0.988,0.011,,Error estándar,0.007895035839633
4,0.847,0.382,0.855,0.618,0.988,0.047,,Valor crítico (95%),1.96
5,0.863,0.408,0.87,0.639,0.989,0.06,,Margen de error,1.55
6,0.892,0.382,0.9,0.641,0.989,0.076,,,
7,0.723,0.592,0.725,0.659,0.991,0.035,,,
8,0.871,0.461,0.878,0.669,0.99,0.077,,Specificity,47.264
9,0.849,0.329,0.858,0.593,0.987,0.038,,StdSpecificity,0.078000973834895
10,0.744,0.553,0.747,0.65,0.99,0.036,,n,100
11,0.891,0.487,0.897,0.692,0.991,0.1,,Error estándar,0.007800097383489
12,0.837,0.421,0.844,0.633,0.989,0.049,,Valor crítico (95%),1.96
13,0.552,0.592,0.551,0.571,0.988,0.01,,Margen de error,1.53
14,0.886,0.5,0.892,0.696,0.991,0.098,,,
15,0.772,0.553,0.775,0.664,0.991,0.044,,,
16,0.848,0.303,0.857,0.58,0.987,0.032,,ROC AUC,63.698
17,0.675,0.434,0.679,0.557,0.987,0.011,,StdRecall,0.043344049956905
18,0.819,0.539,0.823,0.681,0.991,0.06,,n,100
19,0.643,0.421,0.646,0.534,0.986,0.006,,Error estándar,0.00433440499569
20,0.847,0.434,0.854,0.644,0.989,0.056,,Valor crítico (95%),1.96
21,0.88,0.395,0.888,0.642,0.989,0.07,,Margen de error,0.85
22,0.862,0.382,0.87,0.626,0.989,0.055,,,
23,0.899,0.487,0.906,0.697,0.991,0.11,,,
24,0.888,0.408,0.896,0.652,0.989,0.079,,,
25,0.847,0.421,0.854,0.637,0.989,0.054,,,
26,0.84,0.5,0.845,0.673,0.99,0.064,,,
27,0.839,0.513,0.844,0.679,0.991,0.066,,,
28,0.764,0.566,0.768,0.667,0.991,0.043,,,
29,0.74,0.5,0.744,0.622,0.989,0.029,,,
30,0.746,0.605,0.749,0.677,0.991,0.042,,,
31,0.646,0.408,0.65,0.529,0.985,0.005,,,
32,0.781,0.526,0.785,0.656,0.99,0.043,,,
33,0.752,0.487,0.756,0.622,0.989,0.03,,,
34,0.792,0.382,0.798,0.59,0.987,0.027,,,
35,0.856,0.447,0.863,0.655,0.99,0.064,,,
36,0.862,0.408,0.869,0.639,0.989,0.06,,,
37,0.863,0.461,0.869,0.665,0.99,0.071,,,
38,0.785,0.5,0.79,0.645,0.99,0.041,,,
39,0.745,0.592,0.747,0.67,0.991,0.04,,,
40,0.741,0.526,0.744,0.635,0.99,0.032,,,
41,0.888,0.421,0.896,0.658,0.99,0.082,,,
42,0.884,0.447,0.891,0.669,0.99,0.084,,,
43,0.869,0.474,0.876,0.675,0.99,0.078,,,
44,0.786,0.513,0.79,0.652,0.99,0.043,,,
45,0.873,0.447,0.88,0.664,0.99,0.075,,,
46,0.816,0.513,0.821,0.667,0.99,0.054,,,
47,0.869,0.355,0.878,0.616,0.988,0.053,,,
48,0.602,0.434,0.604,0.519,0.985,0.003,,,
49,0.83,0.447,0.836,0.642,0.989,0.05,,,
50,0.851,0.461,0.857,0.659,0.99,0.063,,,
51,0.838,0.408,0.845,0.627,0.989,0.047,,,
52,0.739,0.5,0.743,0.622,0.989,0.029,,,
53,0.874,0.395,0.882,0.638,0.989,0.065,,,
54,0.869,0.461,0.876,0.668,0.99,0.075,,,
55,0.72,0.566,0.722,0.644,0.99,0.032,,,
56,0.743,0.605,0.745,0.675,0.991,0.041,,,
57,0.823,0.461,0.829,0.645,0.989,0.049,,,
58,0.857,0.461,0.864,0.662,0.99,0.067,,,
59,0.841,0.421,0.848,0.634,0.989,0.051,,,
60,0.857,0.461,0.863,0.662,0.99,0.067,,,
61,0.772,0.526,0.776,0.651,0.99,0.04,,,
62,0.752,0.539,0.756,0.648,0.99,0.036,,,
63,0.904,0.355,0.913,0.634,0.989,0.081,,,
64,0.795,0.579,0.798,0.689,0.991,0.055,,,
65,0.566,0.355,0.569,0.462,0.982,-0.006,,,
66,0.635,0.382,0.639,0.51,0.984,0.002,,,
67,0.859,0.526,0.864,0.695,0.991,0.081,,,
68,0.757,0.513,0.761,0.637,0.99,0.034,,,
69,0.816,0.5,0.821,0.661,0.99,0.052,,,
70,0.775,0.526,0.779,0.652,0.99,0.041,,,
71,0.827,0.395,0.834,0.614,0.988,0.04,,,
72,0.744,0.5,0.748,0.624,0.989,0.03,,,
73,0.794,0.5,0.799,0.65,0.99,0.044,,,
74,0.871,0.355,0.88,0.617,0.988,0.055,,,
75,0.734,0.566,0.737,0.651,0.99,0.035,,,
76,0.757,0.434,0.762,0.598,0.988,0.025,,,
77,0.829,0.395,0.836,0.616,0.988,0.041,,,
