N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.907,0.421,0.915,0.668,0.99,0.103,,Accuracy,89.899
1,0.897,0.421,0.905,0.663,0.99,0.091,,StdAccuracy,0.010558633788268
2,0.914,0.474,0.921,0.697,0.991,0.127,,n,100
3,0.908,0.461,0.915,0.688,0.99,0.114,,Error estándar,0.001055863378827
4,0.879,0.553,0.885,0.719,0.992,0.103,,Valor crítico (95%),1.96
5,0.883,0.474,0.89,0.682,0.99,0.089,,Margen de error,0.21
6,0.907,0.408,0.916,0.662,0.99,0.1,,,
7,0.902,0.421,0.91,0.666,0.99,0.097,,,
8,0.912,0.434,0.92,0.677,0.99,0.113,,Specificity,42.869
9,0.909,0.368,0.918,0.643,0.989,0.091,,StdSpecificity,0.06169093625616
10,0.88,0.526,0.886,0.706,0.991,0.098,,n,100
11,0.889,0.368,0.898,0.633,0.989,0.071,,Error estándar,0.006169093625616
12,0.899,0.355,0.908,0.632,0.989,0.076,,Valor crítico (95%),1.96
13,0.894,0.434,0.902,0.668,0.99,0.091,,Margen de error,1.21
14,0.9,0.421,0.908,0.664,0.99,0.094,,,
15,0.895,0.447,0.902,0.675,0.99,0.095,,,
16,0.916,0.382,0.924,0.653,0.989,0.103,,ROC AUC,66.769
17,0.894,0.447,0.901,0.674,0.99,0.094,,StdRecall,0.030024466454187
18,0.929,0.434,0.937,0.686,0.99,0.142,,n,100
19,0.911,0.342,0.92,0.631,0.988,0.085,,Error estándar,0.003002446645419
20,0.907,0.382,0.916,0.649,0.989,0.092,,Valor crítico (95%),1.96
21,0.902,0.408,0.91,0.659,0.989,0.093,,Margen de error,0.59
22,0.867,0.408,0.875,0.641,0.989,0.063,,,
23,0.875,0.513,0.881,0.697,0.991,0.09,,,
24,0.89,0.461,0.897,0.679,0.99,0.093,,,
25,0.9,0.408,0.908,0.658,0.989,0.091,,,
26,0.908,0.408,0.916,0.662,0.99,0.1,,,
27,0.903,0.316,0.912,0.614,0.988,0.069,,,
28,0.904,0.382,0.913,0.647,0.989,0.089,,,
29,0.919,0.605,0.924,0.765,0.993,0.171,,,
30,0.885,0.395,0.893,0.644,0.989,0.074,,,
31,0.902,0.447,0.909,0.678,0.99,0.103,,,
32,0.896,0.421,0.904,0.662,0.99,0.09,,,
33,0.918,0.289,0.928,0.609,0.988,0.077,,,
34,0.902,0.382,0.91,0.646,0.989,0.086,,,
35,0.909,0.355,0.918,0.637,0.989,0.087,,,
36,0.899,0.408,0.907,0.657,0.989,0.09,,,
37,0.894,0.474,0.901,0.687,0.991,0.101,,,
38,0.904,0.526,0.91,0.718,0.992,0.126,,,
39,0.894,0.447,0.901,0.674,0.99,0.094,,,
40,0.916,0.368,0.925,0.647,0.989,0.1,,,
41,0.89,0.408,0.898,0.653,0.989,0.081,,,
42,0.895,0.434,0.902,0.668,0.99,0.092,,,
43,0.878,0.487,0.885,0.686,0.991,0.088,,,
44,0.877,0.474,0.883,0.679,0.99,0.084,,,
45,0.894,0.474,0.901,0.687,0.991,0.101,,,
46,0.884,0.289,0.894,0.592,0.987,0.048,,,
47,0.889,0.395,0.897,0.646,0.989,0.077,,,
48,0.891,0.329,0.9,0.615,0.988,0.063,,,
49,0.913,0.395,0.922,0.658,0.989,0.104,,,
50,0.9,0.526,0.906,0.716,0.992,0.121,,,
51,0.896,0.461,0.903,0.682,0.99,0.1,,,
52,0.904,0.461,0.911,0.686,0.99,0.109,,,
