N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.886,0.303,0.895,0.599,0.987,0.052,,Accuracy,89.996
1,0.925,0.303,0.935,0.619,0.988,0.091,,StdAccuracy,0.046470566333471
2,0.602,0.5,0.604,0.552,0.987,0.008,,n,100
3,0.926,0.434,0.934,0.684,0.99,0.136,,Error estándar,0.004647056633347
4,0.935,0.342,0.944,0.643,0.989,0.122,,Valor crítico (95%),1.96
5,0.916,0.355,0.925,0.64,0.989,0.095,,Margen de error,0.91
6,0.917,0.303,0.927,0.615,0.988,0.081,,,
7,0.924,0.474,0.931,0.702,0.991,0.144,,,
8,0.883,0.382,0.891,0.636,0.989,0.069,,Specificity,38.552
9,0.929,0.303,0.939,0.621,0.988,0.097,,StdSpecificity,0.064499076808051
10,0.913,0.355,0.923,0.639,0.989,0.092,,n,100
11,0.899,0.342,0.908,0.625,0.988,0.072,,Error estándar,0.006449907680805
12,0.87,0.25,0.88,0.565,0.986,0.031,,Valor crítico (95%),1.96
13,0.859,0.434,0.866,0.65,0.989,0.063,,Margen de error,1.26
14,0.908,0.395,0.917,0.656,0.989,0.097,,,
15,0.913,0.368,0.922,0.645,0.989,0.096,,,
16,0.912,0.368,0.921,0.645,0.989,0.095,,ROC AUC,64.69
17,0.892,0.368,0.901,0.635,0.989,0.073,,StdRecall,0.035427975021745
18,0.904,0.25,0.915,0.582,0.987,0.052,,n,100
19,0.907,0.382,0.916,0.649,0.989,0.092,,Error estándar,0.003542797502175
20,0.868,0.434,0.875,0.654,0.99,0.069,,Valor crítico (95%),1.96
21,0.921,0.395,0.93,0.662,0.989,0.115,,Margen de error,0.69
22,0.917,0.513,0.924,0.718,0.991,0.143,,,
23,0.925,0.421,0.934,0.677,0.99,0.131,,,
24,0.654,0.474,0.657,0.565,0.987,0.012,,,
25,0.908,0.355,0.917,0.636,0.989,0.086,,,
26,0.91,0.263,0.92,0.592,0.987,0.06,,,
27,0.915,0.276,0.926,0.601,0.987,0.07,,,
28,0.886,0.303,0.896,0.599,0.987,0.052,,,
29,0.89,0.211,0.901,0.556,0.986,0.031,,,
30,0.843,0.447,0.849,0.648,0.989,0.056,,,
31,0.94,0.408,0.949,0.678,0.99,0.159,,,
32,0.922,0.487,0.929,0.708,0.991,0.144,,,
33,0.907,0.461,0.914,0.687,0.99,0.113,,,
34,0.87,0.395,0.877,0.636,0.989,0.062,,,
35,0.872,0.382,0.88,0.631,0.989,0.061,,,
36,0.929,0.447,0.937,0.692,0.99,0.146,,,
37,0.921,0.382,0.929,0.655,0.989,0.11,,,
