N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.769,0.513,0.773,0.643,0.99,0.038,,Accuracy,72.074
1,0.555,0.553,0.555,0.554,0.987,0.008,,StdAccuracy,0.059160049992808
2,0.66,0.592,0.661,0.626,0.99,0.023,,n,100
3,0.669,0.487,0.672,0.579,0.988,0.015,,Error estándar,0.005916004999281
4,0.809,0.434,0.815,0.625,0.989,0.04,,Valor crítico (95%),1.96
5,0.761,0.526,0.765,0.646,0.99,0.037,,Margen de error,1.16
6,0.779,0.382,0.786,0.584,0.987,0.023,,,
7,0.68,0.553,0.683,0.618,0.989,0.023,,,
8,0.764,0.539,0.768,0.654,0.99,0.04,,Specificity,52.738
9,0.689,0.592,0.691,0.641,0.99,0.028,,StdSpecificity,0.076891604144268
10,0.735,0.553,0.738,0.645,0.99,0.034,,n,100
11,0.722,0.421,0.727,0.574,0.987,0.017,,Error estándar,0.007689160414427
12,0.626,0.724,0.624,0.674,0.993,0.029,,Valor crítico (95%),1.96
13,0.683,0.658,0.684,0.671,0.992,0.033,,Margen de error,1.51
14,0.759,0.539,0.762,0.651,0.99,0.038,,,
15,0.781,0.5,0.786,0.643,0.99,0.04,,,
16,0.653,0.579,0.655,0.617,0.99,0.021,,ROC AUC,62.565
17,0.673,0.579,0.675,0.627,0.99,0.024,,StdRecall,0.037425312829742
18,0.652,0.592,0.653,0.623,0.99,0.022,,n,100
19,0.735,0.513,0.738,0.626,0.989,0.029,,Error estándar,0.003742531282974
20,0.633,0.645,0.632,0.639,0.991,0.023,,Valor crítico (95%),1.96
21,0.687,0.553,0.689,0.621,0.989,0.024,,Margen de error,0.73
22,0.737,0.487,0.741,0.614,0.989,0.027,,,
23,0.725,0.579,0.727,0.653,0.991,0.034,,,
24,0.738,0.5,0.742,0.621,0.989,0.028,,,
25,0.668,0.461,0.672,0.566,0.987,0.012,,,
26,0.712,0.592,0.714,0.653,0.991,0.033,,,
27,0.657,0.697,0.656,0.677,0.993,0.032,,,
28,0.74,0.382,0.746,0.564,0.987,0.015,,,
29,0.708,0.618,0.709,0.664,0.991,0.034,,,
30,0.748,0.513,0.751,0.632,0.99,0.032,,,
31,0.69,0.566,0.692,0.629,0.99,0.026,,,
32,0.678,0.618,0.679,0.649,0.991,0.028,,,
33,0.78,0.592,0.783,0.687,0.992,0.051,,,
34,0.702,0.408,0.707,0.557,0.986,0.012,,,
