N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.936,0.355,0.945,0.65,0.989,0.129,,Accuracy,93.781
1,0.939,0.447,0.947,0.697,0.991,0.171,,StdAccuracy,0.009213182255482
2,0.93,0.382,0.939,0.66,0.989,0.126,,n,100
3,0.93,0.355,0.94,0.647,0.989,0.118,,Error estándar,0.000921318225548
4,0.945,0.474,0.953,0.713,0.991,0.198,,Valor crítico (95%),1.96
5,0.925,0.408,0.934,0.671,0.99,0.126,,Margen de error,0.18
6,0.927,0.408,0.936,0.672,0.99,0.13,,,
7,0.936,0.368,0.946,0.657,0.989,0.135,,,
8,0.942,0.447,0.95,0.699,0.991,0.177,,Specificity,40.66
9,0.932,0.421,0.941,0.681,0.99,0.145,,StdSpecificity,0.055239240919601
10,0.924,0.513,0.931,0.722,0.992,0.156,,n,100
11,0.933,0.447,0.941,0.694,0.99,0.155,,Error estándar,0.00552392409196
12,0.934,0.461,0.942,0.701,0.991,0.162,,Valor crítico (95%),1.96
13,0.943,0.461,0.951,0.706,0.991,0.186,,Margen de error,1.08
14,0.924,0.447,0.932,0.69,0.99,0.137,,,
15,0.922,0.461,0.93,0.695,0.991,0.137,,,
16,0.937,0.408,0.946,0.677,0.99,0.151,,ROC AUC,67.655
17,0.953,0.355,0.962,0.659,0.989,0.175,,StdRecall,0.027073926105157
18,0.949,0.395,0.958,0.676,0.99,0.179,,n,100
19,0.951,0.447,0.959,0.703,0.991,0.208,,Error estándar,0.002707392610516
20,0.938,0.434,0.946,0.69,0.99,0.162,,Valor crítico (95%),1.96
21,0.935,0.395,0.944,0.67,0.99,0.143,,Margen de error,0.53
22,0.926,0.395,0.935,0.665,0.99,0.124,,,
23,0.947,0.434,0.955,0.695,0.99,0.188,,,
24,0.937,0.434,0.945,0.69,0.99,0.16,,,
25,0.934,0.421,0.943,0.682,0.99,0.149,,,
26,0.94,0.474,0.947,0.71,0.991,0.181,,,
27,0.942,0.382,0.952,0.667,0.989,0.155,,,
28,0.926,0.316,0.936,0.626,0.988,0.097,,,
29,0.935,0.461,0.943,0.702,0.991,0.164,,,
30,0.943,0.408,0.952,0.68,0.99,0.167,,,
31,0.927,0.355,0.937,0.646,0.989,0.113,,,
32,0.939,0.368,0.949,0.658,0.989,0.142,,,
33,0.952,0.289,0.963,0.626,0.988,0.142,,,
34,0.936,0.421,0.945,0.683,0.99,0.154,,,
35,0.92,0.487,0.927,0.707,0.991,0.141,,,
36,0.945,0.447,0.953,0.7,0.991,0.187,,,
37,0.952,0.368,0.962,0.665,0.989,0.18,,,
38,0.918,0.342,0.927,0.635,0.989,0.094,,,
39,0.942,0.408,0.951,0.679,0.99,0.164,,,
40,0.927,0.447,0.934,0.691,0.99,0.141,,,
41,0.947,0.329,0.957,0.643,0.989,0.146,,,
42,0.91,0.303,0.92,0.611,0.988,0.072,,,
43,0.951,0.447,0.96,0.703,0.991,0.209,,,
44,0.941,0.421,0.949,0.685,0.99,0.165,,,
45,0.925,0.474,0.933,0.703,0.991,0.147,,,
46,0.947,0.368,0.957,0.662,0.989,0.163,,,
47,0.931,0.487,0.938,0.712,0.991,0.163,,,
48,0.92,0.395,0.929,0.662,0.989,0.114,,,
49,0.939,0.382,0.949,0.665,0.989,0.147,,,
50,0.948,0.408,0.957,0.682,0.99,0.181,,,
51,0.948,0.434,0.957,0.695,0.99,0.193,,,
52,0.942,0.395,0.951,0.673,0.99,0.158,,,
53,0.936,0.382,0.946,0.664,0.989,0.14,,,
54,0.931,0.487,0.939,0.713,0.991,0.164,,,
55,0.933,0.368,0.942,0.655,0.989,0.128,,,
56,0.949,0.447,0.957,0.702,0.991,0.2,,,
57,0.927,0.461,0.935,0.698,0.991,0.146,,,
58,0.947,0.355,0.956,0.656,0.989,0.156,,,
59,0.942,0.487,0.949,0.718,0.991,0.192,,,
60,0.946,0.461,0.954,0.707,0.991,0.196,,,
61,0.944,0.447,0.952,0.7,0.991,0.183,,,
62,0.932,0.408,0.941,0.674,0.99,0.14,,,
63,0.939,0.382,0.949,0.665,0.989,0.147,,,
64,0.936,0.382,0.945,0.663,0.989,0.139,,,
65,0.94,0.447,0.948,0.698,0.991,0.172,,,
66,0.938,0.5,0.945,0.722,0.991,0.185,,,
67,0.937,0.434,0.945,0.69,0.99,0.16,,,
68,0.934,0.395,0.943,0.669,0.99,0.14,,,
69,0.934,0.289,0.944,0.617,0.988,0.1,,,
70,0.924,0.408,0.933,0.67,0.99,0.125,,,
71,0.951,0.303,0.962,0.632,0.988,0.146,,,
72,0.951,0.316,0.961,0.639,0.988,0.152,,,
73,0.953,0.434,0.961,0.698,0.99,0.209,,,
74,0.933,0.382,0.942,0.662,0.989,0.133,,,
75,0.943,0.342,0.953,0.647,0.989,0.14,,,
76,0.956,0.461,0.964,0.712,0.991,0.235,,,
77,0.947,0.447,0.955,0.701,0.991,0.193,,,
78,0.939,0.395,0.948,0.672,0.99,0.152,,,
79,0.942,0.382,0.951,0.666,0.989,0.153,,,
