N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.806,0.434,0.812,0.623,0.989,0.039,,Accuracy,79.291
1,0.795,0.526,0.799,0.663,0.99,0.048,,StdAccuracy,0.022873872440058
2,0.765,0.474,0.77,0.622,0.989,0.032,,n,100
3,0.794,0.368,0.801,0.584,0.987,0.025,,Error estándar,0.002287387244006
4,0.797,0.461,0.802,0.631,0.989,0.039,,Valor crítico (95%),1.96
5,0.811,0.553,0.815,0.684,0.991,0.058,,Margen de error,0.45
6,0.712,0.526,0.715,0.621,0.989,0.026,,,
7,0.799,0.513,0.803,0.658,0.99,0.047,,,
8,0.767,0.526,0.771,0.648,0.99,0.039,,Specificity,51.054
9,0.796,0.526,0.801,0.664,0.99,0.048,,StdSpecificity,0.062917361224342
10,0.802,0.526,0.806,0.666,0.99,0.05,,n,100
11,0.794,0.461,0.799,0.63,0.989,0.038,,Error estándar,0.006291736122434
12,0.748,0.539,0.752,0.646,0.99,0.035,,Valor crítico (95%),1.96
13,0.784,0.526,0.788,0.657,0.99,0.044,,Margen de error,1.23
14,0.832,0.461,0.838,0.649,0.99,0.053,,,
15,0.798,0.395,0.805,0.6,0.988,0.03,,,
16,0.813,0.553,0.817,0.685,0.991,0.059,,ROC AUC,65.403
17,0.809,0.5,0.815,0.657,0.99,0.05,,StdRecall,0.030523862167428
18,0.754,0.605,0.757,0.681,0.992,0.045,,n,100
19,0.79,0.579,0.794,0.686,0.991,0.053,,Error estándar,0.003052386216743
20,0.822,0.632,0.825,0.728,0.993,0.075,,Valor crítico (95%),1.96
21,0.771,0.618,0.773,0.696,0.992,0.051,,Margen de error,0.6
22,0.812,0.447,0.818,0.633,0.989,0.043,,,
23,0.765,0.632,0.767,0.699,0.992,0.051,,,
24,0.808,0.316,0.816,0.566,0.986,0.021,,,
25,0.794,0.579,0.798,0.688,0.991,0.055,,,
26,0.748,0.553,0.751,0.652,0.99,0.037,,,
27,0.786,0.513,0.79,0.652,0.99,0.043,,,
28,0.776,0.566,0.779,0.673,0.991,0.047,,,
29,0.772,0.474,0.777,0.625,0.989,0.034,,,
30,0.804,0.447,0.809,0.628,0.989,0.04,,,
31,0.85,0.487,0.856,0.671,0.99,0.068,,,
32,0.8,0.526,0.805,0.666,0.99,0.05,,,
33,0.798,0.526,0.803,0.664,0.99,0.049,,,
34,0.776,0.592,0.779,0.686,0.992,0.05,,,
35,0.803,0.526,0.808,0.667,0.99,0.051,,,
36,0.816,0.461,0.822,0.641,0.989,0.046,,,
37,0.802,0.566,0.806,0.686,0.991,0.056,,,
38,0.787,0.566,0.791,0.678,0.991,0.05,,,
39,0.797,0.539,0.802,0.671,0.991,0.051,,,
40,0.793,0.539,0.797,0.668,0.991,0.049,,,
41,0.777,0.434,0.783,0.609,0.988,0.03,,,
42,0.786,0.461,0.791,0.626,0.989,0.036,,,
43,0.772,0.579,0.775,0.677,0.991,0.047,,,
44,0.787,0.553,0.791,0.672,0.991,0.049,,,
45,0.781,0.579,0.785,0.682,0.991,0.05,,,
46,0.775,0.474,0.78,0.627,0.989,0.034,,,
47,0.797,0.566,0.8,0.683,0.991,0.054,,,
48,0.791,0.513,0.796,0.655,0.99,0.045,,,
49,0.813,0.382,0.821,0.601,0.988,0.033,,,
50,0.798,0.553,0.802,0.677,0.991,0.053,,,
51,0.8,0.605,0.803,0.704,0.992,0.061,,,
52,0.799,0.487,0.804,0.646,0.99,0.044,,,
53,0.828,0.487,0.834,0.66,0.99,0.056,,,
54,0.76,0.447,0.765,0.606,0.988,0.027,,,
55,0.748,0.513,0.752,0.633,0.99,0.032,,,
56,0.803,0.474,0.808,0.641,0.989,0.043,,,
57,0.797,0.618,0.8,0.709,0.992,0.061,,,
58,0.776,0.553,0.78,0.666,0.991,0.045,,,
59,0.837,0.408,0.844,0.626,0.989,0.047,,,
60,0.804,0.434,0.81,0.622,0.989,0.038,,,
61,0.77,0.487,0.775,0.631,0.989,0.035,,,
62,0.824,0.461,0.83,0.645,0.989,0.05,,,
63,0.789,0.513,0.794,0.653,0.99,0.044,,,
64,0.786,0.539,0.79,0.665,0.991,0.046,,,
65,0.816,0.5,0.821,0.661,0.99,0.052,,,
66,0.828,0.474,0.834,0.654,0.99,0.054,,,
67,0.79,0.447,0.795,0.621,0.989,0.035,,,
68,0.775,0.526,0.779,0.653,0.99,0.041,,,
69,0.788,0.5,0.793,0.646,0.99,0.042,,,
70,0.77,0.395,0.776,0.585,0.987,0.023,,,
71,0.773,0.526,0.777,0.651,0.99,0.04,,,
72,0.816,0.421,0.823,0.622,0.989,0.04,,,
73,0.844,0.605,0.848,0.726,0.992,0.084,,,
74,0.788,0.5,0.793,0.646,0.99,0.042,,,
75,0.821,0.487,0.827,0.657,0.99,0.053,,,
76,0.79,0.513,0.794,0.654,0.99,0.044,,,
77,0.788,0.513,0.792,0.653,0.99,0.044,,,
78,0.784,0.618,0.787,0.703,0.992,0.056,,,
79,0.809,0.5,0.814,0.657,0.99,0.049,,,
80,0.77,0.526,0.774,0.65,0.99,0.04,,,
81,0.796,0.461,0.801,0.631,0.989,0.039,,,
82,0.822,0.474,0.827,0.65,0.99,0.051,,,
83,0.789,0.553,0.793,0.673,0.991,0.049,,,
84,0.799,0.579,0.803,0.691,0.991,0.057,,,
85,0.763,0.632,0.766,0.699,0.992,0.05,,,
86,0.788,0.513,0.793,0.653,0.99,0.044,,,
87,0.785,0.566,0.789,0.677,0.991,0.05,,,
88,0.776,0.5,0.78,0.64,0.99,0.038,,,
89,0.779,0.5,0.783,0.642,0.99,0.039,,,
90,0.797,0.579,0.8,0.69,0.991,0.056,,,
91,0.826,0.474,0.832,0.653,0.99,0.053,,,
92,0.765,0.408,0.77,0.589,0.988,0.023,,,
93,0.813,0.474,0.819,0.646,0.99,0.047,,,
94,0.77,0.579,0.773,0.676,0.991,0.046,,,
95,0.84,0.434,0.847,0.64,0.989,0.053,,,
96,0.779,0.5,0.784,0.642,0.99,0.039,,,
97,0.8,0.513,0.804,0.659,0.99,0.048,,,
98,0.831,0.566,0.836,0.701,0.992,0.07,,,
99,0.779,0.421,0.785,0.603,0.988,0.029,,,
