N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.807,0.566,0.811,0.688,0.991,0.058,,Accuracy,80.264
1,0.831,0.447,0.837,0.642,0.989,0.051,,StdAccuracy,0.013221897967334
2,0.792,0.553,0.796,0.674,0.991,0.05,,n,100
3,0.83,0.526,0.835,0.681,0.991,0.063,,Error estándar,0.001322189796733
4,0.818,0.5,0.823,0.661,0.99,0.053,,Valor crítico (95%),1.96
5,0.785,0.421,0.791,0.606,0.988,0.03,,Margen de error,0.26
6,0.794,0.5,0.799,0.649,0.99,0.044,,,
7,0.811,0.474,0.816,0.645,0.99,0.046,,,
8,0.813,0.5,0.819,0.659,0.99,0.051,,Specificity,50.677
9,0.794,0.513,0.798,0.656,0.99,0.046,,StdSpecificity,0.058623064892359
10,0.787,0.618,0.789,0.704,0.992,0.057,,n,100
11,0.793,0.526,0.797,0.662,0.99,0.047,,Error estándar,0.005862306489236
12,0.806,0.447,0.812,0.63,0.989,0.041,,Valor crítico (95%),1.96
13,0.795,0.526,0.8,0.663,0.99,0.048,,Margen de error,1.15
14,0.798,0.539,0.802,0.671,0.991,0.051,,,
15,0.814,0.566,0.818,0.692,0.991,0.061,,,
16,0.799,0.605,0.802,0.704,0.992,0.06,,ROC AUC,65.716
17,0.79,0.566,0.794,0.68,0.991,0.051,,StdRecall,0.026770147703754
18,0.781,0.526,0.785,0.656,0.99,0.043,,n,100
19,0.818,0.5,0.823,0.662,0.99,0.053,,Error estándar,0.002677014770375
20,0.806,0.487,0.811,0.649,0.99,0.046,,Valor crítico (95%),1.96
21,0.818,0.434,0.824,0.629,0.989,0.043,,Margen de error,0.52
22,0.812,0.408,0.818,0.613,0.988,0.037,,,
23,0.797,0.605,0.8,0.703,0.992,0.059,,,
24,0.806,0.513,0.81,0.662,0.99,0.05,,,
25,0.794,0.526,0.798,0.662,0.99,0.047,,,
26,0.781,0.592,0.784,0.688,0.992,0.052,,,
27,0.802,0.513,0.806,0.66,0.99,0.049,,,
28,0.772,0.526,0.776,0.651,0.99,0.04,,,
29,0.795,0.566,0.798,0.682,0.991,0.053,,,
30,0.816,0.539,0.821,0.68,0.991,0.058,,,
31,0.805,0.434,0.811,0.623,0.989,0.038,,,
32,0.828,0.395,0.835,0.615,0.988,0.041,,,
33,0.805,0.513,0.809,0.661,0.99,0.05,,,
34,0.817,0.5,0.822,0.661,0.99,0.053,,,
35,0.793,0.592,0.796,0.694,0.992,0.056,,,
36,0.8,0.487,0.805,0.646,0.99,0.044,,,
37,0.805,0.513,0.81,0.662,0.99,0.05,,,
38,0.803,0.539,0.807,0.673,0.991,0.053,,,
39,0.811,0.553,0.815,0.684,0.991,0.058,,,
40,0.811,0.474,0.817,0.645,0.99,0.046,,,
41,0.786,0.566,0.79,0.678,0.991,0.05,,,
42,0.806,0.526,0.811,0.668,0.991,0.052,,,
43,0.768,0.461,0.773,0.617,0.989,0.031,,,
44,0.799,0.513,0.804,0.658,0.99,0.048,,,
45,0.804,0.474,0.81,0.642,0.989,0.044,,,
46,0.826,0.474,0.832,0.653,0.99,0.053,,,
47,0.793,0.461,0.798,0.629,0.989,0.038,,,
48,0.804,0.513,0.808,0.661,0.99,0.049,,,
49,0.791,0.526,0.795,0.661,0.99,0.046,,,
50,0.815,0.368,0.822,0.595,0.988,0.032,,,
51,0.803,0.447,0.809,0.628,0.989,0.04,,,
