Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC7,3,0.05,0.939,0.428,0.947,0.688,0.99,0.163
VC10,3,0.05,0.926,0.44,0.934,0.687,0.99,0.139
VC4,3,0.05,0.935,0.43,0.943,0.686,0.99,0.154
VC7,4,0.1,0.897,0.426,0.905,0.666,0.99,0.093
VC4,4,0.1,0.889,0.434,0.896,0.665,0.99,0.086
VC7,3,0.2,0.838,0.483,0.844,0.663,0.99,0.061
VC10,4,0.1,0.879,0.436,0.886,0.661,0.99,0.078
VC4,3,0.2,0.829,0.488,0.834,0.661,0.99,0.057
VC7,3,0.3,0.789,0.522,0.793,0.658,0.99,0.045
VC6,3,0.05,0.864,0.444,0.871,0.657,0.99,0.071
VC11,3,0.05,0.862,0.446,0.869,0.657,0.99,0.07
VC4,3,0.3,0.781,0.53,0.785,0.657,0.99,0.044
VC9,3,0.05,0.864,0.439,0.871,0.655,0.99,0.069
VC5,3,0.05,0.847,0.455,0.853,0.654,0.99,0.062
VC10,3,0.2,0.798,0.504,0.803,0.653,0.99,0.046
VC9,3,0.3,0.759,0.542,0.762,0.652,0.99,0.04
VC8,3,0.05,0.845,0.451,0.851,0.651,0.99,0.059
VC10,3,0.3,0.755,0.544,0.758,0.651,0.99,0.038
VC6,3,0.3,0.749,0.547,0.752,0.65,0.99,0.038
VC7,3,0.4,0.771,0.524,0.775,0.649,0.99,0.04
VC7,4,0.5,0.738,0.557,0.741,0.649,0.99,0.036
VC11,3,0.3,0.736,0.554,0.739,0.647,0.99,0.035
VC11,4,0.1,0.808,0.477,0.813,0.645,0.99,0.048
VC9,3,0.2,0.798,0.487,0.803,0.645,0.99,0.045
VC11,3,0.2,0.78,0.505,0.785,0.645,0.99,0.041
VC4,3,0.4,0.758,0.528,0.762,0.645,0.99,0.037
VC2,3,0.05,0.85,0.43,0.857,0.644,0.989,0.061
VC9,4,0.1,0.82,0.462,0.826,0.644,0.989,0.052
VC4,4,0.5,0.731,0.555,0.734,0.644,0.99,0.033
VC3,3,0.05,0.83,0.449,0.837,0.643,0.989,0.052
VC6,4,0.1,0.81,0.468,0.816,0.642,0.989,0.048
VC6,3,0.2,0.79,0.488,0.795,0.642,0.99,0.042
VC9,3,0.4,0.749,0.532,0.753,0.642,0.99,0.036
VC1,4,0.05,0.841,0.435,0.848,0.641,0.989,0.056
VC8,4,0.1,0.789,0.489,0.793,0.641,0.99,0.042
VC2,3,0.3,0.727,0.55,0.73,0.64,0.99,0.033
VC9,4,0.5,0.724,0.553,0.727,0.64,0.99,0.032
VC10,4,0.5,0.715,0.562,0.717,0.64,0.99,0.03
VC5,4,0.1,0.784,0.489,0.789,0.639,0.99,0.04
VC8,3,0.3,0.693,0.58,0.695,0.637,0.99,0.028
VC6,3,0.4,0.735,0.533,0.738,0.636,0.99,0.033
VC11,3,0.4,0.728,0.54,0.731,0.636,0.99,0.032
VC6,4,0.5,0.713,0.556,0.716,0.636,0.99,0.03
VC2,4,0.1,0.786,0.478,0.791,0.635,0.989,0.041
VC8,3,0.2,0.736,0.531,0.739,0.635,0.99,0.032
VC2,3,0.2,0.773,0.49,0.777,0.634,0.989,0.038
VC5,3,0.2,0.734,0.531,0.737,0.634,0.99,0.031
VC10,3,0.4,0.729,0.535,0.733,0.634,0.99,0.031
VC5,3,0.3,0.689,0.576,0.691,0.633,0.99,0.027
VC3,3,0.2,0.739,0.521,0.743,0.632,0.99,0.032
VC1,3,0.3,0.702,0.56,0.705,0.632,0.99,0.028
VC1,3,0.2,0.753,0.505,0.757,0.631,0.989,0.034
VC3,3,0.3,0.699,0.56,0.701,0.631,0.99,0.027
VC2,10,0.4,0.714,0.545,0.716,0.631,0.99,0.029
VC3,4,0.1,0.761,0.494,0.765,0.63,0.989,0.035
VC11,4,0.5,0.705,0.553,0.708,0.63,0.99,0.028
VC1,20,0.4,0.684,0.57,0.686,0.628,0.99,0.026
VC1,7,0.1,0.771,0.477,0.776,0.627,0.989,0.036
VC2,4,0.5,0.705,0.544,0.708,0.626,0.99,0.028
VC3,3,0.4,0.691,0.554,0.693,0.623,0.99,0.026
VC8,3,0.4,0.686,0.552,0.688,0.62,0.989,0.024
VC8,4,0.5,0.674,0.564,0.676,0.62,0.99,0.023
VC5,4,0.5,0.671,0.565,0.672,0.619,0.99,0.023
VC5,3,0.4,0.677,0.555,0.679,0.617,0.989,0.023
VC3,4,0.5,0.675,0.555,0.677,0.616,0.989,0.023
VC1,4,0.5,0.684,0.544,0.687,0.615,0.989,0.024
