Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC7,5,0.05,0.92,0.391,0.929,0.66,0.989,0.119
VC10,5,0.05,0.904,0.409,0.912,0.66,0.99,0.102
VC7,5,0.1,0.867,0.443,0.874,0.658,0.99,0.074
VC4,5,0.05,0.917,0.389,0.925,0.657,0.989,0.112
VC4,5,0.1,0.857,0.446,0.863,0.655,0.99,0.068
VC10,5,0.1,0.837,0.455,0.843,0.649,0.99,0.058
VC4,4,0.05,0.834,0.453,0.84,0.647,0.989,0.075
VC7,4,0.05,0.838,0.441,0.844,0.643,0.989,0.076
VC10,4,0.05,0.823,0.457,0.829,0.643,0.989,0.067
VC9,5,0.1,0.832,0.43,0.839,0.634,0.989,0.052
VC7,4,0.3,0.721,0.542,0.724,0.633,0.99,0.031
VC9,5,0.05,0.839,0.42,0.846,0.633,0.989,0.059
VC11,5,0.05,0.837,0.422,0.844,0.633,0.989,0.057
VC10,5,0.2,0.739,0.524,0.742,0.633,0.99,0.032
VC7,4,0.1,0.792,0.467,0.797,0.632,0.989,0.047
VC6,5,0.1,0.822,0.435,0.828,0.632,0.989,0.047
VC4,5,0.2,0.77,0.489,0.775,0.632,0.989,0.037
VC7,5,0.3,0.747,0.514,0.751,0.632,0.99,0.033
VC7,5,0.5,0.698,0.564,0.7,0.632,0.99,0.028
VC7,3,0.1,0.785,0.472,0.79,0.631,0.989,0.045
VC4,4,0.1,0.788,0.469,0.793,0.631,0.989,0.045
VC4,4,0.3,0.725,0.535,0.728,0.631,0.99,0.031
VC8,5,0.05,0.819,0.437,0.826,0.631,0.989,0.051
VC4,5,0.3,0.747,0.511,0.751,0.631,0.989,0.033
VC4,3,0.05,0.796,0.459,0.802,0.63,0.989,0.049
VC6,5,0.05,0.838,0.414,0.845,0.63,0.989,0.056
VC11,5,0.1,0.818,0.436,0.824,0.63,0.989,0.046
VC7,5,0.2,0.775,0.48,0.78,0.63,0.989,0.037
VC10,4,0.1,0.766,0.487,0.771,0.629,0.989,0.04
VC5,5,0.05,0.821,0.432,0.827,0.629,0.989,0.05
VC4,3,0.1,0.782,0.47,0.787,0.628,0.989,0.043
VC10,3,0.1,0.751,0.501,0.755,0.628,0.989,0.038
VC4,4,0.2,0.738,0.514,0.742,0.628,0.989,0.033
VC10,5,0.3,0.725,0.528,0.728,0.628,0.99,0.03
VC7,3,0.05,0.797,0.452,0.803,0.627,0.989,0.048
VC7,4,0.4,0.702,0.55,0.704,0.627,0.99,0.027
VC10,3,0.05,0.781,0.465,0.786,0.625,0.989,0.042
VC7,4,0.2,0.733,0.513,0.737,0.625,0.989,0.031
VC10,4,0.3,0.694,0.553,0.696,0.625,0.99,0.027
VC4,4,0.4,0.703,0.544,0.706,0.625,0.99,0.027
VC1,5,0.05,0.821,0.422,0.828,0.625,0.989,0.05
VC3,5,0.05,0.815,0.428,0.821,0.625,0.989,0.048
VC2,5,0.1,0.817,0.426,0.823,0.625,0.989,0.043
VC4,5,0.5,0.698,0.549,0.7,0.625,0.99,0.026
VC6,4,0.05,0.794,0.448,0.8,0.624,0.989,0.047
VC1,4,0.05,0.781,0.46,0.786,0.623,0.989,0.041
VC10,4,0.2,0.694,0.55,0.696,0.623,0.99,0.026
VC6,5,0.3,0.73,0.512,0.734,0.623,0.989,0.03
VC9,5,0.3,0.725,0.517,0.728,0.623,0.989,0.03
VC9,5,0.5,0.699,0.545,0.701,0.623,0.99,0.026
VC2,4,0.05,0.791,0.446,0.797,0.622,0.989,0.044
VC3,4,0.05,0.777,0.462,0.782,0.622,0.989,0.04
VC5,4,0.05,0.778,0.46,0.783,0.622,0.989,0.041
VC11,4,0.05,0.792,0.447,0.797,0.622,0.989,0.045
VC2,5,0.05,0.833,0.405,0.84,0.622,0.989,0.054
VC5,5,0.1,0.788,0.451,0.793,0.622,0.989,0.036
VC8,5,0.1,0.792,0.447,0.798,0.622,0.989,0.037
VC9,4,0.05,0.795,0.441,0.801,0.621,0.989,0.047
VC8,4,0.05,0.777,0.459,0.782,0.62,0.989,0.04
VC9,4,0.3,0.702,0.535,0.705,0.62,0.989,0.027
VC11,5,0.3,0.704,0.531,0.706,0.619,0.989,0.026
VC6,5,0.5,0.698,0.538,0.7,0.619,0.989,0.025
VC6,4,0.3,0.707,0.526,0.71,0.618,0.989,0.027
VC9,4,0.5,0.657,0.578,0.658,0.618,0.99,0.022
VC1,5,0.1,0.796,0.434,0.802,0.618,0.989,0.037
VC3,5,0.1,0.792,0.438,0.798,0.618,0.989,0.036
VC9,4,0.1,0.732,0.498,0.736,0.617,0.989,0.031
VC10,4,0.4,0.678,0.554,0.68,0.617,0.989,0.023
VC7,5,0.4,0.708,0.524,0.711,0.617,0.989,0.027
VC2,4,0.1,0.728,0.501,0.732,0.616,0.989,0.029
VC6,4,0.1,0.733,0.495,0.737,0.616,0.989,0.03
VC11,4,0.1,0.725,0.503,0.729,0.616,0.989,0.029
