Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC1,2,0.05,0.969,0.341,0.979,0.66,0.989,0.251
VC2,2,0.05,0.972,0.321,0.983,0.652,0.989,0.256
VC3,2,0.05,0.927,0.393,0.936,0.664,0.99,0.127
VC4,2,0.05,0.96,0.354,0.97,0.662,0.989,0.208
VC5,2,0.05,0.923,0.401,0.932,0.666,0.99,0.122
VC6,2,0.05,0.923,0.389,0.932,0.66,0.989,0.118
VC7,2,0.05,0.979,0.311,0.989,0.65,0.989,0.308
VC8,2,0.05,0.97,0.336,0.98,0.658,0.989,0.254
VC9,2,0.05,0.973,0.312,0.983,0.648,0.989,0.256
VC10,2,0.05,0.962,0.343,0.972,0.658,0.989,0.212
VC11,2,0.05,0.965,0.345,0.976,0.661,0.989,0.231
VC1,2,0.1,0.949,0.388,0.959,0.673,0.99,0.18
VC2,2,0.1,0.953,0.376,0.963,0.669,0.99,0.187
VC3,2,0.1,0.883,0.455,0.89,0.672,0.99,0.086
VC4,2,0.1,0.93,0.416,0.938,0.677,0.99,0.139
VC5,2,0.1,0.873,0.47,0.88,0.675,0.99,0.081
VC6,2,0.1,0.874,0.459,0.88,0.669,0.99,0.079
VC7,2,0.1,0.968,0.354,0.978,0.666,0.989,0.248
VC8,2,0.1,0.954,0.38,0.964,0.672,0.99,0.195
VC9,2,0.1,0.958,0.364,0.968,0.666,0.989,0.201
VC10,2,0.1,0.937,0.401,0.946,0.673,0.99,0.15
VC11,2,0.1,0.943,0.397,0.952,0.675,0.99,0.165
VC1,2,0.2,0.902,0.412,0.91,0.661,0.99,0.095
VC2,2,0.2,0.901,0.408,0.909,0.658,0.989,0.093
VC3,2,0.2,0.819,0.482,0.824,0.653,0.99,0.051
VC4,2,0.2,0.859,0.462,0.866,0.664,0.99,0.069
VC5,2,0.2,0.798,0.505,0.803,0.654,0.99,0.046
VC6,2,0.2,0.8,0.495,0.805,0.65,0.99,0.045
VC7,2,0.2,0.932,0.378,0.941,0.659,0.989,0.129
VC8,2,0.2,0.913,0.401,0.921,0.661,0.989,0.105
VC9,2,0.2,0.912,0.387,0.921,0.654,0.989,0.101
VC10,2,0.2,0.875,0.443,0.882,0.663,0.99,0.077
VC11,2,0.2,0.887,0.432,0.894,0.663,0.99,0.084
VC1,2,0.3,0.853,0.459,0.86,0.659,0.99,0.064
VC2,2,0.3,0.851,0.448,0.858,0.653,0.99,0.062
VC3,2,0.3,0.774,0.526,0.778,0.652,0.99,0.041
VC4,2,0.3,0.805,0.499,0.81,0.654,0.99,0.048
VC5,2,0.3,0.749,0.551,0.753,0.652,0.99,0.037
VC6,2,0.3,0.749,0.528,0.753,0.64,0.99,0.034
VC7,2,0.3,0.883,0.418,0.891,0.654,0.989,0.078
VC8,2,0.3,0.861,0.451,0.868,0.659,0.99,0.068
