Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC10,4,0.05,0.919,0.442,0.926,0.684,0.99,0.125
VC4,4,0.05,0.927,0.43,0.935,0.683,0.99,0.137
VC5,4,0.05,0.897,0.457,0.904,0.681,0.99,0.1
VC7,4,0.05,0.932,0.422,0.94,0.681,0.99,0.144
VC8,4,0.05,0.899,0.451,0.906,0.679,0.99,0.101
VC11,4,0.05,0.916,0.431,0.924,0.677,0.99,0.118
VC7,4,0.1,0.896,0.45,0.903,0.677,0.99,0.097
VC1,4,0.05,0.905,0.439,0.913,0.676,0.99,0.105
VC4,4,0.1,0.891,0.455,0.898,0.676,0.99,0.093
VC10,4,0.1,0.88,0.465,0.887,0.676,0.99,0.085
VC6,4,0.05,0.913,0.428,0.92,0.674,0.99,0.114
VC11,4,0.1,0.88,0.461,0.887,0.674,0.99,0.085
VC8,4,0.1,0.851,0.489,0.857,0.673,0.99,0.069
VC5,4,0.1,0.847,0.49,0.853,0.672,0.99,0.067
VC2,4,0.05,0.917,0.417,0.925,0.671,0.99,0.119
VC9,4,0.05,0.918,0.415,0.926,0.671,0.99,0.118
VC9,4,0.1,0.884,0.45,0.891,0.671,0.99,0.087
VC6,4,0.1,0.879,0.453,0.886,0.669,0.99,0.083
VC1,13,0.1,0.857,0.466,0.863,0.665,0.99,0.068
VC2,4,0.1,0.877,0.444,0.884,0.664,0.99,0.078
VC7,3,0.3,0.803,0.521,0.807,0.664,0.99,0.05
VC4,4,0.2,0.842,0.471,0.848,0.66,0.99,0.061
VC9,3,0.3,0.8,0.514,0.805,0.66,0.99,0.048
VC7,4,0.2,0.849,0.462,0.855,0.659,0.99,0.063
VC10,4,0.2,0.83,0.483,0.835,0.659,0.99,0.056
VC4,3,0.3,0.795,0.518,0.8,0.659,0.99,0.047
VC10,3,0.3,0.782,0.528,0.786,0.657,0.99,0.044
VC6,4,0.2,0.826,0.48,0.831,0.656,0.99,0.054
VC11,3,0.3,0.783,0.526,0.787,0.656,0.99,0.044
VC7,3,0.4,0.766,0.541,0.77,0.656,0.99,0.04
VC9,4,0.2,0.834,0.47,0.84,0.655,0.99,0.057
VC6,3,0.3,0.792,0.511,0.796,0.654,0.99,0.045
VC11,4,0.2,0.824,0.476,0.829,0.653,0.99,0.052
VC3,4,0.05,0.842,0.453,0.849,0.651,0.99,0.062
VC2,3,0.3,0.79,0.508,0.794,0.651,0.99,0.044
VC2,4,0.2,0.827,0.467,0.833,0.65,0.99,0.053
VC7,7,0.5,0.734,0.563,0.737,0.65,0.99,0.035
VC4,3,0.4,0.761,0.534,0.765,0.649,0.99,0.038
VC9,3,0.4,0.764,0.53,0.768,0.649,0.99,0.038
VC4,7,0.5,0.727,0.569,0.73,0.649,0.99,0.034
VC3,4,0.1,0.816,0.475,0.822,0.648,0.99,0.05
VC10,3,0.4,0.754,0.539,0.757,0.648,0.99,0.037
VC1,10,0.2,0.798,0.49,0.803,0.647,0.99,0.044
VC8,4,0.2,0.794,0.495,0.798,0.647,0.99,0.043
VC8,3,0.3,0.742,0.548,0.746,0.647,0.99,0.035
VC6,3,0.4,0.76,0.53,0.764,0.647,0.99,0.038
VC10,7,0.5,0.721,0.569,0.723,0.646,0.99,0.032
VC5,4,0.2,0.785,0.5,0.79,0.645,0.99,0.041
VC11,3,0.4,0.749,0.536,0.753,0.644,0.99,0.035
VC6,7,0.5,0.716,0.566,0.718,0.642,0.99,0.031
VC9,7,0.5,0.722,0.559,0.725,0.642,0.99,0.032
VC11,7,0.5,0.711,0.568,0.713,0.641,0.99,0.03
VC5,3,0.3,0.736,0.54,0.739,0.64,0.99,0.033
VC1,3,0.3,0.746,0.53,0.749,0.639,0.99,0.034
VC2,3,0.4,0.752,0.523,0.755,0.639,0.99,0.035
VC2,7,0.5,0.71,0.565,0.713,0.639,0.99,0.03
VC3,3,0.3,0.734,0.528,0.738,0.633,0.99,0.031
VC8,3,0.4,0.721,0.539,0.724,0.631,0.99,0.029
VC5,3,0.4,0.711,0.545,0.714,0.63,0.99,0.028
VC8,7,0.5,0.687,0.571,0.689,0.63,0.99,0.026
VC3,4,0.2,0.759,0.495,0.763,0.629,0.989,0.033
VC1,3,0.4,0.717,0.536,0.72,0.628,0.99,0.028
VC5,7,0.5,0.677,0.577,0.678,0.628,0.99,0.024
VC1,18,0.5,0.687,0.564,0.689,0.626,0.99,0.025
VC3,7,0.5,0.677,0.567,0.679,0.623,0.99,0.024
VC3,3,0.4,0.713,0.526,0.716,0.621,0.989,0.026
