Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC2,4,0.1,0.803,0.518,0.808,0.663,0.99,0.057
VC4,4,0.1,0.801,0.522,0.805,0.663,0.99,0.055
VC6,4,0.1,0.798,0.524,0.803,0.663,0.99,0.055
VC7,4,0.1,0.802,0.516,0.807,0.661,0.99,0.054
VC9,4,0.1,0.799,0.519,0.804,0.661,0.99,0.054
VC10,4,0.1,0.787,0.529,0.791,0.66,0.99,0.05
VC11,4,0.1,0.795,0.518,0.799,0.659,0.99,0.05
VC1,4,0.1,0.775,0.529,0.779,0.654,0.99,0.044
VC8,4,0.1,0.765,0.538,0.769,0.654,0.99,0.042
VC5,4,0.1,0.763,0.537,0.767,0.652,0.99,0.041
VC7,5,0.1,0.865,0.432,0.872,0.652,0.989,0.068
VC9,5,0.05,0.896,0.397,0.904,0.651,0.989,0.087
VC4,5,0.1,0.862,0.434,0.869,0.651,0.989,0.066
VC4,5,0.05,0.912,0.38,0.92,0.65,0.989,0.1
VC7,5,0.05,0.915,0.376,0.924,0.65,0.989,0.104
VC10,5,0.05,0.904,0.388,0.913,0.65,0.989,0.093
VC11,5,0.05,0.902,0.391,0.91,0.65,0.989,0.09
VC4,3,0.1,0.806,0.488,0.811,0.649,0.99,0.054
VC11,3,0.1,0.801,0.491,0.806,0.649,0.99,0.052
VC5,5,0.05,0.88,0.409,0.888,0.649,0.989,0.074
VC6,5,0.05,0.895,0.395,0.903,0.649,0.989,0.085
VC8,5,0.05,0.88,0.409,0.888,0.649,0.989,0.074
VC10,5,0.1,0.845,0.447,0.851,0.649,0.99,0.059
VC11,5,0.1,0.852,0.439,0.859,0.649,0.989,0.061
VC4,4,0.05,0.818,0.472,0.824,0.648,0.99,0.059
VC7,3,0.1,0.805,0.484,0.81,0.647,0.99,0.053
VC10,3,0.1,0.782,0.508,0.787,0.647,0.99,0.046
VC7,4,0.05,0.821,0.467,0.826,0.647,0.99,0.061
