Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC1,2,0.05,0.966,0.372,0.976,0.674,0.99,0.247
VC2,2,0.05,0.974,0.334,0.985,0.659,0.989,0.28
VC3,2,0.05,0.929,0.388,0.938,0.663,0.989,0.127
VC4,2,0.05,0.964,0.362,0.973,0.668,0.989,0.228
VC5,2,0.05,0.924,0.397,0.932,0.665,0.99,0.121
VC6,2,0.05,0.929,0.383,0.938,0.66,0.989,0.125
VC7,2,0.05,0.98,0.316,0.991,0.654,0.989,0.328
VC8,2,0.05,0.969,0.366,0.979,0.673,0.99,0.265
VC9,2,0.05,0.975,0.316,0.986,0.651,0.989,0.277
VC10,2,0.05,0.968,0.345,0.978,0.662,0.989,0.241
VC11,2,0.05,0.967,0.364,0.976,0.67,0.989,0.245
VC1,2,0.1,0.942,0.397,0.951,0.674,0.99,0.16
VC2,2,0.1,0.956,0.359,0.966,0.662,0.989,0.192
VC3,2,0.1,0.887,0.437,0.894,0.665,0.99,0.085
VC4,2,0.1,0.937,0.399,0.946,0.673,0.99,0.15
VC5,2,0.1,0.879,0.446,0.886,0.666,0.99,0.08
VC6,2,0.1,0.885,0.428,0.893,0.66,0.99,0.082
VC7,2,0.1,0.968,0.353,0.978,0.666,0.989,0.251
VC8,2,0.1,0.948,0.381,0.958,0.669,0.99,0.172
VC9,2,0.1,0.959,0.343,0.969,0.656,0.989,0.193
VC10,2,0.1,0.942,0.38,0.951,0.666,0.989,0.155
VC11,2,0.1,0.942,0.391,0.951,0.671,0.99,0.159
VC1,2,0.2,0.892,0.418,0.899,0.659,0.99,0.085
VC2,2,0.2,0.908,0.38,0.916,0.648,0.989,0.093
VC3,2,0.2,0.832,0.461,0.838,0.65,0.99,0.054
VC4,2,0.2,0.88,0.425,0.887,0.656,0.99,0.076
VC5,2,0.2,0.815,0.474,0.821,0.647,0.99,0.048
VC6,2,0.2,0.829,0.447,0.835,0.641,0.989,0.05
VC7,2,0.2,0.931,0.37,0.941,0.655,0.989,0.126
VC8,2,0.2,0.898,0.414,0.906,0.66,0.99,0.091
VC9,2,0.2,0.912,0.373,0.921,0.647,0.989,0.097
VC10,2,0.2,0.886,0.414,0.894,0.654,0.989,0.08
VC11,2,0.2,0.889,0.42,0.897,0.659,0.99,0.084
VC1,2,0.3,0.841,0.48,0.847,0.663,0.99,0.061
VC2,2,0.3,0.861,0.451,0.868,0.66,0.99,0.069
VC3,2,0.3,0.786,0.512,0.791,0.651,0.99,0.043
VC4,2,0.3,0.83,0.483,0.836,0.659,0.99,0.056
VC5,2,0.3,0.767,0.532,0.771,0.651,0.99,0.039
VC6,2,0.3,0.784,0.505,0.788,0.647,0.99,0.041
VC7,2,0.3,0.889,0.432,0.896,0.664,0.99,0.086
VC8,2,0.3,0.852,0.466,0.859,0.662,0.99,0.066
VC9,2,0.3,0.869,0.447,0.876,0.662,0.99,0.074
VC10,2,0.3,0.84,0.479,0.846,0.662,0.99,0.061
VC11,2,0.3,0.842,0.478,0.848,0.663,0.99,0.062
VC1,2,0.4,0.8,0.52,0.804,0.662,0.99,0.049
VC2,2,0.4,0.81,0.505,0.815,0.66,0.99,0.051
VC3,2,0.4,0.751,0.555,0.754,0.654,0.99,0.038
VC4,2,0.4,0.782,0.526,0.786,0.656,0.99,0.043
VC5,2,0.4,0.733,0.565,0.735,0.65,0.99,0.034
VC6,2,0.4,0.743,0.545,0.746,0.646,0.99,0.035
VC7,2,0.4,0.838,0.486,0.843,0.665,0.99,0.061
VC8,2,0.4,0.804,0.515,0.809,0.662,0.99,0.05
VC9,2,0.4,0.814,0.501,0.819,0.66,0.99,0.052
VC10,2,0.4,0.786,0.528,0.79,0.659,0.99,0.045
