N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.921,0.357,0.931,0.644,0.989,0.104,,Accuracy,92.662
1,0.911,0.333,0.92,0.627,0.988,0.082,,StdAccuracy,0.007900620100967
2,0.919,0.405,0.927,0.666,0.99,0.114,,n,100
3,0.94,0.333,0.95,0.641,0.989,0.129,,Error estándar,0.000790062010097
4,0.925,0.429,0.933,0.681,0.99,0.132,,Valor crítico (95%),1.96
5,0.923,0.429,0.931,0.68,0.99,0.128,,Margen de error,0.15
6,0.932,0.429,0.94,0.684,0.99,0.146,,,
7,0.929,0.381,0.938,0.659,0.989,0.124,,,
8,0.936,0.405,0.945,0.675,0.99,0.147,,Specificity,37.079
9,0.92,0.405,0.929,0.667,0.99,0.117,,StdSpecificity,0.040733252740088
10,0.926,0.405,0.935,0.67,0.99,0.126,,n,100
11,0.92,0.429,0.928,0.678,0.99,0.123,,Error estándar,0.004073325274009
12,0.934,0.333,0.944,0.639,0.989,0.118,,Valor crítico (95%),1.96
13,0.928,0.333,0.938,0.635,0.989,0.106,,Margen de error,0.8
14,0.919,0.429,0.927,0.678,0.99,0.121,,,
15,0.929,0.381,0.938,0.659,0.989,0.124,,,
16,0.925,0.357,0.934,0.645,0.989,0.108,,ROC AUC,65.312
17,0.93,0.381,0.939,0.66,0.989,0.126,,StdRecall,0.019697346383345
18,0.915,0.381,0.924,0.653,0.989,0.102,,n,100
19,0.942,0.405,0.951,0.678,0.99,0.163,,Error estándar,0.001969734638334
20,0.923,0.357,0.933,0.645,0.989,0.106,,Valor crítico (95%),1.96
21,0.937,0.333,0.947,0.64,0.989,0.123,,Margen de error,0.39
22,0.933,0.381,0.942,0.661,0.989,0.131,,,
23,0.919,0.381,0.928,0.654,0.989,0.107,,,
24,0.934,0.381,0.943,0.662,0.989,0.134,,,
25,0.905,0.357,0.914,0.635,0.989,0.082,,,
26,0.935,0.357,0.945,0.651,0.989,0.128,,,
27,0.923,0.429,0.931,0.68,0.99,0.129,,,
28,0.928,0.381,0.937,0.659,0.989,0.123,,,
29,0.932,0.381,0.941,0.661,0.989,0.13,,,
30,0.918,0.381,0.927,0.654,0.989,0.106,,,
31,0.927,0.381,0.936,0.659,0.989,0.121,,,
32,0.92,0.333,0.93,0.632,0.988,0.094,,,
33,0.937,0.381,0.946,0.663,0.989,0.14,,,
34,0.931,0.405,0.939,0.672,0.99,0.135,,,
35,0.927,0.429,0.935,0.682,0.99,0.136,,,
36,0.923,0.381,0.932,0.656,0.989,0.113,,,
37,0.914,0.381,0.923,0.652,0.989,0.1,,,
38,0.934,0.286,0.945,0.615,0.988,0.1,,,
39,0.933,0.381,0.942,0.661,0.989,0.131,,,
40,0.936,0.381,0.945,0.663,0.989,0.139,,,
41,0.928,0.357,0.938,0.647,0.989,0.115,,,
42,0.909,0.452,0.917,0.685,0.99,0.114,,,
43,0.926,0.31,0.936,0.623,0.988,0.095,,,
44,0.918,0.429,0.926,0.677,0.99,0.121,,,
45,0.929,0.357,0.938,0.648,0.989,0.115,,,
46,0.929,0.286,0.939,0.612,0.988,0.09,,,
47,0.929,0.357,0.938,0.648,0.989,0.115,,,
48,0.925,0.381,0.934,0.657,0.989,0.117,,,
49,0.922,0.405,0.93,0.668,0.99,0.119,,,
50,0.932,0.333,0.942,0.637,0.989,0.113,,,
51,0.929,0.405,0.937,0.671,0.99,0.131,,,
52,0.92,0.238,0.931,0.585,0.987,0.063,,,
53,0.941,0.381,0.95,0.665,0.99,0.149,,,
54,0.924,0.333,0.933,0.633,0.989,0.099,,,
55,0.923,0.381,0.931,0.656,0.989,0.113,,,
56,0.938,0.357,0.948,0.652,0.989,0.135,,,
57,0.93,0.31,0.94,0.625,0.988,0.101,,,
58,0.927,0.381,0.936,0.659,0.989,0.121,,,
59,0.931,0.357,0.94,0.649,0.989,0.12,,,
60,0.928,0.429,0.936,0.682,0.99,0.138,,,
61,0.924,0.381,0.933,0.657,0.989,0.115,,,
62,0.917,0.31,0.927,0.618,0.988,0.082,,,
63,0.932,0.429,0.94,0.684,0.99,0.146,,,
64,0.923,0.31,0.933,0.621,0.988,0.09,,,
65,0.925,0.381,0.933,0.657,0.989,0.116,,,
66,0.929,0.333,0.939,0.636,0.989,0.109,,,
67,0.942,0.357,0.952,0.654,0.989,0.144,,,
68,0.915,0.405,0.923,0.664,0.99,0.108,,,
69,0.924,0.333,0.933,0.633,0.989,0.099,,,
70,0.905,0.429,0.913,0.671,0.99,0.102,,,
71,0.929,0.357,0.938,0.648,0.989,0.116,,,
72,0.925,0.357,0.934,0.646,0.989,0.109,,,
73,0.928,0.31,0.938,0.624,0.988,0.098,,,
