N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.823,0.405,0.83,0.617,0.988,0.04
1,0.851,0.357,0.859,0.608,0.988,0.044
2,0.861,0.357,0.869,0.613,0.988,0.049
3,0.822,0.476,0.828,0.652,0.99,0.051
4,0.821,0.381,0.828,0.604,0.988,0.035
5,0.865,0.476,0.871,0.674,0.99,0.075
6,0.824,0.429,0.83,0.629,0.989,0.044
7,0.821,0.429,0.827,0.628,0.989,0.043
8,0.838,0.548,0.843,0.695,0.991,0.071
9,0.832,0.452,0.838,0.645,0.989,0.051
10,0.811,0.429,0.818,0.623,0.989,0.039
11,0.81,0.429,0.816,0.622,0.989,0.039
12,0.805,0.357,0.813,0.585,0.987,0.027
13,0.812,0.452,0.818,0.635,0.989,0.043
14,0.843,0.452,0.849,0.651,0.99,0.057
15,0.844,0.405,0.851,0.628,0.989,0.049
16,0.814,0.452,0.82,0.636,0.989,0.044
17,0.809,0.452,0.815,0.634,0.989,0.042
18,0.828,0.476,0.834,0.655,0.99,0.054
19,0.806,0.381,0.813,0.597,0.988,0.03
20,0.817,0.452,0.823,0.637,0.989,0.045
21,0.797,0.357,0.804,0.581,0.987,0.024
22,0.815,0.452,0.821,0.637,0.989,0.045
23,0.828,0.548,0.833,0.69,0.991,0.065
24,0.826,0.381,0.833,0.607,0.988,0.037
25,0.815,0.405,0.821,0.613,0.988,0.037
26,0.822,0.405,0.828,0.617,0.988,0.04
27,0.815,0.5,0.82,0.66,0.99,0.052
28,0.819,0.429,0.825,0.627,0.989,0.042
29,0.818,0.405,0.825,0.615,0.988,0.038
30,0.806,0.476,0.812,0.644,0.99,0.045
31,0.822,0.452,0.828,0.64,0.989,0.047
32,0.831,0.429,0.838,0.633,0.989,0.047
33,0.806,0.405,0.812,0.608,0.988,0.034
34,0.803,0.595,0.806,0.701,0.992,0.06
35,0.837,0.429,0.844,0.636,0.989,0.05
36,0.835,0.5,0.84,0.67,0.99,0.061
37,0.826,0.429,0.833,0.631,0.989,0.045
38,0.816,0.5,0.821,0.66,0.99,0.052
39,0.834,0.405,0.841,0.623,0.989,0.044
40,0.819,0.452,0.825,0.639,0.989,0.046
41,0.832,0.429,0.838,0.633,0.989,0.048
42,0.804,0.476,0.81,0.643,0.99,0.044
43,0.857,0.405,0.864,0.635,0.989,0.056
44,0.807,0.429,0.813,0.621,0.989,0.038
45,0.827,0.381,0.834,0.607,0.988,0.038
46,0.81,0.405,0.816,0.611,0.988,0.035
47,0.823,0.452,0.829,0.641,0.989,0.048
48,0.832,0.429,0.838,0.633,0.989,0.048
49,0.836,0.429,0.843,0.636,0.989,0.05
50,0.838,0.429,0.845,0.637,0.989,0.051
51,0.811,0.548,0.815,0.681,0.991,0.057
52,0.835,0.452,0.841,0.647,0.99,0.053
53,0.849,0.452,0.855,0.654,0.99,0.06
54,0.811,0.381,0.818,0.599,0.988,0.032
55,0.809,0.476,0.815,0.646,0.99,0.046
56,0.822,0.405,0.829,0.617,0.988,0.04
57,0.841,0.429,0.848,0.638,0.989,0.052
58,0.819,0.571,0.823,0.697,0.992,0.064
59,0.82,0.476,0.825,0.651,0.99,0.05
60,0.824,0.405,0.831,0.618,0.988,0.041
61,0.82,0.429,0.826,0.628,0.989,0.043
62,0.824,0.429,0.83,0.629,0.989,0.044
63,0.81,0.476,0.816,0.646,0.99,0.046
64,0.828,0.452,0.834,0.643,0.989,0.05
65,0.805,0.405,0.812,0.608,0.988,0.034
66,0.831,0.429,0.837,0.633,0.989,0.047
67,0.836,0.476,0.842,0.659,0.99,0.057
68,0.809,0.381,0.816,0.599,0.988,0.032
69,0.829,0.405,0.836,0.62,0.989,0.042
70,0.819,0.357,0.826,0.592,0.988,0.031
71,0.786,0.405,0.792,0.599,0.988,0.028
72,0.822,0.381,0.829,0.605,0.988,0.036
73,0.818,0.476,0.824,0.65,0.99,0.049
74,0.817,0.429,0.824,0.626,0.989,0.042
75,0.817,0.524,0.822,0.673,0.991,0.056
76,0.835,0.429,0.842,0.635,0.989,0.049
77,0.817,0.405,0.824,0.614,0.988,0.038
78,0.806,0.381,0.813,0.597,0.988,0.031
79,0.841,0.429,0.847,0.638,0.989,0.052
80,0.806,0.5,0.811,0.656,0.99,0.048
81,0.808,0.476,0.813,0.645,0.99,0.045
82,0.833,0.524,0.838,0.681,0.991,0.064
83,0.822,0.357,0.829,0.593,0.988,0.032
84,0.809,0.357,0.816,0.587,0.987,0.028
85,0.832,0.476,0.838,0.657,0.99,0.056
86,0.8,0.405,0.807,0.606,0.988,0.032
87,0.811,0.452,0.817,0.635,0.989,0.043
88,0.819,0.405,0.826,0.615,0.988,0.039
89,0.795,0.405,0.801,0.603,0.988,0.031
90,0.815,0.452,0.821,0.637,0.989,0.044
91,0.817,0.429,0.823,0.626,0.989,0.041
92,0.844,0.405,0.851,0.628,0.989,0.049
93,0.843,0.452,0.849,0.651,0.99,0.057
94,0.808,0.429,0.814,0.622,0.989,0.038
95,0.812,0.381,0.819,0.6,0.988,0.032
96,0.8,0.429,0.806,0.617,0.989,0.035
97,0.86,0.524,0.865,0.695,0.991,0.08
98,0.823,0.429,0.83,0.629,0.989,0.044
99,0.828,0.429,0.835,0.632,0.989,0.046
