Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8292,0.2292,0.835,0.5531,0.7083,0.5516,0.9449,0.5833,0.9484,4140,11,37,818,2735,34,14,2223,4702,28,20,256
0.8186,0.375,0.8229,0.5471,0.7292,0.5454,0.9531,0.7083,0.9554,4080,18,30,878,2704,35,13,2254,4737,34,14,221
0.8252,0.3125,0.8302,0.5435,0.7708,0.5413,0.9305,0.5833,0.9338,4116,15,33,842,2684,37,11,2274,4630,28,20,328
0.8166,0.4167,0.8205,0.5515,0.7917,0.5492,0.9445,0.6875,0.947,4068,20,28,890,2723,38,10,2235,4695,33,15,263
0.8276,0.2917,0.8328,0.5503,0.7292,0.5486,0.9545,0.5625,0.9582,4129,14,34,829,2720,35,13,2238,4751,27,21,207
0.8248,0.3125,0.8298,0.5396,0.875,0.5363,0.9427,0.6875,0.9451,4114,15,33,844,2659,42,6,2299,4686,33,15,272
0.818,0.375,0.8223,0.538,0.6875,0.5365,0.9588,0.5208,0.9631,4077,18,30,881,2660,33,15,2298,4775,25,23,183
0.827,0.3958,0.8312,0.5443,0.8542,0.5413,0.9421,0.5,0.9463,4121,19,29,837,2684,41,7,2274,4692,24,24,266
0.8238,0.3542,0.8284,0.5425,0.8542,0.5395,0.9435,0.625,0.9466,4107,17,31,851,2675,41,7,2283,4693,30,18,265
0.8192,0.3333,0.8239,0.5368,0.8333,0.5339,0.9592,0.6458,0.9623,4085,16,32,873,2647,40,8,2311,4771,31,17,187
0.8272,0.3542,0.8318,0.5362,0.7917,0.5337,0.9521,0.6458,0.955,4124,17,31,834,2646,38,10,2312,4735,31,17,223
0.8302,0.3542,0.8348,0.5511,0.75,0.5492,0.9393,0.6875,0.9417,4139,17,31,819,2723,36,12,2235,4669,33,15,289
0.8214,0.3333,0.8261,0.5376,0.7083,0.5359,0.9455,0.5625,0.9492,4096,16,32,862,2657,34,14,2301,4706,27,21,252
0.8144,0.2708,0.8197,0.5461,0.8125,0.5436,0.9265,0.4792,0.9308,4064,13,35,894,2695,39,9,2263,4615,23,25,343
0.816,0.2708,0.8213,0.5457,0.7708,0.5436,0.9471,0.4583,0.9518,4072,13,35,886,2695,37,11,2263,4719,22,26,239
0.8184,0.25,0.8239,0.5465,0.7292,0.5448,0.9317,0.5417,0.9355,4085,12,36,873,2701,35,13,2257,4638,26,22,320
0.8264,0.375,0.8308,0.5382,0.6667,0.5369,0.9349,0.6458,0.9377,4119,18,30,839,2662,32,16,2296,4649,31,17,309
0.8204,0.375,0.8247,0.539,0.6875,0.5375,0.9425,0.6042,0.9457,4089,18,30,869,2665,33,15,2293,4689,29,19,269
0.8244,0.375,0.8288,0.5388,0.7292,0.5369,0.9341,0.4583,0.9387,4109,18,30,849,2662,35,13,2296,4654,22,26,304
0.8174,0.3333,0.8221,0.5463,0.7708,0.5442,0.9471,0.5,0.9514,4076,16,32,882,2698,37,11,2260,4717,24,24,241
0.8192,0.375,0.8235,0.5505,0.7083,0.549,0.9381,0.5208,0.9421,4083,18,30,875,2722,34,14,2236,4671,25,23,287
0.8192,0.3333,0.8239,0.5314,0.8125,0.5286,0.9475,0.5833,0.951,4085,16,32,873,2621,39,9,2337,4715,28,20,243
0.8334,0.4583,0.837,0.5495,0.7708,0.5474,0.9341,0.6667,0.9367,4150,22,26,808,2714,37,11,2244,4644,32,16,314
0.819,0.375,0.8233,0.5443,0.7917,0.542,0.9441,0.6458,0.947,4082,18,30,876,2687,38,10,2271,4695,31,17,263
0.818,0.3958,0.8221,0.5505,0.8958,0.5472,0.9369,0.5625,0.9405,4076,19,29,882,2713,43,5,2245,4663,27,21,295
0.819,0.3958,0.8231,0.5475,0.8542,0.5446,0.9261,0.625,0.929,4081,19,29,877,2700,41,7,2258,4606,30,18,352
0.819,0.3125,0.8239,0.5334,0.75,0.5313,0.9401,0.6458,0.9429,4085,15,33,873,2634,36,12,2324,4675,31,17,283
0.8192,0.2708,0.8245,0.5429,0.7292,0.5411,0.9483,0.7292,0.9504,4088,13,35,870,2683,35,13,2275,4712,35,13,246
0.8146,0.3542,0.8191,0.5531,0.6875,0.5518,0.9656,0.5625,0.9695,4061,17,31,897,2736,33,15,2222,4807,27,21,151
0.8302,0.3958,0.8344,0.541,0.7708,0.5387,0.9447,0.5625,0.9484,4137,19,29,821,2671,37,11,2287,4702,27,21,256
0.8278,0.4167,0.8318,0.5553,0.75,0.5534,0.9501,0.6042,0.9534,4124,20,28,834,2744,36,12,2214,4727,29,19,231
0.8248,0.3333,0.8296,0.5382,0.6667,0.5369,0.9431,0.6042,0.9463,4113,16,32,845,2662,32,16,2296,4692,29,19,266
0.827,0.4792,0.8304,0.5346,0.8125,0.5319,0.9375,0.6458,0.9403,4117,23,25,841,2637,39,9,2321,4662,31,17,296
0.8262,0.3125,0.8312,0.5487,0.7917,0.5464,0.9415,0.6667,0.9441,4121,15,33,837,2709,38,10,2249,4681,32,16,277
