Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8222,0.3542,0.8267,0.5419,0.7917,0.5395,0.8482,0.6667,0.8499,4099,17,31,859,2675,38,10,2283,4214,32,16,744
0.8158,0.3542,0.8203,0.538,0.7083,0.5363,0.8356,0.7708,0.8362,4067,17,31,891,2659,34,14,2299,4146,37,11,812
0.8204,0.1667,0.8267,0.5412,0.6875,0.5397,0.8454,0.6875,0.8469,4099,8,40,859,2676,33,15,2282,4199,33,15,759
0.8158,0.3333,0.8205,0.539,0.7917,0.5365,0.8092,0.7083,0.8102,4068,16,32,890,2660,38,10,2298,4017,34,14,941
0.8152,0.3125,0.8201,0.5408,0.7292,0.5389,0.8298,0.6042,0.832,4066,15,33,892,2672,35,13,2286,4125,29,19,833
0.8254,0.3125,0.8304,0.539,0.6875,0.5375,0.8626,0.6458,0.8647,4117,15,33,841,2665,33,15,2293,4287,31,17,671
0.8164,0.3542,0.8209,0.5429,0.7083,0.5413,0.8322,0.7292,0.8332,4070,17,31,888,2684,34,14,2274,4131,35,13,827
0.8142,0.4792,0.8175,0.5378,0.8125,0.5351,0.8184,0.5208,0.8213,4053,23,25,905,2653,39,9,2305,4072,25,23,886
0.8218,0.3542,0.8263,0.5376,0.6458,0.5365,0.8394,0.6458,0.8413,4097,17,31,861,2660,31,17,2298,4171,31,17,787
0.829,0.4167,0.833,0.5449,0.8333,0.5422,0.8064,0.7083,0.8074,4130,20,28,828,2688,40,8,2270,4003,34,14,955
0.825,0.2708,0.8304,0.5483,0.7917,0.546,0.8462,0.5417,0.8491,4117,13,35,841,2707,38,10,2251,4210,26,22,748
0.8204,0.3333,0.8251,0.5471,0.6875,0.5458,0.8484,0.8125,0.8487,4091,16,32,867,2706,33,15,2252,4208,39,9,750
0.8236,0.375,0.828,0.5469,0.8542,0.544,0.8462,0.7083,0.8475,4105,18,30,853,2697,41,7,2261,4202,34,14,756
0.8164,0.375,0.8207,0.5441,0.7917,0.5418,0.8368,0.6042,0.839,4069,18,30,889,2686,38,10,2272,4160,29,19,798
0.8162,0.2083,0.8221,0.5539,0.6458,0.553,0.8751,0.5417,0.8784,4076,10,38,882,2742,31,17,2216,4355,26,22,603
